,Mark,Competitor,Nat,Location,Date,Results Score,Discipline
0,1:54.61,Keely HODGKINSON,GBR,"Olympic Stadium, London (GBR)",20 JUL 2024,1261,800m
1,1:55.61,Jemma REEKIE,GBR,"Olympic Stadium, London (GBR)",20 JUL 2024,1242,800m
2,1:56.28,Georgia BELL,GBR,"Olympic Stadium, London (GBR)",20 JUL 2024,1230,800m
3,1:56.56,Mary MORAA,KEN,"Boudewijnstadion, Bruxelles (BEL)",13 SEP 2024,1225,800m
4,1:56.83,Natoya GOULE-TOPPIN,JAM,"Olympic Stadium, London (GBR)",20 JUL 2024,1220,800m
5,1:56.83,Addison WILEY,USA,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",28 AUG 2024,1220,800m
6,1:57.00,Nelly CHEPCHIRCHIR,KEN,"Sports Park Mladost, Zagreb (CRO)",08 SEP 2024,1217,800m
7,1:57.06,Rénelle LAMOTE,FRA,"Olympic Stadium, London (GBR)",20 JUL 2024,1215,800m
8,1:57.12,Susan Lokayo EJORE,KEN,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",28 AUG 2024,1214,800m
9,1:57.15,Tsige DUGUMA,ETH,"Stade de France, Paris (FRA)",05 AUG 2024,1214,800m
10,1:57.26,Prudence SEKGODISO,RSA,"Le Grand Stade, Marrakech (MAR)",19 MAY 2024,1212,800m
11,1:57.26,Halimah NAKAAYI,UGA,"Olympic Stadium, London (GBR)",20 JUL 2024,1212,800m
12,1:57.36,Nia AKINS,USA,"Hayward Field, Eugene, OR (USA)",24 JUN 2024,1210,800m
13,1:57.47,Nigist GETACHEW,ETH,"Sports Park Mladost, Zagreb (CRO)",08 SEP 2024,1208,800m
14,1:57.52,Allie WILSON,USA,"Olympic Stadium, London (GBR)",20 JUL 2024,1207,800m
15,1:57.53,Sage HURTA-KLECKER,USA,"Sports Park Mladost, Zagreb (CRO)",08 SEP 2024,1207,800m
16,1:57.59,Shafiqua MALONEY,VIN,"Stade de France, Paris (FRA)",04 AUG 2024,1206,800m
17,1:57.63,Laura MUIR,GBR,"Olympic Stadium, London (GBR)",20 JUL 2024,1205,800m
18,1:57.69,Nelly JEPKOSGEI,BRN,"Moselstadion, Trier (GER)",06 SEP 2024,1204,800m
19,1:57.70,Habitam ALEMU,ETH,"Le Grand Stade, Marrakech (MAR)",19 MAY 2024,1204,800m
20,1:57.76,Juliette WHITTAKER,USA,"Stade de France, Paris (FRA)",04 AUG 2024,1203,800m
21,1:57.76,Audrey WERRO,SUI,"Stadio Comunale, Bellinzona (SUI)",09 SEP 2024,1203,800m
22,1:57.86,Phoebe GILL,GBR,"Mary Peters Track, Belfast (GBR)",11 MAY 2024,1201,800m
23,1:57.87,Emily MACKAY,USA,"Emerson Field, Concord, MA (USA)",08 JUN 2024,1201,800m
24,1:58.06,Worknesh MESELE,ETH,"Stade de France, Paris (FRA)",04 AUG 2024,1197,800m
25,1:58.12,Catriona BISSET,AUS,"Olympic Stadium, London (GBR)",20 JUL 2024,1196,800m
26,1:58.19,Dorcas EWOI,KEN,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1195,800m
27,1:58.20,Jazz SHUKLA,CAN,"Complexe Sportif Claude-Robillard, Montréal (CAN)",29 JUN 2024,1195,800m
28,1:58.22,Gabriela GAJANOVÁ,SVK,"Stade de France, Paris (FRA)",04 AUG 2024,1194,800m
29,1:58.26,Vivian Chebet KIPROTICH,KEN,"Nyayo National Stadium, Nairobi (KEN)",20 APR 2024,1194,800m
30,1:58.37,Michaela ROSE,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",12 APR 2024,1192,800m
31,1:58.39,Daily COOPER GASPAR,CUB,"Stade de France, Paris (FRA)",04 AUG 2024,1191,800m
32,1:58.40,Claudia HOLLINGSWORTH,AUS,"SA Athletic Stadium, Adelaide (AUS)",14 APR 2024,1191,800m
33,1:58.47,Anaïs BOURGOIN,FRA,"Stade de France, Paris (FRA)",02 AUG 2024,1190,800m
34,1:58.49,Abbey CALDWELL,AUS,"Stade de France, Paris (FRA)",02 AUG 2024,1189,800m
35,1:58.51,Ciara MAGEEAN,IRL,"Sportcity Regional Arena, Manchester (GBR)",25 MAY 2024,1189,800m
36,1:58.52,Majtie KOLBERG,GER,"Stade de France, Paris (FRA)",04 AUG 2024,1189,800m
37,1:58.53,Lilian ODIRA,KEN,"Stade de France, Paris (FRA)",04 AUG 2024,1189,800m
38,1:58.56,Bendere OBOYA,AUS,"LAZ Wien, Wien (AUT)",22 JUN 2024,1188,800m
39,1:58.60,Rachel PELLAUD,SUI,"Stadion Deutweg, Winterthur (SUI)",29 JUN 2024,1187,800m
40,1:58.69,Valentina ROSAMILIA,SUI,"Stadion Deutweg, Winterthur (SUI)",29 JUN 2024,1186,800m
41,1:58.70,Noélie YARIGO,BEN,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2024,1186,800m
42,1:58.73,Rose Mary ALMANZA,CUB,"Stade de France, Paris (FRA)",04 AUG 2024,1185,800m
43,1:58.75,Katie SNOWDEN,GBR,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",28 AUG 2024,1185,800m
44,1:58.77,Heather MACLEAN,USA,"Emerson Field, Concord, MA (USA)",08 JUN 2024,1184,800m
45,1:58.84,Athing MU,USA,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1183,800m
46,1:58.89,Elena BELLÒ,ITA,"Olympic Stadium, London (GBR)",20 JUL 2024,1182,800m
47,1:58.94,Sarah BILLINGS,AUS,"Moselstadion, Trier (GER)",06 SEP 2024,1181,800m
48,1:58.95,Olivia BAKER,USA,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1181,800m
49,1:58.97,Kate GRACE,USA,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1181,800m
50,1:59.07,Anna WIELGOSZ,POL,"Stadio Olimpico, Roma (ITA)",11 JUN 2024,1179,800m
51,1:59.07,Eloisa COIRO,ITA,"Stadio Quercia, Rovereto (ITA)",31 AUG 2024,1179,800m
