,Mark,Competitor,Nat,Location,Date,Results Score,Discipline,Athlete ID,Number of Runs,Number of Bike Rides,Profile Visibility
0,1:54.61,Keely HODGKINSON,GBR,"Olympic Stadium, London (GBR)",20 JUL 2024,1261,800m,27359488,26,1,Private
1,1:55.61,Jemma REEKIE,GBR,"Olympic Stadium, London (GBR)",20 JUL 2024,1242,800m,NA,NA,NA,NA
2,1:56.28,Georgia BELL,GBR,"Olympic Stadium, London (GBR)",20 JUL 2024,1230,800m,25124025,751,80,Public
3,1:56.56,Mary MORAA,KEN,"Boudewijnstadion, Bruxelles (BEL)",13 SEP 2024,1225,800m,131393985,0,0,Public
4,1:56.83,Natoya GOULE-TOPPIN,JAM,"Olympic Stadium, London (GBR)",20 JUL 2024,1220,800m,NA,NA,NA,NA
5,1:56.83,Addison WILEY,USA,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",28 AUG 2024,1220,800m,NA,NA,NA,NA
6,1:57.00,Nelly CHEPCHIRCHIR,KEN,"Sports Park Mladost, Zagreb (CRO)",08 SEP 2024,1217,800m,NA,NA,NA,NA
7,1:57.06,Rénelle LAMOTE,FRA,"Olympic Stadium, London (GBR)",20 JUL 2024,1215,800m,142578196,0,0,Public
8,1:57.12,Susan Lokayo EJORE,KEN,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",28 AUG 2024,1214,800m,NA,NA,NA,NA
9,1:57.15,Tsige DUGUMA,ETH,"Stade de France, Paris (FRA)",05 AUG 2024,1214,800m,NA,NA,NA,NA
10,1:57.26,Prudence SEKGODISO,RSA,"Le Grand Stade, Marrakech (MAR)",19 MAY 2024,1212,800m,111371365,0,0,Public
11,1:57.26,Halimah NAKAAYI,UGA,"Olympic Stadium, London (GBR)",20 JUL 2024,1212,800m,NA,NA,NA,NA
12,1:57.36,Nia AKINS,USA,"Hayward Field, Eugene, OR (USA)",24 JUN 2024,1210,800m,49163846,0,0,Public
13,1:57.47,Nigist GETACHEW,ETH,"Sports Park Mladost, Zagreb (CRO)",08 SEP 2024,1208,800m,NA,NA,NA,NA
14,1:57.52,Allie WILSON,USA,"Olympic Stadium, London (GBR)",20 JUL 2024,1207,800m,112847410,80,0,Public
15,1:57.53,Sage HURTA-KLECKER,USA,"Sports Park Mladost, Zagreb (CRO)",08 SEP 2024,1207,800m,59215429,2505,56,Public
16,1:57.59,Shafiqua MALONEY,VIN,"Stade de France, Paris (FRA)",04 AUG 2024,1206,800m,NA,NA,NA,NA
17,1:57.63,Laura MUIR,GBR,"Olympic Stadium, London (GBR)",20 JUL 2024,1205,800m,11759278,1528,105,Private
18,1:57.69,Nelly JEPKOSGEI,BRN,"Moselstadion, Trier (GER)",06 SEP 2024,1204,800m,NA,NA,NA,NA
19,1:57.70,Habitam ALEMU,ETH,"Le Grand Stade, Marrakech (MAR)",19 MAY 2024,1204,800m,NA,NA,NA,NA
20,1:57.76,Juliette WHITTAKER,USA,"Stade de France, Paris (FRA)",04 AUG 2024,1203,800m,56548523,850,3,Public
21,1:57.76,Audrey WERRO,SUI,"Stadio Comunale, Bellinzona (SUI)",09 SEP 2024,1203,800m,NA,NA,NA,NA
22,1:57.86,Phoebe GILL,GBR,"Mary Peters Track, Belfast (GBR)",11 MAY 2024,1201,800m,129884060,42,0,Private
23,1:57.87,Emily MACKAY,USA,"Emerson Field, Concord, MA (USA)",08 JUN 2024,1201,800m,58424776,120,16,Public
24,1:58.06,Worknesh MESELE,ETH,"Stade de France, Paris (FRA)",04 AUG 2024,1197,800m,NA,NA,NA,NA
25,1:58.12,Catriona BISSET,AUS,"Olympic Stadium, London (GBR)",20 JUL 2024,1196,800m,102587494,108,26,Private
26,1:58.19,Dorcas EWOI,KEN,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1195,800m,NA,NA,NA,NA
27,1:58.20,Jazz SHUKLA,CAN,"Complexe Sportif Claude-Robillard, Montréal (CAN)",29 JUN 2024,1195,800m,19464085,821,28,Private
28,1:58.22,Gabriela GAJANOVÁ,SVK,"Stade de France, Paris (FRA)",04 AUG 2024,1194,800m,NA,NA,NA,NA
29,1:58.26,Vivian Chebet KIPROTICH,KEN,"Nyayo National Stadium, Nairobi (KEN)",20 APR 2024,1194,800m,NA,NA,NA,NA
