,Mark,Competitor,Nat,Location,Date,Results Score,Discipline
0,1:41.11,Emmanuel WANYONYI,KEN,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1295,800m
1,1:41.20,Marco AROP,CAN,"Stade de France, Paris (FRA)",10 AUG 2024,1292,800m
2,1:41.46,Djamel SEDJATI,ALG,"Stade Louis II, Monaco (MON)",12 JUL 2024,1284,800m
3,1:41.61,Gabriel TUAL,FRA,"Stade Charléty, Paris (FRA)",07 JUL 2024,1279,800m
4,1:41.67,Bryce HOPPEL,USA,"Stade de France, Paris (FRA)",10 AUG 2024,1277,800m
5,1:42.04,Mohamed ATTAOUI,ESP,"Stade Louis II, Monaco (MON)",12 JUL 2024,1265,800m
6,1:42.08,Aaron Kemei CHEMININGWA,KEN,"Stade Charléty, Paris (FRA)",07 JUL 2024,1264,800m
7,1:42.08,Wyclife KINYAMAL,KEN,"Stade Charléty, Paris (FRA)",07 JUL 2024,1264,800m
8,1:42.27,Ben PATTISON,GBR,"Stade Louis II, Monaco (MON)",12 JUL 2024,1258,800m
9,1:42.43,Eliott CRESTAN,BEL,"Stade Charléty, Paris (FRA)",07 JUL 2024,1253,800m
10,1:42.66,Koitatoi KIDALI,KEN,"Nyayo National Stadium, Nairobi (KEN)",15 JUN 2024,1246,800m
11,1:42.82,Tshepiso MASALELA,BOT,"Stade de France, Paris (FRA)",10 AUG 2024,1241,800m
12,1:43.13,Andreas KRAMER,SWE,"Stade Louis II, Monaco (MON)",12 JUL 2024,1231,800m
13,1:43.48,Pieter SISK,BEL,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1220,800m
14,1:43.50,Max BURGIN,GBR,"Stade de France, Paris (FRA)",09 AUG 2024,1220,800m
15,1:43.64,Hobbs KESSLER,USA,"Hayward Field, Eugene, OR (USA)",30 JUN 2024,1215,800m
16,1:43.73,Brandon MILLER,USA,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1212,800m
17,1:43.74,Alex Ngeno KIPNGETICH,KEN,"Nyayo National Stadium, Nairobi (KEN)",15 JUN 2024,1212,800m
18,1:43.75,Catalin TECUCEANU,ITA,"Stade Louis II, Monaco (MON)",12 JUL 2024,1212,800m
19,1:43.79,Azeddine HABZ,FRA,"Stade Charléty, Paris (FRA)",07 JUL 2024,1211,800m
20,1:43.80,Josh HOEY,USA,"Sportcentrum Wembley, Kortrijk (BEL)",13 JUL 2024,1210,800m
21,1:43.94,Kethobogile HAINGURA,BOT,"Bestmed Tuks Stadium, Pretoria (RSA)",18 MAR 2024,1206,800m
22,1:43.95,Benjamin ROBERT,FRA,"Stade Louis II, Monaco (MON)",12 JUL 2024,1206,800m
23,1:44.02,Isaiah JEWETT,USA,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1204,800m
24,1:44.04,James PRESTON,NZL,"TSV Stadion, Pfungstadt (GER)",25 MAY 2024,1203,800m
25,1:44.10,Jake WIGHTMAN,GBR,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1201,800m
26,1:44.10,Festus LAGAT,KEN,"George Mason Stadium, Fairfax, VA (USA)",12 AUG 2024,1201,800m
27,1:44.11,Peyton CRAIG,AUS,"Stade de France, Paris (FRA)",09 AUG 2024,1201,800m
28,1:44.13,Yanis MEZIANE,FRA,"Le Grand Stade, Marrakech (MAR)",19 MAY 2024,1200,800m
29,1:44.22,Edmund DU PLESSIS,RSA,"Morton Stadium, Santry, Dublin (IRL)",12 JUL 2024,1197,800m
30,1:44.25,Corentin LE CLEZIO,FRA,"LAZ Wien, Wien (AUT)",22 JUN 2024,1196,800m
31,1:44.32,Jonah KOECH,USA,"Hayward Field, Eugene, OR (USA)",30 JUN 2024,1194,800m
32,1:44.32,Elliot GILES,GBR,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1194,800m
33,1:44.37,Mohamed Ali GOUANED,ALG,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 JUN 2024,1193,800m
34,1:44.41,Adrián BEN,ESP,"Estadio Vallehermoso, Madrid (ESP)",21 JUN 2024,1192,800m
35,1:44.44,Abraham ALVARADO,USA,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1191,800m
36,1:44.46,Sam WHITMARSH,USA,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",30 MAR 2024,1190,800m
37,1:44.49,Elvin Josué CANALES,HON,"Pista atletismo Fuente de la Niña, Guadalajara (ESP)",23 JUN 2024,1189,800m
38,1:44.53,Mark ENGLISH,IRL,"Estadio Vallehermoso, Madrid (ESP)",21 JUN 2024,1188,800m
39,1:44.55,Slimane MOULA,ALG,"Suzhou Olympic Sports Centre, Suzhou (CHN)",27 APR 2024,1187,800m
40,1:44.57,Jose MAITA,VEN,"Estadio Brigido Iriarte, Caracas (VEN)",29 JUN 2024,1187,800m
41,1:44.57,Tobias GRØNSTAD,NOR,"Stade de France, Paris (FRA)",08 AUG 2024,1187,800m
42,1:44.58,Isaiah HARRIS,USA,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1186,800m
43,1:44.60,Abubaker Haydar ABDALLA,QAT,"Polideportivo Rey Juan Carlos, Ciudad Real (ESP)",21 APR 2024,1186,800m
44,1:44.62,Abdelati EL GUESSE,MAR,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 JUN 2024,1185,800m
45,1:44.65,Shane COHEN,USA,"Hayward Field, Eugene, OR (USA)",30 JUN 2024,1184,800m
