Mark,Competitor,Nat,Location,Discipline,Date,Results Score
1:41.46,DJAMEL SEDJATI,ALG,"Stade Louis II, Monaco (MON)",800m,12 JUL 2024,1284
1:41.56,DJAMEL SEDJATI,ALG,"Stade Charléty, Paris (FRA)",800m,07 JUL 2024,1281
1:41.58,EMMANUEL WANYONYI,KEN,"Stade Charléty, Paris (FRA)",800m,07 JUL 2024,1280
1:41.61,GABRIEL TUAL,FRA,"Stade Charléty, Paris (FRA)",800m,07 JUL 2024,1279
1:41.70,EMMANUEL WANYONYI,KEN,"Nyayo National Stadium, Nairobi (KEN)",800m,15 JUN 2024,1276
1:42.04,MOHAMED ATTAOUI,ESP,"Stade Louis II, Monaco (MON)",800m,12 JUL 2024,1265
1:42.08,AARON KEMEI CHEMININGWA,KEN,"Stade Charléty, Paris (FRA)",800m,07 JUL 2024,1264
1:42.08,WYCLIFE KINYAMAL,KEN,"Stade Charléty, Paris (FRA)",800m,07 JUL 2024,1264
1:42.10,GABRIEL TUAL,FRA,"Stade Louis II, Monaco (MON)",800m,12 JUL 2024,1264
1:42.13,AARON KEMEI CHEMININGWA,KEN,"Stade Louis II, Monaco (MON)",800m,12 JUL 2024,1263
1:42.27,BEN PATTISON,GBR,"Stade Louis II, Monaco (MON)",800m,12 JUL 2024,1258
1:42.43,ELIOTT CRESTAN,BEL,"Stade Charléty, Paris (FRA)",800m,07 JUL 2024,1253
1:42.50,WYCLIFE KINYAMAL,KEN,"Nyayo National Stadium, Nairobi (KEN)",800m,15 JUN 2024,1251
1:42.66,KOITATOI KIDALI,KEN,"Nyayo National Stadium, Nairobi (KEN)",800m,15 JUN 2024,1246
1:42.77,BRYCE HOPPEL,USA,"Hayward Field, Eugene, OR (USA)",800m,30 JUN 2024,1242
1:42.93,MARCO AROP,CAN,"Stade Louis II, Monaco (MON)",800m,12 JUL 2024,1237
1:43.13,ANDREAS KRAMER,SWE,"Stade Louis II, Monaco (MON)",800m,12 JUL 2024,1231
1:43.19,ELIOTT CRESTAN,BEL,"Stade Louis II, Monaco (MON)",800m,12 JUL 2024,1229
1:43.23,DJAMEL SEDJATI,ALG,"Olympiastadion, Stockholm (SWE)",800m,02 JUN 2024,1228
1:43.51,DJAMEL SEDJATI,ALG,"Mestský Stadion, Ostrava (CZE)",800m,28 MAY 2024,1219
1:43.53,MARCO AROP,CAN,"Complexe Sportif Claude-Robillard, Montréal (CAN)",800m,28 JUN 2024,1219
1:43.55,AARON KEMEI CHEMININGWA,KEN,"Campo di Atletica, Asti (ITA)",800m,23 MAY 2024,1218
1:43.57,EMMANUEL WANYONYI,KEN,"Nyayo National Stadium, Nairobi (KEN)",800m,20 APR 2024,1217
1:43.61,MARCO AROP,CAN,"Egret Stadium, Xiamen (CHN)",800m,20 APR 2024,1216
1:43.64,HOBBS KESSLER,USA,"Hayward Field, Eugene, OR (USA)",800m,30 JUN 2024,1215
1:43.66,WYCLIFE KINYAMAL,KEN,"Egret Stadium, Xiamen (CHN)",800m,20 APR 2024,1215
1:43.66,ANDREAS KRAMER,SWE,"Stade Charléty, Paris (FRA)",800m,07 JUL 2024,1215
1:43.68,BRYCE HOPPEL,USA,"Drake Stadium, Los Angeles, CA (USA)",800m,18 MAY 2024,1214
1:43.71,HOBBS KESSLER,USA,"Hayward Field, Eugene, OR (USA)",800m,28 JUN 2024,1213
1:43.71,MARCO AROP,CAN,"Complexe Sportif Claude-Robillard, Montréal (CAN)",800m,29 JUN 2024,1213
1:43.73,BRANDON MILLER,USA,"Hayward Field, Eugene, OR (USA)",800m,28 JUN 2024,1212
1:43.74,ALEX NGENO KIPNGETICH,KEN,"Nyayo National Stadium, Nairobi (KEN)",800m,15 JUN 2024,1212
1:43.75,CATALIN TECUCEANU,ITA,"Stade Louis II, Monaco (MON)",800m,12 JUL 2024,1212
1:43.79,AZEDDINE HABZ,FRA,"Stade Charléty, Paris (FRA)",800m,07 JUL 2024,1211
1:43.80,JOSH HOEY,USA,"Sportcentrum Wembley, Kortrijk (BEL)",800m,13 JUL 2024,1210
1:43.84,EMMANUEL WANYONYI,KEN,"Le Grand Stade, Marrakech (MAR)",800m,19 MAY 2024,1209
1:43.88,TSHEPISO MASALELA,BOT,"Egret Stadium, Xiamen (CHN)",800m,20 APR 2024,1208
1:43.94,KETHOBOGILE HAINGURA,BOT,"Bestmed Tuks Stadium, Pretoria (RSA)",800m,18 MAR 2024,1206
1:43.95,BENJAMIN ROBERT,FRA,"Stade Louis II, Monaco (MON)",800m,12 JUL 2024,1206
1:43.97,BRANDON MILLER,USA,"Hayward Field, Eugene, OR (USA)",800m,30 JUN 2024,1205
1:43.98,WYCLIFE KINYAMAL,KEN,"Le Grand Stade, Marrakech (MAR)",800m,19 MAY 2024,1205
1:43.99,GABRIEL TUAL,FRA,"Stade Josette et Roger Mikulak, Angers (FRA)",800m,30 JUN 2024,1204
1:44.01,CATALIN TECUCEANU,ITA,"Campo di Atletica, Asti (ITA)",800m,23 MAY 2024,1204
1:44.01,BRYCE HOPPEL,USA,"Hayward Field, Eugene, OR (USA)",800m,28 JUN 2024,1204
1:44.02,ISAIAH JEWETT,USA,"Drake Stadium, Los Angeles, CA (USA)",800m,18 MAY 2024,1204
1:44.04,JAMES PRESTON,NZL,"TSV Stadion, Pfungstadt (GER)",800m,25 MAY 2024,1203
1:44.07,ALEX NGENO KIPNGETICH,KEN,"Nyayo National Stadium, Nairobi (KEN)",800m,06 MAR 2024,1202
1:44.08,ANDREAS KRAMER,SWE,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",800m,20 JUN 2024,1202
1:44.10,AARON KEMEI CHEMININGWA,KEN,"Nyayo National Stadium, Nairobi (KEN)",800m,20 APR 2024,1201
1:44.10,JAKE WIGHTMAN,GBR,"Drake Stadium, Los Angeles, CA (USA)",800m,18 MAY 2024,1201
1:44.12,PEYTON CRAIG,AUS,"LAZ Wien, Wien (AUT)",800m,22 JUN 2024,1200
1:44.12,JOSH HOEY,USA,"Hayward Field, Eugene, OR (USA)",800m,30 JUN 2024,1200
1:44.13,YANIS MEZIANE,FRA,"Le Grand Stade, Marrakech (MAR)",800m,19 MAY 2024,1200
1:44.14,TSHEPISO MASALELA,BOT,"Le Grand Stade, Marrakech (MAR)",800m,19 MAY 2024,1200
1:44.22,CATALIN TECUCEANU,ITA,"Stadion Śląski, Chorzów (POL)",800m,18 MAY 2024,1197
1:44.22,EDMUND DU PLESSIS,RSA,"Morton Stadium, Dublin (IRL)",800m,12 JUL 2024,1197
1:44.22,JOSH HOEY,USA,"Percy Beard Track, Gainesville, FL (USA)",800m,19 JUL 2024,1197
1:44.24,AARON KEMEI CHEMININGWA,KEN,"Nyayo National Stadium, Nairobi (KEN)",800m,06 MAR 2024,1197
1:44.24,BRANDON MILLER,USA,"Drake Stadium, Los Angeles, CA (USA)",800m,18 MAY 2024,1197
1:44.25,CORENTIN LE CLEZIO,FRA,"LAZ Wien, Wien (AUT)",800m,22 JUN 2024,1196
1:44.28,ELIOTT CRESTAN,BEL,"Estadio Vallehermoso, Madrid (ESP)",800m,21 JUN 2024,1195
1:44.29,BRYCE HOPPEL,USA,"Olympiastadion, Stockholm (SWE)",800m,02 JUN 2024,1195
1:44.30,BENJAMIN ROBERT,FRA,"Stade Charléty, Paris (FRA)",800m,07 JUL 2024,1195
1:44.32,JONAH KOECH,USA,"Hayward Field, Eugene, OR (USA)",800m,30 JUN 2024,1194
1:44.37,MOHAMED ALI GOUANED,ALG,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",800m,20 JUN 2024,1193
1:44.41,ADRIÁN BEN,ESP,"Estadio Vallehermoso, Madrid (ESP)",800m,21 JUN 2024,1192
1:44.42,MOHAMED ALI GOUANED,ALG,"Stadion Śląski, Chorzów (POL)",800m,18 MAY 2024,1191
1:44.43,GABRIEL TUAL,FRA,"Stade Raymond Petit, Tomblaine (FRA)",800m,25 MAY 2024,1191
1:44.44,TSHEPISO MASALELA,BOT,"Olympiastadion, Stockholm (SWE)",800m,02 JUN 2024,1191
1:44.44,BEN PATTISON,GBR,"Olympiastadion, Stockholm (SWE)",800m,02 JUN 2024,1191
1:44.44,ABRAHAM ALVARADO,USA,"Hayward Field, Eugene, OR (USA)",800m,28 JUN 2024,1191
1:44.46,SAM WHITMARSH,USA,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",800m,30 MAR 2024,1190
1:44.46,ELLIOT GILES,GBR,"Stade Delort, Marseille (FRA)",800m,22 MAY 2024,1190
