Mark,Competitor,Nat_x,Location,Discipline,Date,Results Score,Nat_y,Birthdate,Event,Days Since Performance,Weighted Score
3:26.73,JAKOB INGEBRIGTSEN,NOR,"Stade Louis II, Monaco (MON)",1500m,2024-07-12,1292,NOR,19 Sep 2000,"1500m, 5000m",20,1266.4166859123277
1:41.46,DJAMEL SEDJATI,ALG,"Stade Louis II, Monaco (MON)",800m,2024-07-12,1284,ALG,03 May 1999,800m,20,1258.5750965258737
1:41.58,EMMANUEL WANYONYI,KEN,"Stade Charléty, Paris (FRA)",800m,2024-07-07,1280,KEN,01 Aug 2004,800m,25,1248.3966873962659
1:42.04,MOHAMED ATTAOUI,ESP,"Stade Louis II, Monaco (MON)",800m,2024-07-12,1265,ESP,26 Sep 2001,800m,20,1239.9513217330455
1:42.10,GABRIEL TUAL,FRA,"Stade Louis II, Monaco (MON)",800m,2024-07-12,1264,FRA,09 Apr 1998,800m,20,1238.9711230597386
3:28.71,TIMOTHY CHERUIYOT,KEN,"Stade Louis II, Monaco (MON)",1500m,2024-07-12,1263,KEN,20 Nov 1995,1500m,20,1237.990924386432
3:28.80,BRIAN KOMEN,KEN,"Stade Louis II, Monaco (MON)",1500m,2024-07-12,1262,KEN,10 Aug 1998,1500m,20,1237.010725713125
1:42.27,BEN PATTISON,GBR,"Stade Louis II, Monaco (MON)",800m,2024-07-12,1258,GBR,15 Dec 2001,800m,20,1233.0899310198981
1:42.08,WYCLIFE KINYAMAL,KEN,"Stade Charléty, Paris (FRA)",800m,2024-07-07,1264,KEN,02 Jul 1997,800m,25,1232.7917288038125
3:29.13,YARED NUGUSE,USA,"Stade Louis II, Monaco (MON)",1500m,2024-07-12,1257,USA,01 Jun 1999,1500m,20,1232.1097323465913
12:36.73,HAGOS GEBRHIWET,ETH,"Bislett Stadion, Oslo (NOR)",5000m,2024-05-30,1296,ETH,11 May 1994,5000m,63,1216.8707419011166
8:02.36,ABRHAM SIME,ETH,"Stade Charléty, Paris (FRA)",3000m SC,2024-07-07,1247,ETH,07 Nov 2001,3000m SC,25,1216.2114602993308
8:02.36,AMOS SEREM,KEN,"Stade Charléty, Paris (FRA)",3000m SC,2024-07-07,1247,KEN,28 Aug 2002,3000m SC,25,1216.2114602993308
26:31.13,BERIHU AREGAWI,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",10000m,2024-06-14,1273,ETH,28 Feb 2001,10000m,48,1213.3393109496635
26:31.01,YOMIF KEJELCHA,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",10000m,2024-06-14,1273,ETH,01 Aug 1997,10000m,48,1213.3393109496635
1:42.93,MARCO AROP,CAN,"Stade Louis II, Monaco (MON)",800m,2024-07-12,1237,CAN,20 Sep 1998,800m,20,1212.5057588804561
3:30.65,NEIL GOURLEY,GBR,"Stade Louis II, Monaco (MON)",1500m,2024-07-12,1235,GBR,07 Feb 1995,1500m,20,1210.5453615338427
12:38.95,YOMIF KEJELCHA,ETH,"Bislett Stadion, Oslo (NOR)",5000m,2024-05-30,1288,ETH,01 Aug 1997,10000m,63,1209.3591941116035
26:34.93,SELEMON BAREGA,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",10000m,2024-06-14,1267,ETH,20 Jan 2000,"10000m, 5000m",48,1207.6205082271986
1:43.13,ANDREAS KRAMER,SWE,"Stade Louis II, Monaco (MON)",800m,2024-07-12,1231,SWE,13 Apr 1997,800m,20,1206.6245668406157
3:31.07,OLIVER HOARE,AUS,"Stade Louis II, Monaco (MON)",1500m,2024-07-12,1230,AUS,29 Jan 1997,1500m,20,1205.644368167309
3:31.06,NARVE GILJE NORDÅS,NOR,"Stade Louis II, Monaco (MON)",1500m,2024-07-12,1230,NOR,30 Sep 1998,"1500m, 5000m",20,1205.644368167309
1:43.19,ELIOTT CRESTAN,BEL,"Stade Louis II, Monaco (MON)",800m,2024-07-12,1229,BEL,22 Feb 1999,800m,20,1204.6641694940022
1:42.77,BRYCE HOPPEL,USA,"Hayward Field, Eugene, OR (USA)",800m,2024-06-30,1242,USA,05 Sep 1997,800m,32,1202.8851749423634
26:37.93,BINIAM MEHARY,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",10000m,2024-06-14,1262,ETH,20 Dec 2006,"10000m, 5000m",48,1202.854839291811
12:40.96,JACOB KIPLIMO,UGA,"Bislett Stadion, Oslo (NOR)",5000m,2024-05-30,1280,UGA,14 Nov 2000,"10000m, 5000m",63,1201.8476463220904
3:49.03,OLIVER HOARE,AUS,"Olympic Stadium, London (GBR)",Mile,2024-07-20,1213,AUS,29 Jan 1997,1500m,12,1198.5309877015218
3:49.06,NARVE GILJE NORDÅS,NOR,"Olympic Stadium, London (GBR)",Mile,2024-07-20,1213,NOR,30 Sep 1998,"1500m, 5000m",12,1198.5309877015218
8:06.70,ABRAHAM KIBIWOT,KEN,"Stade Charléty, Paris (FRA)",3000m SC,2024-07-07,1227,KEN,06 Apr 1996,3000m SC,25,1196.7052620587642
3:49.21,ADEL MECHAAL,ESP,"Olympic Stadium, London (GBR)",Mile,2024-07-20,1211,ESP,05 Dec 1990,"1500m, 5000m",12,1196.554844275798
3:31.79,AZEDDINE HABZ,FRA,"Stade Louis II, Monaco (MON)",1500m,2024-07-12,1219,FRA,19 Jul 1993,1500m,20,1194.8621827609347
3:49.45,NIELS LAROS,NED,"Olympic Stadium, London (GBR)",Mile,2024-07-20,1208,NED,17 Apr 2005,1500m,12,1193.590629137212
3:49.59,STEWART MCSWEYN,AUS,"Olympic Stadium, London (GBR)",Mile,2024-07-20,1206,AUS,01 Jun 1995,"1500m, 5000m",12,1191.6144857114882
3:30.59,COLE HOCKER,USA,"Hayward Field, Eugene, OR (USA)",1500m,2024-06-24,1236,USA,06 Jun 2001,1500m,38,1189.9131949415225
1:42.66,KOITATOI KIDALI,KEN,"Nyayo National Stadium, Nairobi (KEN)",800m,2024-06-15,1246,KEN,12 Feb 2003,800m,47,1188.7928973976025
1:43.75,CATALIN TECUCEANU,ITA,"Stade Louis II, Monaco (MON)",800m,2024-07-12,1212,ITA,09 Sep 1999,800m,20,1188.0007920477874
8:09.41,MOHAMED AMIN JHINAOUI,TUN,"Stade Charléty, Paris (FRA)",3000m SC,2024-07-07,1215,TUN,02 Apr 1997,3000m SC,25,1185.001543114424
3:50.16,CAMERON MYERS,AUS,"Olympic Stadium, London (GBR)",Mile,2024-07-20,1199,AUS,09 Jun 2006,1500m,12,1184.6979837214546
8:09.64,GEORDIE BEAMISH,NZL,"Stade Charléty, Paris (FRA)",3000m SC,2024-07-07,1214,NZL,24 Oct 1996,3000m SC,25,1184.0262332023958
1:43.95,BENJAMIN ROBERT,FRA,"Stade Louis II, Monaco (MON)",800m,2024-07-12,1206,FRA,04 Jan 1998,800m,20,1182.119600007947
8:09.91,AVINASH MUKUND SABLE,IND,"Stade Charléty, Paris (FRA)",3000m SC,2024-07-07,1212,IND,13 Sep 1994,3000m SC,25,1182.075613378339
1:44.22,JOSH HOEY,USA,"Percy Beard Track, Gainesville, FL (USA)",800m,2024-07-19,1197,USA,01 Nov 1999,800m,13,1181.5397096192842
1:43.79,AZEDDINE HABZ,FRA,"Stade Charléty, Paris (FRA)",800m,2024-07-07,1211,FRA,19 Jul 1993,1500m,25,1181.1003034663108
3:50.49,ANDREW COSCORAN,IRL,"Olympic Stadium, London (GBR)",Mile,2024-07-20,1194,IRL,18 Jun 1996,1500m,12,1179.757625157145
8:10.52,RYUJI MIURA,JPN,"Stade Charléty, Paris (FRA)",3000m SC,2024-07-07,1209,JPN,11 Feb 2002,3000m SC,25,1179.149683642254
3:45.34,JOSH KERR,GBR,"Hayward Field, Eugene, OR (USA)",Mile,2024-05-25,1262,GBR,08 Oct 1997,1500m,68,1179.0367176544435
