,Athlete ID,Name,Week Number,Date Range,Distance (km),Time,Elevation (m)
0,81506583,Victor KIMUTAI,01,Activities for 1 Jan 2024 - 7 Jan 2024,108.791384,7h 52m,629.412
1,81506583,Victor KIMUTAI,02,Activities for 8 Jan 2024 - 14 Jan 2024,116.194348,8h 33m,860.7552000000001
2,81506583,Victor KIMUTAI,03,Activities for 15 Jan 2024 - 21 Jan 2024,96.399466,7h 6m,737.9208
3,81506583,Victor KIMUTAI,04,Activities for 22 Jan 2024 - 28 Jan 2024,123.59731199999999,9h 16m,575.1576
4,81506583,Victor KIMUTAI,05,Activities for 29 Jan 2024 - 4 Feb 2024,117.320886,8h 49m,883.6152000000001
5,81506583,Victor KIMUTAI,06,Activities for 5 Feb 2024 - 11 Feb 2024,118.769292,8h 46m,751.0272
6,81506583,Victor KIMUTAI,07,Activities for 12 Feb 2024 - 18 Feb 2024,120.86143399999999,8h 58m,722.3760000000001
7,81506583,Victor KIMUTAI,08,Activities for 19 Feb 2024 - 25 Feb 2024,108.952318,8h 13m,486.156
8,81506583,Victor KIMUTAI,09,Activities for 26 Feb 2024 - 3 Mar 2024,50.69421,3h 53m,62.484
9,81506583,Victor KIMUTAI,10,Activities for 4 Mar 2024 - 10 Mar 2024,125.04571800000001,9h 12m,797.3568
10,81506583,Victor KIMUTAI,11,Activities for 11 Mar 2024 - 17 Mar 2024,74.67337599999999,5h 28m,574.8528
11,81506583,Victor KIMUTAI,12,Activities for 18 Mar 2024 - 24 Mar 2024,116.033414,8h 54m,679.0944000000001
12,81506583,Victor KIMUTAI,13,Activities for 25 Mar 2024 - 31 Mar 2024,38.785094,2h 50m,243.84
13,81506583,Victor KIMUTAI,14,Week 14 - No Data,0.0,0h 0m,0.0
14,81506583,Victor KIMUTAI,15,Activities for 8 Apr 2024 - 14 Apr 2024,40.2335,3h 2m,266.7
15,81506583,Victor KIMUTAI,16,Activities for 15 Apr 2024 - 21 Apr 2024,9.65604,0h 54m,45.72
16,81506583,Victor KIMUTAI,17,Week 17 - No Data,0.0,0h 0m,0.0
17,81506583,Victor KIMUTAI,18,Activities for 29 Apr 2024 - 5 May 2024,27.036912,1h 59m,80.4672
18,81506583,Victor KIMUTAI,19,Activities for 6 May 2024 - 12 May 2024,60.189316,4h 21m,346.25280000000004
19,81506583,Victor KIMUTAI,20,Week 20 - No Data,0.0,0h 0m,0.0
20,81506583,Victor KIMUTAI,21,Week 21 - No Data,0.0,0h 0m,0.0
21,81506583,Victor KIMUTAI,22,Activities for 27 May 2024 - 2 Jun 2024,18.185542,1h 20m,128.32080000000002
22,81506583,Victor KIMUTAI,23,Activities for 3 Jun 2024 - 9 Jun 2024,38.463226,2h 54m,224.33280000000002
23,81506583,Victor KIMUTAI,24,Activities for 10 Jun 2024 - 16 Jun 2024,44.578718,3h 15m,261.5184
24,81506583,Victor KIMUTAI,25,Week 25 - No Data,0.0,0h 0m,0.0
25,81506583,Victor KIMUTAI,26,Week 26 - No Data,0.0,0h 0m,0.0
26,81506583,Victor KIMUTAI,27,Week 27 - No Data,0.0,0h 0m,0.0
27,81506583,Victor KIMUTAI,28,Week 28 - No Data,0.0,0h 0m,0.0
28,81506583,Victor KIMUTAI,29,Activities for 15 Jul 2024 - 21 Jul 2024,74.83431,5h 51m,685.1904000000001
29,81506583,Victor KIMUTAI,30,Activities for 22 Jul 2024 - 28 Jul 2024,85.938756,6h 33m,556.5648
30,81506583,Victor KIMUTAI,31,Activities for 29 Jul 2024 - 4 Aug 2024,81.915406,6h 17m,463.90560000000005
31,81506583,Victor KIMUTAI,32,Activities for 5 Aug 2024 - 11 Aug 2024,44.095915999999995,3h 11m,140.208
32,81506583,Victor KIMUTAI,33,Activities for 11 Nov 2024 - 17 Nov 2024,12.87472,0h 55m,100.2792
33,81506583,Victor KIMUTAI,34,Activities for 19 Aug 2024 - 25 Aug 2024,91.410512,6h 59m,726.0336000000001
34,81506583,Victor KIMUTAI,35,Activities for 26 Aug 2024 - 1 Sep 2024,87.548096,6h 45m,990.9048
35,81506583,Victor KIMUTAI,36,Activities for 2 Sep 2024 - 8 Sep 2024,105.57270399999999,7h 37m,993.0384
36,81506583,Victor KIMUTAI,37,Activities for 9 Sep 2024 - 15 Sep 2024,109.43512,7h 47m,959.5104
37,81506583,Victor KIMUTAI,38,Activities for 16 Sep 2024 - 22 Sep 2024,93.985456,6h 41m,638.2512
38,81506583,Victor KIMUTAI,39,Activities for 23 Sep 2024 - 29 Sep 2024,113.136602,8h 16m,1455.42
39,81506583,Victor KIMUTAI,40,Activities for 30 Sep 2024 - 6 Oct 2024,113.136602,8h 24m,1119.5304
40,81506583,Victor KIMUTAI,41,Activities for 7 Oct 2024 - 13 Oct 2024,106.05550600000001,7h 47m,1161.8976
41,81506583,Victor KIMUTAI,42,Activities for 14 Oct 2024 - 20 Oct 2024,32.508668,2h 22m,432.51120000000003
42,81506583,Victor KIMUTAI,43,Week 43 - No Data,0.0,0h 0m,0.0
43,81506583,Victor KIMUTAI,44,Week 44 - No Data,0.0,0h 0m,0.0
44,81506583,Victor KIMUTAI,45,Week 45 - No Data,0.0,0h 0m,0.0
45,110408620,Derek HOLDSWORTH,01,Activities for 1 Jan 2024 - 7 Jan 2024,86.743426,5h 52m,319.1256
46,110408620,Derek HOLDSWORTH,02,Activities for 8 Jan 2024 - 14 Jan 2024,74.190574,4h 53m,224.94240000000002
47,110408620,Derek HOLDSWORTH,03,Activities for 15 Jan 2024 - 21 Jan 2024,80.467,5h 27m,214.88400000000001
48,110408620,Derek HOLDSWORTH,04,Activities for 22 Jan 2024 - 28 Jan 2024,74.190574,5h 1m,409.956
49,110408620,Derek HOLDSWORTH,05,Activities for 29 Jan 2024 - 4 Feb 2024,62.442392,4h 12m,213.0552
50,110408620,Derek HOLDSWORTH,06,Activities for 5 Feb 2024 - 11 Feb 2024,42.969378,2h 48m,174.95520000000002
51,110408620,Derek HOLDSWORTH,07,Activities for 12 Feb 2024 - 18 Feb 2024,73.064036,4h 48m,291.084
52,110408620,Derek HOLDSWORTH,08,Activities for 19 Feb 2024 - 25 Feb 2024,81.59353800000001,5h 28m,288.9504
53,110408620,Derek HOLDSWORTH,09,Activities for 26 Feb 2024 - 3 Mar 2024,76.121782,4h 56m,263.0424
54,110408620,Derek HOLDSWORTH,10,Activities for 4 Mar 2024 - 10 Mar 2024,75.960848,5h 4m,299.9232
55,110408620,Derek HOLDSWORTH,11,Activities for 11 Mar 2024 - 17 Mar 2024,47.314595999999995,2h 57m,128.93040000000002
56,110408620,Derek HOLDSWORTH,12,Activities for 18 Mar 2024 - 24 Mar 2024,65.339204,4h 27m,164.8968
57,110408620,Derek HOLDSWORTH,13,Activities for 25 Mar 2024 - 31 Mar 2024,76.121782,5h 1m,271.8816
58,110408620,Derek HOLDSWORTH,14,Activities for 1 Apr 2024 - 7 Apr 2024,70.489092,4h 40m,309.9816
59,110408620,Derek HOLDSWORTH,15,Activities for 8 Apr 2024 - 14 Apr 2024,57.453438000000006,3h 53m,217.93200000000002
60,110408620,Derek HOLDSWORTH,16,Activities for 15 Apr 2024 - 21 Apr 2024,45.705256,3h 1m,216.10320000000002
61,110408620,Derek HOLDSWORTH,17,Activities for 22 Apr 2024 - 28 Apr 2024,53.91289,3h 30m,138.0744
62,110408620,Derek HOLDSWORTH,18,Activities for 29 Apr 2024 - 5 May 2024,65.98294,4h 22m,277.0632
63,110408620,Derek HOLDSWORTH,19,Activities for 6 May 2024 - 12 May 2024,64.212666,4h 26m,231.95280000000002
64,110408620,Derek HOLDSWORTH,20,Activities for 13 May 2024 - 19 May 2024,39.589764,2h 40m,216.10320000000002
65,110408620,Derek HOLDSWORTH,21,Activities for 20 May 2024 - 26 May 2024,49.245804,3h 10m,121.92
66,110408620,Derek HOLDSWORTH,22,Activities for 27 May 2024 - 2 Jun 2024,38.785094,2h 39m,128.93040000000002
67,110408620,Derek HOLDSWORTH,23,Activities for 3 Jun 2024 - 9 Jun 2024,51.337945999999995,3h 20m,213.0552
68,110408620,Derek HOLDSWORTH,24,Activities for 10 Jun 2024 - 16 Jun 2024,40.716302,2h 50m,193.8528
69,110408620,Derek HOLDSWORTH,25,Activities for 17 Jun 2024 - 23 Jun 2024,47.636464000000004,3h 10m,239.8776
70,110408620,Derek HOLDSWORTH,26,Activities for 24 Jun 2024 - 30 Jun 2024,12.230984,0h 52m,13.1064
71,110408620,Derek HOLDSWORTH,27,Activities for 1 Jul 2024 - 7 Jul 2024,26.715044000000002,3h 0m,116.12880000000001
72,110408620,Derek HOLDSWORTH,28,Week 28 - No Data,0.0,0h 0m,0.0
73,110408620,Derek HOLDSWORTH,29,Activities for 15 Jul 2024 - 21 Jul 2024,87.38716199999999,4h 56m,473.964
74,110408620,Derek HOLDSWORTH,30,Activities for 22 Jul 2024 - 28 Jul 2024,61.476788000000006,6h 58m,317.9064
75,110408620,Derek HOLDSWORTH,31,Activities for 29 Jul 2024 - 4 Aug 2024,68.23601599999999,5h 35m,175.86960000000002
76,110408620,Derek HOLDSWORTH,32,Activities for 5 Aug 2024 - 11 Aug 2024,139.20791,8h 5m,153.0096
77,110408620,Derek HOLDSWORTH,33,Activities for 12 Aug 2024 - 18 Aug 2024,38.62416,2h 43m,320.04
78,110408620,Derek HOLDSWORTH,34,Activities for 19 Aug 2024 - 25 Aug 2024,56.809701999999994,8h 54m,323.088
79,110408620,Derek HOLDSWORTH,35,Activities for 26 Aug 2024 - 1 Sep 2024,41.03817,5h 37m,380.6952
80,110408620,Derek HOLDSWORTH,36,Activities for 2 Sep 2024 - 8 Sep 2024,70.650026,6h 17m,462.99120000000005
81,110408620,Derek HOLDSWORTH,37,Activities for 9 Sep 2024 - 15 Sep 2024,93.502654,7h 28m,669.0360000000001
82,110408620,Derek HOLDSWORTH,38,Activities for 16 Sep 2024 - 22 Sep 2024,63.24706199999999,6h 8m,314.8584
83,110408620,Derek HOLDSWORTH,39,Activities for 23 Sep 2024 - 29 Sep 2024,70.971894,5h 6m,758.0376
84,110408620,Derek HOLDSWORTH,40,Activities for 30 Sep 2024 - 6 Oct 2024,59.062778,5h 21m,548.0304
85,110408620,Derek HOLDSWORTH,41,Activities for 7 Oct 2024 - 13 Oct 2024,132.60961600000002,7h 49m,1017.1176
86,110408620,Derek HOLDSWORTH,42,Activities for 14 Oct 2024 - 20 Oct 2024,69.845356,5h 15m,565.0992
87,110408620,Derek HOLDSWORTH,43,Activities for 21 Oct 2024 - 27 Oct 2024,122.30984,7h 34m,978.1032
88,110408620,Derek HOLDSWORTH,44,Activities for 28 Oct 2024 - 3 Nov 2024,135.023626,9h 0m,1073.8104
89,110408620,Derek HOLDSWORTH,45,Activities for 4 Nov 2024 - 10 Nov 2024,140.334448,8h 42m,1179.8808000000001
90,73380869,Zouhair TALBI,01,Week 01 - No Data,0.0,0h 0m,0.0
91,73380869,Zouhair TALBI,02,Activities for 8 Jan 2024 - 14 Jan 2024,42.325642,2h 6m,111.86160000000001
92,73380869,Zouhair TALBI,03,Week 03 - No Data,0.0,0h 0m,0.0
93,73380869,Zouhair TALBI,04,Activities for 22 Jan 2024 - 28 Jan 2024,15.932466,1h 11m,178.00320000000002
94,73380869,Zouhair TALBI,05,Week 05 - No Data,0.0,0h 0m,0.0
95,73380869,Zouhair TALBI,06,Week 06 - No Data,0.0,0h 0m,0.0
96,73380869,Zouhair TALBI,07,Week 07 - No Data,0.0,0h 0m,0.0
97,73380869,Zouhair TALBI,08,Week 08 - No Data,0.0,0h 0m,0.0
98,73380869,Zouhair TALBI,09,Week 09 - No Data,0.0,0h 0m,0.0
99,73380869,Zouhair TALBI,10,Week 10 - No Data,0.0,0h 0m,0.0
100,73380869,Zouhair TALBI,11,Week 11 - No Data,0.0,0h 0m,0.0
101,73380869,Zouhair TALBI,12,Week 12 - No Data,0.0,0h 0m,0.0
102,73380869,Zouhair TALBI,13,Week 13 - No Data,0.0,0h 0m,0.0
