,Athlete ID,Athlete Name,Activity ID,Activity Name,Description,Start Date,Elapsed Time,Type,Location,Distance (mi),Pace (min/mi),Time
0,81506583,victor kimutai,10507980605,Afternoon Run,,2024-01-06 21:02:54+00:00,4540,Run,"Lewiston, USA",10.0,7.42,1h 14m
1,81506583,victor kimutai,10501001424,Afternoon Run,"Starting to feel good, enjoyed being in the zone. Ran without thinking about running or my  previous few runs have been awful in terms of my legs and also mentally.",2024-01-05 19:53:00+00:00,5631,Run,"Lewiston, USA",12.17,6.9,1h 24m
2,81506583,victor kimutai,10494190752,Lunch Run,,2024-01-04 16:37:41+00:00,4144,Run,"Lewiston, USA",10.01,6.42,1h 4m
3,81506583,victor kimutai,10488655748,Afternoon Run,,2024-01-03 20:25:05+00:00,5394,Run,"Lewiston, USA",10.08,7.33,1h 13m
4,81506583,victor kimutai,10481951269,Afternoon Run,,2024-01-02 20:02:12+00:00,5192,Run,"Lewiston, USA",10.4,7.58,1h 18m
5,81506583,victor kimutai,10474888785,Morning Run,,2024-01-01 15:40:41+00:00,6126,Run,"Cohasset, USA",15.0,6.5,1h 37m
6,81506583,victor kimutai,10558633233,Morning Run,,2024-01-14 14:53:57+00:00,6468,Run,"Lewiston, USA",17.01,6.28,1h 46m
7,81506583,victor kimutai,10561126555,Afternoon Run,,2024-01-12 19:40:04+00:00,4146,Run,"New Gloucester, USA",9.0,7.53,1h 7m
8,81506583,victor kimutai,10540772585,Afternoon Run,,2024-01-11 22:50:32+00:00,714,Run,,1.59,7.47,11m 54s
9,81506583,victor kimutai,10540772384,Afternoon Run,,2024-01-11 21:35:34+00:00,3973,Run,,9.04,7.32,1h 6m
10,81506583,victor kimutai,10540771799,Afternoon Run,,2024-01-11 20:48:49+00:00,1571,Run,"Lewiston, USA",3.38,7.28,24m 38s
11,81506583,victor kimutai,10533694814,Afternoon Run,,2024-01-10 20:10:22+00:00,4732,Run,"Lewiston, USA",10.14,7.53,1h 16m
12,81506583,victor kimutai,10525557481,Lunch Run,,2024-01-09 16:07:19+00:00,4259,Run,"Lewiston, USA",9.06,7.62,1h 8m
13,81506583,victor kimutai,10519757040,Lunch Run,,2024-01-08 16:13:32+00:00,5685,Run,"Lewiston, USA",13.01,6.98,1h 30m
14,81506583,victor kimutai,10650237305,Raceday,,2024-01-20 20:14:23+00:00,4090,Run,,10.0,6.82,1h 8m
15,81506583,victor kimutai,10609710720,Afternoon Run,,2024-01-19 20:50:34+00:00,3190,Run,"Lewiston, USA",7.04,7.42,52m 15s
16,81506583,victor kimutai,10609709633,Afternoon Run,,2024-01-18 21:26:10+00:00,4268,Run,"Lewiston, USA",8.85,7.95,1h 10m
17,81506583,victor kimutai,10578750263,Afternoon Run,,2024-01-17 20:06:05+00:00,5497,Run,"Lewiston, USA",12.02,6.55,1h 18m
18,81506583,victor kimutai,10650178974,Lunch Run,,2024-01-16 16:11:49+00:00,3943,Run,"Lewiston, USA",9.02,7.22,1h 5m
19,81506583,victor kimutai,10565901250,Afternoon Run,,2024-01-15 19:17:33+00:00,5700,Run,"New Gloucester, USA",13.0,7.05,1h 31m
20,81506583,victor kimutai,10649592253,Afternoon Run,,2024-01-28 18:13:59+00:00,2655,Run,"Boston, USA",4.96,8.0,39m 40s
21,81506583,victor kimutai,10649590948,Lunch Run,,2024-01-28 16:43:13+00:00,940,Run,,2.99,5.23,15m 40s
22,81506583,victor kimutai,10648488029,Morning Run,,2024-01-28 15:50:30+00:00,914,Run,,1.95,7.8,15m 13s
23,81506583,victor kimutai,10645825510,Morning Run,,2024-01-28 11:04:40+00:00,952,Run,"Lewiston, USA",2.02,7.73,15m 39s
24,81506583,victor kimutai,10650175578,Pre race day,,2024-01-27 20:00:17+00:00,2639,Run,,5.5,8.0,43m 59s
25,81506583,victor kimutai,10645823372,Afternoon Run,,2024-01-26 20:07:03+00:00,989,Run,,2.13,7.37,15m 45s
26,81506583,victor kimutai,10645821452,Afternoon Run,,2024-01-26 19:51:39+00:00,776,Run,,1.98,6.52,12m 56s
27,81506583,victor kimutai,10645818029,Afternoon Run,,2024-01-26 19:14:55+00:00,2184,Run,,4.08,7.53,30m 45s
28,81506583,victor kimutai,10629621555,Afternoon Run,,2024-01-25 21:23:55+00:00,2344,Run,"Lewiston, USA",5.01,7.73,38m 46s
29,81506583,victor kimutai,10628615220,Lunch Run,,2024-01-25 17:21:42+00:00,6324,Run,"Lewiston, USA",9.99,7.38,1h 13m
30,81506583,victor kimutai,10623672405,Evening Run,,2024-01-24 23:14:00+00:00,1226,Run,,3.19,6.4,20m 26s
31,81506583,victor kimutai,10623672002,Afternoon Run,,2024-01-24 22:33:45+00:00,1807,Run,,4.69,6.42,30m 7s
32,81506583,victor kimutai,10623298460,Afternoon Run,,2024-01-24 21:51:16+00:00,1624,Run,"Lewiston, USA",3.17,7.58,24m 4s
33,81506583,victor kimutai,10620394512,Afternoon Run,,2024-01-23 21:29:22+00:00,1372,Run,"Lewiston, USA",3.01,7.42,22m 20s
34,81506583,victor kimutai,10615160399,Lunch Run,,2024-01-23 17:03:54+00:00,4682,Run,"Lewiston, USA",10.0,7.45,1h 14m
35,81506583,victor kimutai,10609712252,Morning Run,,2024-01-22 14:23:30+00:00,5011,Run,"Lewiston, USA",12.1,6.83,1h 22m
36,81506583,victor kimutai,10689860373,Afternoon Run,,2024-02-03 18:54:07+00:00,2013,Run,"Gorham, USA",4.1,8.08,33m 11s
37,81506583,victor kimutai,10689419466,Lunch Run,,2024-02-03 17:49:45+00:00,937,Run,,2.77,5.63,15m 37s
38,81506583,victor kimutai,10689166122,Lunch Run,,2024-02-03 17:04:39+00:00,842,Run,"Gorham, USA",2.0,7.0,14m 2s
39,81506583,victor kimutai,10687196460,Morning Run,,2024-02-03 12:50:16+00:00,1027,Run,"Lewiston, USA",2.07,7.98,16m 35s
40,81506583,victor kimutai,10683536319,Afternoon Run,,2024-02-02 21:40:01+00:00,4244,Run,"Lewiston, USA",9.02,7.42,1h 6m
41,81506583,victor kimutai,10677274967,Afternoon Run,,2024-02-01 21:27:08+00:00,2065,Run,"Lewiston, USA",4.14,7.87,32m 37s
42,81506583,victor kimutai,10676211279,Lunch Run,,2024-02-01 17:22:10+00:00,6486,Run,"Lewiston, USA",10.99,7.3,1h 20m
43,81506583,victor kimutai,10670668806,Afternoon Run,,2024-01-31 20:42:49+00:00,5455,Run,"Lewiston, USA",12.05,6.68,1h 20m
44,81506583,victor kimutai,10664391786,Watch died,,2024-01-30 22:23:07+00:00,307,Run,,0.7,7.32,5m 7s
45,81506583,victor kimutai,10664379108,Afternoon Run,,2024-01-30 21:47:16+00:00,1816,Run,"Lewiston, USA",3.72,7.62,28m 22s
46,81506583,victor kimutai,10661899187,Lunch Run,,2024-01-30 16:28:50+00:00,4973,Run,"Lewiston, USA",10.2,7.22,1h 13m
47,81506583,victor kimutai,10656847727,Afternoon Run,,2024-01-29 21:29:47+00:00,5030,Run,"Lewiston, USA",11.13,7.42,1h 22m
48,81506583,victor kimutai,10737043096,Afternoon Run,,2024-02-10 19:32:44+00:00,2425,Run,"Brunswick, USA",5.01,7.33,36m 49s
49,81506583,victor kimutai,10737042355,Afternoon Run,,2024-02-10 19:16:56+00:00,100,Run,,0.28,5.8,1m 40s
50,81506583,victor kimutai,10737042217,Afternoon Run,,2024-02-10 18:19:51+00:00,952,Run,"Brunswick, USA",2.02,7.8,15m 45s
51,81506583,victor kimutai,10737137365,5k,,2024-02-10 17:10:11+00:00,911,Run,,3.1,4.88,15m 11s
52,81506583,victor kimutai,10737060489,Lunch Run,,2024-02-10 16:30:46+00:00,915,Run,"Brunswick, USA",2.09,7.27,15m 15s
53,81506583,victor kimutai,10737041561,Morning Run,,2024-02-10 13:03:41+00:00,923,Run,"Lewiston, USA",2.0,7.57,15m 9s
54,81506583,victor kimutai,10729918276,Afternoon Run,,2024-02-09 21:24:28+00:00,3706,Run,"Lewiston, USA",7.08,7.17,50m 48s
55,81506583,victor kimutai,10723050551,Lunch Run,,2024-02-08 17:28:06+00:00,5384,Run,"Lewiston, USA",11.02,7.48,1h 22m
56,81506583,victor kimutai,10718192066,Work out,,2024-02-07 22:05:45+00:00,3989,Run,,9.5,7.0,1h 6m
57,81506583,victor kimutai,10710992829,Afternoon Run,,2024-02-06 21:25:03+00:00,2234,Run,"Lewiston, USA",4.39,7.62,33m 31s
58,81506583,victor kimutai,10709122080,Lunch Run,,2024-02-06 16:21:41+00:00,5018,Run,"Lewiston, USA",10.73,7.58,1h 21m
