Athlete Name,Total_Run_Distance_km,Avg_Weekly_Run_Mileage_km,Total_Run_Hours,Avg_Weekly_Run_Hours,Total_Ride_Hours,Total_Swim_Hours,Total_Other_Hours,Competitor,Nat,Gender,Mark,Discipline,Number_of_events,Avg_Run_Pace_min_per_km,2024 Weeks Scraped,Athlete ID
AARON AHL,5815.23,111.83,433.96,8.35,0.0,0.0,0.0,Aaron Ahl,CAN,Male,8:28.00,3000m Steeple,1,4.48,52,26712504
ABBY NICHOLS,4689.47,90.18,369.38,7.1,0.0,0.0,0.0,Abby Nichols,USA,Female,4:12.78|15:03.17,1500m|5000m,2,4.73,52,49240561
ABDIHAMID NUR,44.78,0.86,2.87,0.06,0.0,0.0,0.0,Abdihamid Nur,USA,Male,3:35.63|13:03.17|27:17.28,1500m|5000m|10000m,3,3.84,52,44007546
ABDURRAHMAN GEDIKLIOĞLU,3183.39,61.22,178.55,3.43,0.0,0.0,0.0,Abdurrahman Gediklioğlu,TUR,Male,3:39.13,1500m,1,3.37,52,29394594
ABEL TEFFRA,1887.0959906,41.93546645777778,133.07472222222222,2.957216049382716,0.1844444444444444,0.0,0.0,Abel Teffra,USA,Male,3:36.52,1500m,1,4.231095489103698,45,74623854
ADAM CLARKE,1084.66,20.86,98.67,1.9,140.76,0.0,0.0,Adam Clarke,GBR,Male,1:01:54,Half,1,5.46,52,985439
ADAM FOGG,4889.67,94.03,343.29,6.6,0.0,0.0,0.0,Adam Fogg,GBR,Male,3:34.37|13:17.08,1500m|5000m,2,4.21,52,4814818
ADAM SPENCER,5401.93,103.88,390.86,7.52,0.0,0.0,0.0,Adam Spencer,AUS,Male,1:47.13|3:34.45,800m|1500m,2,4.34,52,46643128
AGATHE DELAHOUTRE,2351.42,45.22,195.22,3.75,0.0,0.0,0.0,Agathe Delahoutre,FRA,Female,2:02.97,800m,1,4.98,52,48454776
AHMED OUHDA,243.5,4.68,15.65,0.3,0.0,0.0,0.0,Ahmed Ouhda,ITA,Male,28:18.92|2:13:00,10000m|Full,2,3.86,52,27102390
