Unnamed: 0,Mark,Competitor,Nat,Location,Date,Results Score,Discipline,Gender,Performance_ID,Date_Created
1467,2:09:56,Ruth CHEPNGETICH,KEN,"Chicago, IL (USA)",13 OCT 2024,1339,Full,F,Ruth CHEPNGETICH_Full_2:09:56_13 OCT 2024,30 Oct 24
1058,28:54.14,Beatrice CHEBET,KEN,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1309,10000m,F,Beatrice CHEBET_10000m_28:54.14_25 MAY 2024,30 Oct 24
1059,29:05.92,Gudaf TSEGAY,ETH,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1298,10000m,F,Gudaf TSEGAY_10000m_29:05.92_25 MAY 2024,30 Oct 24
950,12:36.73,Hagos GEBRHIWET,ETH,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1296,5000m,M,Hagos GEBRHIWET_5000m_12:36.73_30 MAY 2024,30 Oct 24
320,3:49.04,Faith KIPYEGON,KEN,"Stade Charléty, Paris (FRA)",07 JUL 2024,1295,1500m,F,Faith KIPYEGON_1500m_3:49.04_07 JUL 2024,30 Oct 24
0,1:41.11,Emmanuel WANYONYI,KEN,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1295,800m,M,Emmanuel WANYONYI_800m_1:41.11_22 AUG 2024,30 Oct 24
963,12:51.84,Grant FISHER,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 FEB 2024,1294,5000m,M,Grant FISHER_5000m_12:51.84_16 FEB 2024,30 Oct 24
1,1:41.20,Marco AROP,CAN,"Stade de France, Paris (FRA)",10 AUG 2024,1292,800m,M,Marco AROP_800m_1:41.20_10 AUG 2024,30 Oct 24
1852,2:02:16,Benson KIPRUTO,KEN,Tokyo (JPN),03 MAR 2024,1292,Full,M,Benson KIPRUTO_Full_2:02:16_03 MAR 2024,30 Oct 24
346,3:26.73,Jakob INGEBRIGTSEN,NOR,"Stade Louis II, Monaco (MON)",12 JUL 2024,1292,1500m,M,Jakob INGEBRIGTSEN_1500m_3:26.73_12 JUL 2024,30 Oct 24
1483,57:30,Yomif KEJELCHA,ETH,Valencia (ESP),27 OCT 2024,1289,Half,M,Yomif KEJELCHA_Half_57:30_27 OCT 2024,30 Oct 24
951,12:38.95,Yomif KEJELCHA,ETH,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1288,5000m,M,Yomif KEJELCHA_5000m_12:38.95_30 MAY 2024,30 Oct 24
321,3:50.30,Gudaf TSEGAY,ETH,"Egret Stadium, Xiamen (CHN)",20 APR 2024,1285,1500m,F,Gudaf TSEGAY_1500m_3:50.30_20 APR 2024,30 Oct 24
639,8:44.39,Winfred YAVI,BRN,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1285,3000m Steeple,F,Winfred YAVI_3000m Steeple_8:44.39_30 AUG 2024,30 Oct 24
2,1:41.46,Djamel SEDJATI,ALG,"Stade Louis II, Monaco (MON)",12 JUL 2024,1284,800m,M,Djamel SEDJATI_800m_1:41.46_12 JUL 2024,30 Oct 24
1853,2:02:44,John KORIR,KEN,"Chicago, IL (USA)",13 OCT 2024,1284,Full,M,John KORIR_Full_2:02:44_13 OCT 2024,30 Oct 24
1854,2:02:55,Timothy KIPLAGAT,KEN,Tokyo (JPN),03 MAR 2024,1281,Full,M,Timothy KIPLAGAT_Full_2:02:55_03 MAR 2024,30 Oct 24
322,3:50.83,Jessica HULL,AUS,"Stade Charléty, Paris (FRA)",07 JUL 2024,1280,1500m,F,Jessica HULL_1500m_3:50.83_07 JUL 2024,30 Oct 24
952,12:40.96,Jacob KIPLIMO,UGA,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1280,5000m,M,Jacob KIPLIMO_5000m_12:40.96_30 MAY 2024,30 Oct 24
3,1:41.61,Gabriel TUAL,FRA,"Stade Charléty, Paris (FRA)",07 JUL 2024,1279,800m,M,Gabriel TUAL_800m_1:41.61_07 JUL 2024,30 Oct 24
