,Mark,Competitor,Nat,Location,Date,Results Score,Discipline,Athlete ID,Number of Runs,Number of Bike Rides,Profile Visibility
410,3:34.37,Adam FOGG,GBR,"Armory Track&Field Center, New York, NY (USA) (i)",11 Feb 2024,1237,1500m,4814818,7513,114,Public
4195,2:28:14,Leslie SEXTON,CAN,"Houston, TX (USA)",14 Jan 2024,1150,Full,6604642,6704,60,Public
1343,27:48.62,Samuel BARATA,POR,"Parliament Hill Fields Athletics Track, London (GBR)",18 May 2024,1149,10000m,13506056,6260,11,Public
714,3:39.90,Baldvin MAGNUSSON,ISL,"Tooting Bec Athletics Track, London (GBR)",24 Jul 2024,1108,1500m,3672145,5524,267,Public
477,3:36.18,James WEST,GBR,"Market Street Athletics Track, Bury (GBR)",10 Aug 2024,1158,1500m,13065561,5429,51,Public
546,3:37.51,Emil DANIELSSON,SWE,"Sollentunavallen, Sollentuna (SWE)",16 Jun 2024,1140,1500m,14003386,5227,97,Public
806,8:16.94,Emil BLOMBERG,SWE,"Olympiastadion, Stockholm (SWE)",02 Jun 2024,1180,3000m Steeple,25213063,4804,27,Public
1793,1:02:00,Tom ANDERSON,GBR,Valencia (ESP),27 Oct 2024,1107,Half,11747326,4729,26,Public
2932,4:07.33,Annie RODENFELS,USA,"Emerson Field, Concord, MA (USA)",08 Jun 2024,1147,1500m,15124771,4692,44,Public
1395,28:05.37,Nelson MANDELA,KEN,"Universiade Commemorative Stadium, Kobe (JPN)",20 Apr 2024,1124,10000m,6982180,4580,137,Public
533,3:37.26,Dillon MAGGARD,USA,"Lincoln HS, Portland, OR (USA)",09 Jun 2024,1144,1500m,5665278,4547,46,Public
3508,15:29.32,Erin TESCHUK,CAN,"Drake Stadium, Los Angeles, CA (USA)",17 May 2024,1107,5000m,21429001,4494,31,Public
3633,32:11.65,Olivia PRATT,USA,"Parliament Hill Fields Athletics Track, London (GBR)",18 May 2024,1129,10000m,11837770,4444,47,Public
2021,2:08:17,CJ ALBERTSON,USA,"Chicago, IL (USA)",13 Oct 2024,1189,Full,9583401,4384,16,Public
