Unnamed: 0,Mark,Competitor,Nat,Location,Date,Results Score,Discipline,Gender,Date_Created,Athlete ID,Number of Runs,Number of Bike Rides,Profile Visibility,2024 Weeks Scraped
1467.0,2:09:56,Ruth CHEPNGETICH,KEN,"Chicago, IL (USA)",13 OCT 2024,1339,Full,F,30 Oct 24,,,,,
,28:46,Agnes Jebet NGETICH,KEN,Valencia (ESP),14 JAN 2024,1317,10k Road,F,15 Jan 25,,,,,
1058.0,28:54.14,Beatrice CHEBET,KEN,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1309,10000m,F,30 Oct 24,,,,,
,28:57,Emmaculate Anyango ACHOL,KEN,Valencia (ESP),14 JAN 2024,1306,10k Road,F,15 Jan 25,,,,,
1059.0,29:05.92,Gudaf TSEGAY,ETH,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1298,10000m,F,30 Oct 24,,,,,
950.0,12:36.73,Hagos GEBRHIWET,ETH,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1296,5000m,M,30 Oct 24,,,,,
,13:54,Beatrice CHEBET,KEN,Barcelona (ESP),31 DEC 2024,1295,5k Road,F,15 Jan 25,,,,,
320.0,3:49.04,Faith KIPYEGON,KEN,"Stade Charléty, Paris (FRA)",07 JUL 2024,1295,1500m,F,30 Oct 24,,,,,
0.0,1:41.11,Emmanuel WANYONYI,KEN,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1295,800m,M,30 Oct 24,,,,,
963.0,12:51.84,Grant FISHER,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 FEB 2024,1294,5000m,M,30 Oct 24,50151684.0,517.0,130.0,Public,45.0
1.0,1:41.20,Marco AROP,CAN,"Stade de France, Paris (FRA)",10 AUG 2024,1292,800m,M,30 Oct 24,98279354.0,190.0,0.0,Public,45.0
346.0,3:26.73,Jakob INGEBRIGTSEN,NOR,"Stade Louis II, Monaco (MON)",12 JUL 2024,1292,1500m,M,30 Oct 24,110000162.0,27.0,0.0,Private,
1852.0,2:02:16,Benson KIPRUTO,KEN,Tokyo (JPN),03 MAR 2024,1292,Full,M,30 Oct 24,,,,,
