Serial,Athlete ID,Athlete Name,Activity ID,Activity Name,Description,Start Date,Elapsed Time,Type,Location,Pace (min/mi),Pace (min/km),Time (min),Distance (km),Activity Time (s),Time
151423,60508941,Boniface Kibiwott,12819462801,Morning Run,nan,2024-11-04 03:21:47+00:00,4141,Run,"Elgeyo-Marakwet County, Kenya",0.0,3.8163716814159296,69.0,18.08,4140.0,1 h 9 m
151509,60508941,Boniface Kibiwott,12819462801,Morning Run,nan,2024-11-04 03:21:47+00:00,4141,Run,"Elgeyo-Marakwet County, Kenya",0.0,3.8163716814159296,69.0,18.08,4140.0,1 h 9 m
151595,60508941,Boniface Kibiwott,12819462801,Morning Run,nan,2024-11-04 03:21:47+00:00,4141,Run,"Elgeyo-Marakwet County, Kenya",0.0,3.8163716814159296,69.0,18.08,4140.0,1 h 9 m
153571,82013388,Logan Measner,12821796663,Morning Run,nan,2024-11-04 16:11:05+00:00,1531,Run,nan,0.0,3.9443585780525505,25.52,6.47,1531.2,25 m 31 s
153570,82013388,Logan Measner,12825100062,Evening Run,nan,2024-11-05 00:13:40+00:00,2605,Run,"Madison, USA",0.0,4.126008064516129,40.93,9.92,2455.8,40 m 56 s
151421,60508941,Boniface Kibiwott,12826253406,Morning Run,nan,2024-11-05 03:34:23+00:00,2676,Run,"Elgeyo-Marakwet County, Kenya",0.0,3.5657467532467533,43.93,12.32,2635.8,43 m 56 s
151507,60508941,Boniface Kibiwott,12826253406,Morning Run,nan,2024-11-05 03:34:23+00:00,2676,Run,"Elgeyo-Marakwet County, Kenya",0.0,3.5657467532467533,43.93,12.32,2635.8,43 m 56 s
151593,60508941,Boniface Kibiwott,12826253406,Morning Run,nan,2024-11-05 03:34:23+00:00,2676,Run,"Elgeyo-Marakwet County, Kenya",0.0,3.5657467532467533,43.93,12.32,2635.8,43 m 56 s
151422,60508941,Boniface Kibiwott,12826254088,Afternoon Run,nan,2024-11-04 12:30:52+00:00,3126,Run,"Elgeyo-Marakwet County, Kenya",0.0,5.1635282457879095,52.1,10.09,3126.0,52 m 6 s
151508,60508941,Boniface Kibiwott,12826254088,Afternoon Run,nan,2024-11-04 12:30:52+00:00,3126,Run,"Elgeyo-Marakwet County, Kenya",0.0,5.1635282457879095,52.1,10.09,3126.0,52 m 6 s
151594,60508941,Boniface Kibiwott,12826254088,Afternoon Run,nan,2024-11-04 12:30:52+00:00,3126,Run,"Elgeyo-Marakwet County, Kenya",0.0,5.1635282457879095,52.1,10.09,3126.0,52 m 6 s
153569,82013388,Logan Measner,12829802200,Morning Run,nan,2024-11-05 16:07:47+00:00,1710,Run,nan,0.0,3.93646408839779,28.5,7.24,1710.0,28 m 30 s
