,Athlete ID,Name,Week Number,Date Range,Distance (km),Time,Elevation (m)
0,74338147,Erin STRZELECKI,01,Activities for 1 Jan 2024 - 7 Jan 2024,90.12304,6h 40m,98.1456
1,74338147,Erin STRZELECKI,02,Activities for 8 Jan 2024 - 14 Jan 2024,59.54558,4h 24m,85.03920000000001
2,74338147,Erin STRZELECKI,03,Activities for 15 Jan 2024 - 21 Jan 2024,78.535792,6h 24m,124.0536
3,74338147,Erin STRZELECKI,04,Activities for 22 Jan 2024 - 28 Jan 2024,78.374858,5h 56m,143.8656
4,74338147,Erin STRZELECKI,05,Activities for 29 Jan 2024 - 4 Feb 2024,86.09969,6h 45m,217.93200000000002
5,74338147,Erin STRZELECKI,06,Activities for 5 Feb 2024 - 11 Feb 2024,79.501396,6h 15m,214.88400000000001
6,74338147,Erin STRZELECKI,07,Activities for 12 Feb 2024 - 18 Feb 2024,86.421558,6h 49m,206.0448
7,74338147,Erin STRZELECKI,08,Activities for 19 Feb 2024 - 25 Feb 2024,61.637722,4h 47m,203.9112
8,74338147,Erin STRZELECKI,09,Activities for 26 Feb 2024 - 3 Mar 2024,37.01482,2h 56m,113.08080000000001
9,74338147,Erin STRZELECKI,10,Activities for 4 Mar 2024 - 10 Mar 2024,86.90436,6h 35m,219.15120000000002
10,74338147,Erin STRZELECKI,11,Activities for 11 Mar 2024 - 17 Mar 2024,88.5137,6h 35m,188.976
11,74338147,Erin STRZELECKI,12,Activities for 18 Mar 2024 - 24 Mar 2024,91.088644,7h 7m,210.9216
12,74338147,Erin STRZELECKI,13,Activities for 25 Mar 2024 - 31 Mar 2024,71.61563,5h 25m,273.1008
13,74338147,Erin STRZELECKI,14,Activities for 1 Apr 2024 - 7 Apr 2024,88.99650199999999,6h 48m,225.85680000000002
14,74338147,Erin STRZELECKI,15,Activities for 8 Apr 2024 - 14 Apr 2024,93.502654,6h 58m,256.94640000000004
15,74338147,Erin STRZELECKI,16,Activities for 15 Apr 2024 - 21 Apr 2024,83.68568,6h 34m,270.0528
16,74338147,Erin STRZELECKI,17,Activities for 22 Apr 2024 - 28 Apr 2024,91.088644,6h 51m,271.8816
17,74338147,Erin STRZELECKI,18,Activities for 29 Apr 2024 - 5 May 2024,93.34172,6h 52m,198.12
18,74338147,Erin STRZELECKI,19,Activities for 6 May 2024 - 12 May 2024,59.22371199999999,4h 30m,149.0472
19,74338147,Erin STRZELECKI,20,Activities for 13 May 2024 - 19 May 2024,41.84284,3h 14m,116.12880000000001
20,74338147,Erin STRZELECKI,21,Activities for 20 May 2024 - 26 May 2024,39.267896,3h 9m,128.93040000000002
21,74338147,Erin STRZELECKI,22,Activities for 27 May 2024 - 2 Jun 2024,19.31208,1h 33m,0.0
22,74338147,Erin STRZELECKI,23,Activities for 3 Jun 2024 - 9 Jun 2024,27.35878,2h 8m,0.0
23,74338147,Erin STRZELECKI,24,Activities for 10 Jun 2024 - 16 Jun 2024,43.45218,3h 13m,84.12480000000001
