,Athlete ID,Name,Week Number,Date Range,Distance (km),Time,Elevation (m)
0,37674562,Peter SMITH,01,Activities for 1 Jan 2024 - 7 Jan 2024,100.744684,8h 33m,1019.8608
1,37674562,Peter SMITH,02,Activities for 8 Jan 2024 - 14 Jan 2024,93.019852,7h 5m,942.1368
2,37674562,Peter SMITH,03,Activities for 15 Jan 2024 - 21 Jan 2024,100.58375,9h 26m,1396.8984
3,37674562,Peter SMITH,04,Activities for 22 Jan 2024 - 28 Jan 2024,66.626676,7h 23m,1191.1584
4,37674562,Peter SMITH,05,Activities for 29 Jan 2024 - 4 Feb 2024,70.650026,7h 18m,922.0200000000001
5,37674562,Peter SMITH,06,Activities for 5 Feb 2024 - 11 Feb 2024,70.971894,6h 16m,829.9704
6,37674562,Peter SMITH,07,Activities for 12 Feb 2024 - 18 Feb 2024,81.110736,7h 30m,942.1368
7,37674562,Peter SMITH,08,Activities for 19 Feb 2024 - 25 Feb 2024,91.410512,7h 44m,805.8912
8,37674562,Peter SMITH,09,Activities for 26 Feb 2024 - 3 Mar 2024,96.399466,8h 41m,1172.8704
9,37674562,Peter SMITH,10,Activities for 4 Mar 2024 - 10 Mar 2024,100.58375,8h 57m,1360.0176000000001
10,37674562,Peter SMITH,11,Activities for 11 Mar 2024 - 17 Mar 2024,93.824522,6h 36m,1147.8768
11,37674562,Peter SMITH,12,Activities for 18 Mar 2024 - 24 Mar 2024,84.49035,6h 29m,1345.9968000000001
12,37674562,Peter SMITH,13,Activities for 25 Mar 2024 - 31 Mar 2024,67.10947800000001,6h 16m,798.8808
13,37674562,Peter SMITH,14,Activities for 1 Apr 2024 - 7 Apr 2024,114.26313999999999,11h 15m,2396.9472
14,37674562,Peter SMITH,15,Activities for 8 Apr 2024 - 14 Apr 2024,168.015096,10h 24m,1669.9992
15,37674562,Peter SMITH,16,Activities for 15 Apr 2024 - 21 Apr 2024,162.060538,9h 3m,1349.0448000000001
16,37674562,Peter SMITH,17,Activities for 22 Apr 2024 - 28 Apr 2024,77.731122,8h 12m,1317.9552
17,37674562,Peter SMITH,18,Activities for 29 Apr 2024 - 5 May 2024,50.050474,4h 25m,722.0712000000001
18,37674562,Peter SMITH,19,Activities for 11 Nov 2024 - 17 Nov 2024,27.197846,2h 31m,484.0224
19,37674562,Peter SMITH,20,Activities for 13 May 2024 - 19 May 2024,34.922678,3h 23m,527.9136
20,37674562,Peter SMITH,21,Activities for 20 May 2024 - 26 May 2024,233.83710200000002,9h 7m,2388.108
21,37674562,Peter SMITH,22,Activities for 27 May 2024 - 2 Jun 2024,72.581234,6h 45m,1046.0736
22,37674562,Peter SMITH,23,Activities for 3 Jun 2024 - 9 Jun 2024,193.1208,10h 2m,2083.0032
23,37674562,Peter SMITH,24,Activities for 10 Jun 2024 - 16 Jun 2024,143.874996,8h 46m,2407.92
24,37674562,Peter SMITH,25,Activities for 17 Jun 2024 - 23 Jun 2024,89.157436,5h 50m,1412.1384
25,37674562,Peter SMITH,26,Activities for 24 Jun 2024 - 30 Jun 2024,53.269154,5h 31m,1043.94
26,37674562,Peter SMITH,27,Activities for 1 Jul 2024 - 7 Jul 2024,268.43791200000004,11h 18m,3040.0752
27,37674562,Peter SMITH,28,Activities for 8 Jul 2024 - 14 Jul 2024,624.5848540000001,24h 59m,6109.106400000001
28,37674562,Peter SMITH,29,Activities for 15 Jul 2024 - 21 Jul 2024,27.680647999999998,2h 48m,434.94960000000003
29,37674562,Peter SMITH,30,Activities for 22 Jul 2024 - 28 Jul 2024,61.637722,7h 3m,1014.984
30,37674562,Peter SMITH,31,Activities for 29 Jul 2024 - 4 Aug 2024,26.071308,2h 30m,305.1048
31,37674562,Peter SMITH,32,Activities for 5 Aug 2024 - 11 Aug 2024,135.18456,7h 5m,1389.8880000000001
