,Athlete ID,Name,Week Number,Date Range,Distance (km),Time,Elevation (m)
0,16528958,Elena BELLÒ,01,Activities for 1 Jan 2024 - 7 Jan 2024,51.98168199999999,5h 12m,334.97520000000003
1,16528958,Elena BELLÒ,02,Activities for 8 Jan 2024 - 14 Jan 2024,74.83431,11h 21m,387.096
2,16528958,Elena BELLÒ,03,Activities for 15 Jan 2024 - 21 Jan 2024,60.35025,6h 12m,342.59520000000003
3,16528958,Elena BELLÒ,04,Activities for 22 Jan 2024 - 28 Jan 2024,46.831794,4h 38m,80.4672
4,16528958,Elena BELLÒ,05,Activities for 29 Jan 2024 - 4 Feb 2024,36.371084,3h 32m,153.924
5,16528958,Elena BELLÒ,06,Activities for 5 Feb 2024 - 11 Feb 2024,41.360037999999996,4h 12m,210.6168
6,16528958,Elena BELLÒ,07,Activities for 12 Feb 2024 - 18 Feb 2024,50.050474,4h 49m,154.8384
7,16528958,Elena BELLÒ,08,Activities for 19 Feb 2024 - 25 Feb 2024,11.909116000000001,1h 11m,77.4192
8,16528958,Elena BELLÒ,09,Activities for 26 Feb 2024 - 3 Mar 2024,30.094658,3h 1m,7.315200000000001
9,16528958,Elena BELLÒ,10,Activities for 4 Mar 2024 - 10 Mar 2024,24.301033999999998,2h 21m,208.4832
10,16528958,Elena BELLÒ,11,Activities for 11 Mar 2024 - 17 Mar 2024,53.751956,5h 10m,234.08640000000003
11,16528958,Elena BELLÒ,12,Activities for 18 Mar 2024 - 24 Mar 2024,56.3269,5h 19m,276.1488
12,16528958,Elena BELLÒ,13,Activities for 25 Mar 2024 - 31 Mar 2024,60.02838199999999,5h 59m,331.3176
13,16528958,Elena BELLÒ,14,Activities for 1 Apr 2024 - 7 Apr 2024,70.971894,11h 0m,564.1848
14,16528958,Elena BELLÒ,15,Activities for 8 Apr 2024 - 14 Apr 2024,60.672118000000005,5h 45m,259.38480000000004
15,16528958,Elena BELLÒ,16,Activities for 15 Apr 2024 - 21 Apr 2024,30.255592,2h 36m,50.292
16,16528958,Elena BELLÒ,17,Activities for 22 Apr 2024 - 28 Apr 2024,79.984198,8h 13m,460.24800000000005
17,16528958,Elena BELLÒ,18,Activities for 29 Apr 2024 - 5 May 2024,64.53453400000001,6h 12m,471.5256
18,16528958,Elena BELLÒ,19,Activities for 6 May 2024 - 12 May 2024,65.66107199999999,9h 21m,935.1264000000001
19,16528958,Elena BELLÒ,20,Activities for 13 May 2024 - 19 May 2024,33.957074,3h 6m,215.79840000000002
20,16528958,Elena BELLÒ,21,Activities for 20 May 2024 - 26 May 2024,103.80243,14h 19m,1478.28
21,16528958,Elena BELLÒ,22,Activities for 27 May 2024 - 2 Jun 2024,12.713786,2h 5m,272.796
22,16528958,Elena BELLÒ,23,Activities for 3 Jun 2024 - 9 Jun 2024,15.932466,1h 27m,65.2272
23,16528958,Elena BELLÒ,24,Activities for 10 Jun 2024 - 16 Jun 2024,33.474272,2h 51m,164.592
24,16528958,Elena BELLÒ,25,Activities for 17 Jun 2024 - 23 Jun 2024,27.680647999999998,2h 27m,125.2728
25,16528958,Elena BELLÒ,26,Activities for 24 Jun 2024 - 30 Jun 2024,28.646252,2h 27m,55.168800000000005
