,Athlete ID,Name,Week Number,Date Range,Distance (km),Time,Elevation (m)
0,14003386,Emil DANIELSSON,01,Activities for 1 Jan 2024 - 7 Jan 2024,161.89960399999998,11h 58m,298.0944
1,14003386,Emil DANIELSSON,02,Activities for 8 Jan 2024 - 14 Jan 2024,130.034672,9h 1m,136.2456
2,14003386,Emil DANIELSSON,03,Activities for 15 Jan 2024 - 21 Jan 2024,116.838084,12h 14m,503.8344
3,14003386,Emil DANIELSSON,04,Activities for 22 Jan 2024 - 28 Jan 2024,91.249578,8h 43m,455.67600000000004
4,14003386,Emil DANIELSSON,05,Activities for 29 Jan 2024 - 4 Feb 2024,125.68945399999998,10h 28m,444.70320000000004
5,14003386,Emil DANIELSSON,06,Activities for 5 Feb 2024 - 11 Feb 2024,124.241048,11h 17m,516.0264000000001
6,14003386,Emil DANIELSSON,07,Activities for 12 Feb 2024 - 18 Feb 2024,157.55438600000002,15h 23m,695.5536000000001
7,14003386,Emil DANIELSSON,08,Activities for 19 Feb 2024 - 25 Feb 2024,101.227486,7h 13m,600.7608
8,14003386,Emil DANIELSSON,09,Activities for 26 Feb 2024 - 3 Mar 2024,126.815992,7h 50m,1163.1168
9,14003386,Emil DANIELSSON,10,Activities for 4 Mar 2024 - 10 Mar 2024,101.87122199999999,7h 58m,1245.7176000000002
10,14003386,Emil DANIELSSON,11,Activities for 11 Mar 2024 - 17 Mar 2024,149.024884,10h 54m,1446.8856
11,14003386,Emil DANIELSSON,12,Activities for 18 Mar 2024 - 24 Mar 2024,141.782854,10h 13m,1346.9112
12,14003386,Emil DANIELSSON,13,Activities for 25 Mar 2024 - 31 Mar 2024,151.760762,10h 51m,1820.8752000000002
13,14003386,Emil DANIELSSON,14,Activities for 1 Apr 2024 - 7 Apr 2024,140.334448,12h 4m,1042.1112
14,14003386,Emil DANIELSSON,15,Activities for 8 Apr 2024 - 14 Apr 2024,194.086404,9h 31m,1545.6408000000001
15,14003386,Emil DANIELSSON,16,Activities for 15 Apr 2024 - 21 Apr 2024,160.12933,10h 52m,549.8592
16,14003386,Emil DANIELSSON,17,Activities for 22 Apr 2024 - 28 Apr 2024,150.95609199999998,10h 37m,430.07280000000003
17,14003386,Emil DANIELSSON,18,Activities for 29 Apr 2024 - 5 May 2024,118.60835800000001,8h 16m,694.9440000000001
18,14003386,Emil DANIELSSON,19,Activities for 6 May 2024 - 12 May 2024,146.610874,10h 33m,672.9984000000001
19,14003386,Emil DANIELSSON,20,Activities for 13 May 2024 - 19 May 2024,126.65505800000001,8h 17m,922.0200000000001
20,14003386,Emil DANIELSSON,21,Activities for 20 May 2024 - 26 May 2024,139.20791,9h 8m,1153.9728
21,14003386,Emil DANIELSSON,22,Activities for 27 May 2024 - 2 Jun 2024,110.23979,7h 32m,648.9192
22,14003386,Emil DANIELSSON,23,Activities for 3 Jun 2024 - 9 Jun 2024,95.916664,7h 1m,309.0672
23,14003386,Emil DANIELSSON,24,Activities for 10 Jun 2024 - 16 Jun 2024,60.35025,4h 45m,356.00640000000004
24,14003386,Emil DANIELSSON,25,Activities for 17 Jun 2024 - 23 Jun 2024,75.63898,6h 6m,360.88320000000004
25,14003386,Emil DANIELSSON,26,Activities for 24 Jun 2024 - 30 Jun 2024,160.451198,11h 18m,1196.0352
26,14003386,Emil DANIELSSON,27,Activities for 1 Jul 2024 - 7 Jul 2024,149.507686,11h 5m,1289.9136
27,14003386,Emil DANIELSSON,28,Activities for 8 Jul 2024 - 14 Jul 2024,125.85038800000001,11h 54m,1524.0
28,14003386,Emil DANIELSSON,29,Activities for 15 Jul 2024 - 21 Jul 2024,170.75097399999999,14h 16m,1140.8664
29,14003386,Emil DANIELSSON,30,Activities for 22 Jul 2024 - 28 Jul 2024,235.60737600000002,14h 32m,1873.9104
30,14003386,Emil DANIELSSON,31,Activities for 29 Jul 2024 - 4 Aug 2024,9.334171999999999,1h 55m,117.04320000000001
31,14003386,Emil DANIELSSON,32,Activities for 5 Aug 2024 - 11 Aug 2024,123.59731199999999,7h 11m,1199.9976000000001
32,14003386,Emil DANIELSSON,33,Activities for 12 Aug 2024 - 18 Aug 2024,135.345494,7h 25m,943.9656
33,14003386,Emil DANIELSSON,34,Activities for 19 Aug 2024 - 25 Aug 2024,184.430364,9h 11m,1403.9088000000002
34,14003386,Emil DANIELSSON,35,Activities for 26 Aug 2024 - 1 Sep 2024,179.28047600000002,9h 39m,1488.948
35,14003386,Emil DANIELSSON,36,Activities for 2 Sep 2024 - 8 Sep 2024,224.18106200000003,11h 11m,2039.112
36,14003386,Emil DANIELSSON,37,Activities for 9 Sep 2024 - 15 Sep 2024,105.41177,11h 50m,878.1288000000001
37,14003386,Emil DANIELSSON,38,Activities for 16 Sep 2024 - 22 Sep 2024,34.118007999999996,3h 29m,405.9936
38,14003386,Emil DANIELSSON,39,Week 39 - No Data,0.0,0h 0m,0.0
39,14003386,Emil DANIELSSON,40,Activities for 30 Sep 2024 - 6 Oct 2024,36.853885999999996,2h 41m,256.03200000000004
40,14003386,Emil DANIELSSON,41,Activities for 7 Oct 2024 - 13 Oct 2024,76.282716,7h 40m,583.9968
41,14003386,Emil DANIELSSON,42,Activities for 14 Oct 2024 - 20 Oct 2024,88.83556800000001,8h 10m,447.14160000000004
42,14003386,Emil DANIELSSON,43,Activities for 21 Oct 2024 - 27 Oct 2024,121.987972,10h 24m,477.9264
43,14003386,Emil DANIELSSON,44,Activities for 28 Oct 2024 - 3 Nov 2024,130.195606,9h 54m,940.9176
44,14003386,Emil DANIELSSON,45,Activities for 4 Nov 2024 - 10 Nov 2024,136.150164,11h 48m,1300.8864
45,25213063,Emil BLOMBERG,01,Activities for 1 Jan 2024 - 7 Jan 2024,152.726366,10h 29m,288.036
46,25213063,Emil BLOMBERG,02,Activities for 8 Jan 2024 - 14 Jan 2024,109.756988,7h 53m,195.9864
47,25213063,Emil BLOMBERG,03,Activities for 15 Jan 2024 - 21 Jan 2024,160.934,12h 54m,782.1168
48,25213063,Emil BLOMBERG,04,Activities for 22 Jan 2024 - 28 Jan 2024,177.0274,12h 17m,943.0512
49,25213063,Emil BLOMBERG,05,Activities for 29 Jan 2024 - 4 Feb 2024,165.922954,12h 37m,796.1376
50,25213063,Emil BLOMBERG,06,Activities for 5 Feb 2024 - 11 Feb 2024,149.507686,10h 57m,485.8512
51,25213063,Emil BLOMBERG,07,Activities for 12 Feb 2024 - 18 Feb 2024,105.894572,7h 31m,324.0024
52,25213063,Emil BLOMBERG,08,Activities for 19 Feb 2024 - 25 Feb 2024,161.57773600000002,10h 52m,825.0936
53,25213063,Emil BLOMBERG,09,Activities for 26 Feb 2024 - 3 Mar 2024,128.908134,9h 33m,790.0416
54,25213063,Emil BLOMBERG,10,Activities for 4 Mar 2024 - 10 Mar 2024,173.00405,13h 49m,832.104
55,25213063,Emil BLOMBERG,11,Activities for 11 Mar 2024 - 17 Mar 2024,150.95609199999998,11h 0m,740.9688
56,25213063,Emil BLOMBERG,12,Activities for 18 Mar 2024 - 24 Mar 2024,110.72259199999999,8h 0m,413.9184
57,25213063,Emil BLOMBERG,13,Activities for 25 Mar 2024 - 31 Mar 2024,152.243564,11h 7m,879.9576000000001
58,25213063,Emil BLOMBERG,14,Activities for 1 Apr 2024 - 7 Apr 2024,135.667362,9h 37m,657.1488
59,25213063,Emil BLOMBERG,15,Activities for 8 Apr 2024 - 14 Apr 2024,102.67589199999999,7h 46m,641.9088
60,25213063,Emil BLOMBERG,16,Activities for 15 Apr 2024 - 21 Apr 2024,85.134086,6h 8m,438.91200000000003
61,25213063,Emil BLOMBERG,17,Activities for 22 Apr 2024 - 28 Apr 2024,98.16974,6h 50m,526.9992
62,25213063,Emil BLOMBERG,18,Activities for 29 Apr 2024 - 5 May 2024,141.300052,9h 41m,783.9456
63,25213063,Emil BLOMBERG,19,Activities for 6 May 2024 - 12 May 2024,92.215182,6h 37m,491.9472
64,25213063,Emil BLOMBERG,20,Activities for 13 May 2024 - 19 May 2024,130.678408,9h 14m,680.9232000000001
65,25213063,Emil BLOMBERG,21,Activities for 20 May 2024 - 26 May 2024,119.413028,8h 28m,648.9192
66,25213063,Emil BLOMBERG,22,Activities for 27 May 2024 - 2 Jun 2024,86.90436,6h 0m,555.9552
67,25213063,Emil BLOMBERG,23,Activities for 3 Jun 2024 - 9 Jun 2024,58.901844000000004,4h 5m,160.9344
68,25213063,Emil BLOMBERG,24,Activities for 10 Jun 2024 - 16 Jun 2024,58.901844000000004,3h 54m,323.088
69,25213063,Emil BLOMBERG,25,Activities for 17 Jun 2024 - 23 Jun 2024,77.409254,5h 16m,430.98720000000003
70,25213063,Emil BLOMBERG,26,Activities for 24 Jun 2024 - 30 Jun 2024,43.613114,3h 20m,516.9408000000001
71,25213063,Emil BLOMBERG,27,Activities for 1 Jul 2024 - 7 Jul 2024,46.992728,3h 12m,381.9144
72,25213063,Emil BLOMBERG,28,Activities for 8 Jul 2024 - 14 Jul 2024,77.570188,5h 29m,517.8552000000001
73,25213063,Emil BLOMBERG,29,Activities for 15 Jul 2024 - 21 Jul 2024,142.10472199999998,9h 24m,1011.0216
74,25213063,Emil BLOMBERG,30,Activities for 22 Jul 2024 - 28 Jul 2024,37.175754000000005,1h 39m,349.91040000000004
75,25213063,Emil BLOMBERG,31,Activities for 29 Jul 2024 - 4 Aug 2024,138.242306,4h 58m,1186.8912
76,25213063,Emil BLOMBERG,32,Activities for 5 Aug 2024 - 11 Aug 2024,1.1265379999999998,0h 5m,3.048
77,25213063,Emil BLOMBERG,33,Activities for 12 Aug 2024 - 18 Aug 2024,28.16345,2h 16m,235.0008
78,25213063,Emil BLOMBERG,34,Activities for 19 Aug 2024 - 25 Aug 2024,137.115768,6h 51m,1414.8816000000002
79,25213063,Emil BLOMBERG,35,Activities for 26 Aug 2024 - 1 Sep 2024,67.753214,3h 6m,573.9384
80,25213063,Emil BLOMBERG,36,Activities for 2 Sep 2024 - 8 Sep 2024,10.138842,0h 52m,81.9912
81,25213063,Emil BLOMBERG,37,Activities for 9 Sep 2024 - 15 Sep 2024,113.780338,4h 20m,737.0064
82,25213063,Emil BLOMBERG,38,Activities for 16 Sep 2024 - 22 Sep 2024,12.391918,1h 0m,111.86160000000001
83,25213063,Emil BLOMBERG,39,Week 39 - No Data,0.0,0h 0m,0.0
84,25213063,Emil BLOMBERG,40,Activities for 30 Sep 2024 - 6 Oct 2024,22.691694,0h 52m,193.8528
85,25213063,Emil BLOMBERG,41,Activities for 7 Oct 2024 - 13 Oct 2024,41.681906,2h 47m,335.88960000000003
86,25213063,Emil BLOMBERG,42,Activities for 14 Oct 2024 - 20 Oct 2024,55.361295999999996,4h 7m,417.8808
87,25213063,Emil BLOMBERG,43,Activities for 21 Oct 2024 - 27 Oct 2024,47.153662000000004,3h 23m,320.9544
88,25213063,Emil BLOMBERG,44,Activities for 28 Oct 2024 - 3 Nov 2024,65.500138,4h 56m,459.02880000000005
89,25213063,Emil BLOMBERG,45,Activities for 4 Nov 2024 - 10 Nov 2024,77.570188,5h 53m,566.0136
90,11747326,Tom ANDERSON,01,Activities for 1 Jan 2024 - 7 Jan 2024,120.217698,8h 2m,619.0488
91,11747326,Tom ANDERSON,02,Activities for 8 Jan 2024 - 14 Jan 2024,138.886042,8h 44m,342.90000000000003
92,11747326,Tom ANDERSON,03,Activities for 15 Jan 2024 - 21 Jan 2024,134.21895600000002,9h 25m,371.856
93,11747326,Tom ANDERSON,04,Activities for 22 Jan 2024 - 28 Jan 2024,120.7005,7h 43m,341.07120000000003
94,11747326,Tom ANDERSON,05,Activities for 29 Jan 2024 - 4 Feb 2024,129.873738,9h 45m,511.1496
95,11747326,Tom ANDERSON,06,Activities for 5 Feb 2024 - 11 Feb 2024,113.941272,7h 16m,501.0912
96,11747326,Tom ANDERSON,07,Activities for 12 Feb 2024 - 18 Feb 2024,100.905618,7h 2m,508.1016
97,11747326,Tom ANDERSON,08,Activities for 19 Feb 2024 - 25 Feb 2024,92.215182,5h 52m,280.1112
98,11747326,Tom ANDERSON,09,Activities for 26 Feb 2024 - 3 Mar 2024,129.71280399999998,8h 48m,694.9440000000001
99,11747326,Tom ANDERSON,10,Activities for 4 Mar 2024 - 10 Mar 2024,128.7472,8h 59m,623.9256
