,Athlete ID,Name,Week Number,Date Range,Distance (km),Time,Elevation (m)
0,1478217,Jack RAYNER,01,Activities for 1 Jan 2024 - 7 Jan 2024,143.4,9h 35m,991.0
1,1478217,Jack RAYNER,02,Activities for 8 Jan 2024 - 14 Jan 2024,156.0,10h 26m,942.0
2,1478217,Jack RAYNER,03,Activities for 15 Jan 2024 - 21 Jan 2024,148.1,9h 59m,1258.0
3,1478217,Jack RAYNER,04,Activities for 22 Jan 2024 - 28 Jan 2024,167.7,11h 31m,1512.0
4,1478217,Jack RAYNER,05,Activities for 29 Jan 2024 - 4 Feb 2024,160.6,10h 49m,1395.0
5,1478217,Jack RAYNER,06,Activities for 5 Feb 2024 - 11 Feb 2024,159.0,10h 51m,896.0
6,1478217,Jack RAYNER,07,Activities for 12 Feb 2024 - 18 Feb 2024,139.5,9h 23m,822.0
7,1478217,Jack RAYNER,08,Activities for 19 Feb 2024 - 25 Feb 2024,160.4,10h 55m,1054.0
8,1478217,Jack RAYNER,09,Activities for 26 Feb 2024 - 3 Mar 2024,160.1,10h 50m,1079.0
9,1478217,Jack RAYNER,10,Activities for 4 Mar 2024 - 10 Mar 2024,152.6,10h 35m,985.0
10,1478217,Jack RAYNER,11,Activities for 11 Mar 2024 - 17 Mar 2024,126.9,8h 41m,418.0
11,1478217,Jack RAYNER,12,Activities for 18 Mar 2024 - 24 Mar 2024,128.5,8h 48m,889.0
12,1478217,Jack RAYNER,13,Activities for 25 Mar 2024 - 31 Mar 2024,168.8,11h 34m,1571.0
13,1478217,Jack RAYNER,14,Activities for 1 Apr 2024 - 7 Apr 2024,163.4,11h 22m,1042.0
14,1478217,Jack RAYNER,15,Activities for 8 Apr 2024 - 14 Apr 2024,116.7,8h 8m,568.0
15,1478217,Jack RAYNER,16,Activities for 15 Apr 2024 - 21 Apr 2024,121.0,8h 38m,335.0
16,1478217,Jack RAYNER,17,Activities for 22 Apr 2024 - 28 Apr 2024,124.8,8h 49m,304.0
17,1478217,Jack RAYNER,18,Activities for 29 Apr 2024 - 5 May 2024,154.6,10h 35m,845.0
18,1478217,Jack RAYNER,19,Activities for 6 May 2024 - 12 May 2024,130.8,8h 40m,534.0
19,1478217,Jack RAYNER,20,Activities for 13 May 2024 - 19 May 2024,157.2,10h 43m,1135.0
20,1478217,Jack RAYNER,21,Activities for 20 May 2024 - 26 May 2024,106.9,7h 7m,188.0
21,1478217,Jack RAYNER,22,Activities for 27 May 2024 - 2 Jun 2024,141.4,9h 53m,1594.0
22,1478217,Jack RAYNER,23,Activities for 3 Jun 2024 - 9 Jun 2024,153.2,10h 41m,1803.0
23,1478217,Jack RAYNER,24,Activities for 10 Jun 2024 - 16 Jun 2024,34.1,2h 23m,267.0
24,1478217,Jack RAYNER,25,Week 25 - No Data,0.0,0h 0m,0.0
25,1478217,Jack RAYNER,26,Week 26 - No Data,0.0,0h 0m,0.0
26,1478217,Jack RAYNER,27,Week 27 - No Data,0.0,0h 0m,0.0
27,1478217,Jack RAYNER,28,Week 28 - No Data,0.0,0h 0m,0.0
28,1478217,Jack RAYNER,29,Week 29 - No Data,0.0,0h 0m,0.0
29,1478217,Jack RAYNER,30,Activities for 22 Jul 2024 - 28 Jul 2024,75.2,5h 12m,469.0
30,1478217,Jack RAYNER,31,Activities for 29 Jul 2024 - 4 Aug 2024,76.3,5h 20m,206.0
31,1478217,Jack RAYNER,32,Activities for 5 Aug 2024 - 11 Aug 2024,73.3,5h 9m,191.0
32,1478217,Jack RAYNER,33,Activities for 12 Aug 2024 - 18 Aug 2024,125.8,8h 49m,655.0
33,1478217,Jack RAYNER,34,Activities for 19 Aug 2024 - 25 Aug 2024,180.7,11h 58m,1439.0
34,1478217,Jack RAYNER,35,Activities for 26 Aug 2024 - 1 Sep 2024,163.7,11h 9m,1868.0
35,1478217,Jack RAYNER,36,Activities for 2 Sep 2024 - 8 Sep 2024,163.6,11h 1m,997.0
36,1478217,Jack RAYNER,37,Activities for 9 Sep 2024 - 15 Sep 2024,139.0,9h 25m,651.0
37,1478217,Jack RAYNER,38,Activities for 16 Sep 2024 - 22 Sep 2024,182.6,11h 53m,1050.0
38,1478217,Jack RAYNER,39,Activities for 23 Sep 2024 - 29 Sep 2024,169.7,11h 28m,931.0
39,1478217,Jack RAYNER,40,Activities for 30 Sep 2024 - 6 Oct 2024,144.3,10h 1m,1082.0
40,1478217,Jack RAYNER,41,Activities for 7 Oct 2024 - 13 Oct 2024,108.6,6h 50m,457.0
41,1478217,Jack RAYNER,42,Activities for 14 Oct 2024 - 20 Oct 2024,145.8,8h 6m,1276.0
42,1478217,Jack RAYNER,43,Activities for 21 Oct 2024 - 27 Oct 2024,118.3,8h 6m,923.0
43,1478217,Jack RAYNER,44,Activities for 28 Oct 2024 - 3 Nov 2024,130.5,9h 3m,576.0
44,1478217,Jack RAYNER,45,Activities for 4 Nov 2024 - 10 Nov 2024,140.3,9h 40m,1129.0
45,43725547,Collins KIBET,01,Week 01 - No Data,0.0,0h 0m,0.0
46,43725547,Collins KIBET,02,Week 02 - No Data,0.0,0h 0m,0.0
47,43725547,Collins KIBET,03,Week 03 - No Data,0.0,0h 0m,0.0
48,43725547,Collins KIBET,04,Week 04 - No Data,0.0,0h 0m,0.0
49,43725547,Collins KIBET,05,Week 05 - No Data,0.0,0h 0m,0.0
50,43725547,Collins KIBET,06,Week 06 - No Data,0.0,0h 0m,0.0
51,43725547,Collins KIBET,07,Week 07 - No Data,0.0,0h 0m,0.0
52,43725547,Collins KIBET,08,Week 08 - No Data,0.0,0h 0m,0.0
53,43725547,Collins KIBET,09,Week 09 - No Data,0.0,0h 0m,0.0
54,43725547,Collins KIBET,10,Week 10 - No Data,0.0,0h 0m,0.0
55,43725547,Collins KIBET,11,Week 11 - No Data,0.0,0h 0m,0.0
56,43725547,Collins KIBET,12,Week 12 - No Data,0.0,0h 0m,0.0
57,43725547,Collins KIBET,13,Week 13 - No Data,0.0,0h 0m,0.0
58,43725547,Collins KIBET,14,Week 14 - No Data,0.0,0h 0m,0.0
59,43725547,Collins KIBET,15,Week 15 - No Data,0.0,0h 0m,0.0
60,43725547,Collins KIBET,16,Week 16 - No Data,0.0,0h 0m,0.0
61,43725547,Collins KIBET,17,Week 17 - No Data,0.0,0h 0m,0.0
62,43725547,Collins KIBET,18,Week 18 - No Data,0.0,0h 0m,0.0
63,43725547,Collins KIBET,19,Week 19 - No Data,0.0,0h 0m,0.0
64,43725547,Collins KIBET,20,Week 20 - No Data,0.0,0h 0m,0.0
