,Athlete ID,Athlete Name,Activity ID,Activity Name,Description,Start Date,Elapsed Time,Type,Location,Distance (km),Pace (min/km),Time
0,94876602,James Kimeu,10483884386,The big game warm up,,2024-01-03 07:09:20+00:00,2046,Run,"Makueni, Kenya",3.69,6.28,23m 12s
1,94876602,James Kimeu,10477226040,The big boys,,2024-01-02 03:57:44+00:00,3177,Run,"Makueni, Kenya",8.13,,52m 2s
2,94876602,James Kimeu,10518292156,Jan 4th run,,2024-01-08 14:19:30+00:00,3788,Run,"Nairobi County, Kenya",12.1,5.17,1h 2m
3,94876602,James Kimeu,10601926193,Afternoon Run,,2024-01-21 14:23:56+00:00,1895,Run,"Kiambu, Kenya",5.29,5.7,30m 12s
4,94876602,James Kimeu,10576516208,Epic 6th run Jan 2024,,2024-01-17 14:45:12+00:00,3478,Run,"Nairobi County, Kenya",11.75,4.93,57m 58s
5,94876602,James Kimeu,10562220432,5th take Jan 2024,,2024-01-15 10:18:56+00:00,3274,Run,"Kiambu, Kenya",10.1,5.4,54m 34s
6,94876602,James Kimeu,10648063202,8th Run January 2024,,2024-01-28 14:25:56+00:00,3688,Run,"Nairobi County, Kenya",12.0,5.1,1h 1m
7,94876602,James Kimeu,10725408819,3rd run Feb 2024,,2024-02-09 04:31:37+00:00,3638,Run,"Kiambu, Kenya",11.0,5.52,1h 0m
8,94876602,James Kimeu,10714781620,2nd run Feb 2024,,2024-02-07 13:18:33+00:00,3680,Run,"Nairobi County, Kenya",12.01,5.1,1h 1m
9,94876602,James Kimeu,10706360281,1st walk Feb 2024,,2024-02-06 08:18:35+00:00,5836,Walk,"Kiambu, Kenya",8.79,,1h 29m
10,94876602,James Kimeu,10698969621,1st Run Feb 2024,,2024-02-05 04:18:51+00:00,4548,Run,"Nairobi County, Kenya",15.0,5.05,1h 15m
11,94876602,James Kimeu,10771016876,6th run FEB 2024 (16 for 16),,2024-02-16 04:01:50+00:00,4906,Run,"Nairobi County, Kenya",16.01,5.08,1h 21m
12,94876602,James Kimeu,10759105541,3rd walk Feb 2024,,2024-02-14 08:13:01+00:00,6871,Run,"Nairobi County, Kenya",12.35,9.13,1h 52m
13,94876602,James Kimeu,10747783148,2nd walk Feb 2024,,2024-02-12 15:29:11+00:00,4736,Walk,"Nairobi County, Kenya",2.83,,28 m
14,94876602,James Kimeu,10747318173,5th Run Feb 2024 Dedicated to the fallen Marathon Champion,,2024-02-12 14:38:24+00:00,2978,Run,"Nairobi County, Kenya",10.01,4.95,49m 38s
15,94876602,James Kimeu,10791371724,7th Run Feb 2024,,2024-02-19 04:33:05+00:00,3592,Run,"Nairobi County, Kenya",12.05,4.93,59m 22s
16,94876602,James Kimeu,10848220804,4th walk Feb 2024,,2024-02-27 14:40:46+00:00,5553,Walk,"Makueni, Kenya",7.97,,1h 26m
17,94876602,James Kimeu,10885876346,1st Run March 2024,,2024-03-04 04:27:01+00:00,3585,Run,"Nairobi County, Kenya",12.21,4.88,59m 45s
18,94876602,James Kimeu,10962854674,4th run March 2024,,2024-03-15 05:43:29+00:00,6704,Run,"Nairobi County, Kenya",21.0,5.32,1h 51m
19,94876602,James Kimeu,10934419642,2nd run March 2024,,2024-03-11 04:59:13+00:00,3442,Run,"Nairobi County, Kenya",12.0,4.78,57m 22s
20,94876602,James Kimeu,11027833827,Afternoon Walk,,2024-03-24 11:32:24+00:00,3875,Walk,"Nairobi County, Kenya",4.59,,43 m
21,94876602,James Kimeu,11026370809,Afternoon Walk,,2024-03-24 09:04:32+00:00,4218,Walk,"Nairobi County, Kenya",4.9,,66 m
22,94876602,James Kimeu,11021757590,Afternoon Run,,2024-03-23 13:58:33+00:00,3359,Run,"Nairobi County, Kenya",7.46,7.25,54m 8s
23,94876602,James Kimeu,10983660458,5th Run March 2024,,2024-03-18 04:45:08+00:00,3570,Run,"Nairobi County, Kenya",12.0,4.92,59m 3s
24,94876602,James Kimeu,11049252483,5th run March 2024,,2024-03-27 14:46:54+00:00,3273,Run,"Kiambu, Kenya",10.01,5.45,54m 33s
25,94876602,James Kimeu,11123579072,1st April Run Johnnie’s and a Bennie,,2024-04-07 03:52:32+00:00,3505,Run,"Makueni, Kenya",8.19,,58m 2s
26,94876602,James Kimeu,11123473980,1st walk April 2024,,2024-04-06 13:18:12+00:00,12446,Run,"Makueni, Kenya",7.65,,1h 8m
27,94876602,James Kimeu,11216946712,3rd run April 2024,,2024-04-19 13:14:13+00:00,3524,Run,"Kiambu, Kenya",11.01,5.33,58m 44s
28,94876602,James Kimeu,11194676891,2nd run April 2024,,2024-04-16 12:09:30+00:00,3287,Run,"Kiambu, Kenya",10.04,5.45,54m 41s
29,94876602,James Kimeu,11452171884,Run 1 May 2024,,2024-05-07 08:49:44+00:00,2039,Run,"Kiambu, Kenya",6.29,5.4,33m 59s
30,94876602,James Kimeu,11490661354,VC Run 2024,,2024-05-25 04:00:42+00:00,6774,Run,"Nairobi County, Kenya",22.15,5.1,1h 52m
31,94876602,James Kimeu,11452298006,Bday run - VC Run 2024 loading…,,2024-05-20 04:23:47+00:00,3467,Run,"Kiambu, Kenya",11.01,5.23,57m 33s
32,94876602,James Kimeu,11643972963,2nd Run/walk June 2024,,2024-06-13 14:42:28+00:00,4176,Walk,"Nairobi County, Kenya",8.65,,1h 4m
33,94876602,James Kimeu,11619163607,1st Run June 2024,,2024-06-10 13:07:59+00:00,3612,Run,"Kiambu, Kenya",11.0,5.47,1h 0m
34,94876602,James Kimeu,11737887858,Maandamano walk,,2024-06-25 12:14:54+00:00,21165,Walk,"Kiambu, Kenya",12.29,,2h 19m
35,94876602,James Kimeu,11860346714,Good vibes 07/2024,,2024-07-11 07:49:37+00:00,3311,Run,"Kiambu, Kenya",10.04,5.42,54m 25s
36,94876602,James Kimeu,11961538580,Thankful in July,,2024-07-23 15:21:59+00:00,3295,Run,"Kiambu, Kenya",10.1,5.43,54m 55s
37,94876602,James Kimeu,12032440626,Run 1 August 2024,,2024-08-01 02:43:54+00:00,3216,Run,"Kiambu, Kenya",10.01,5.35,53m 36s
38,94876602,James Kimeu,12180420440,Karura walk,,2024-08-18 13:41:17+00:00,6505,Walk,"Nairobi County, Kenya",13.36,,1h 36m
39,94876602,James Kimeu,12150635377,2nd run Aug 2024,,2024-08-15 03:27:13+00:00,3620,Run,"Kiambu, Kenya",11.0,5.48,1h 0m
40,94876602,James Kimeu,12202617364,3rd Run Aug 2024,,2024-08-21 03:20:34+00:00,3494,Run,"Kiambu, Kenya",11.0,5.28,58m 14s
41,94876602,James Kimeu,12320673043,Morning Trail Run,,2024-09-01 11:20:19+00:00,3499,TrailRun,"Nairobi County, Kenya",2.82,8.4,23m 44s
42,94876602,James Kimeu,12354826329,Nairobi Marathon 2024,,2024-09-08 04:31:20+00:00,6491,Run,"Nairobi County, Kenya",21.3,5.08,1h 48m
43,94876602,James Kimeu,12320837890,Nairobi Marathon ready,,2024-09-04 03:04:52+00:00,3725,Run,"Kiambu, Kenya",11.5,5.4,1h 2m
