athlete_id,official_name,official_name_normalized,display_name,nationality_code,gender,identity_status,identity_source,created_at_utc,updated_at_utc
4cb5931d-aa4f-445b-8b01-1639409dccfd,Aaliyah MILLER,aaliyahmiller,,USA,female,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
be1c6540-dc3e-4f23-a4c9-875d2a8755ef,Aaliyah MOORE,aaliyahmoore,,GUY,female,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
cc474fc4-a57b-4476-abec-70fc9ebf118f,Aamelmal TAGEL,aamelmaltagel,,ETH,female,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
929ac84c-5597-45f8-86af-c3abfc7bb361,Aaron Ahl,aaronahl,Aaron Ahl,CAN,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
ccc450d3-556b-49c3-93c4-9f7be640041f,Aaron Kemei CHEMININGWA,aaronkemeicheminingwa,,KEN,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
9e364a84-de1d-4ca6-a546-197ab75ac624,Aarón LAS HERAS,aaronlasheras,,ESP,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
7df831ea-9e9d-4108-a6e2-e8ae1b37bee1,Ababel YESHANEH,ababelyeshaneh,,ETH,female,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
50f8b996-c376-4e32-99fa-aa8b469a99c7,Abay ALEMU,abayalemu,,ETH,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
0258aa2c-db35-4d62-a6a3-2af2fc4fce18,Abayneh AYELE,abaynehayele,,ETH,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
8e54528b-a6c0-4f99-9110-6d413ae36c4c,Abbabiya SIMBASSA,abbabiyasimbassa,,USA,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
052d54a0-c3ae-4dad-9062-ff9b1922612a,Abbe GOLDSTEIN,abbegoldstein,,USA,female,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
321323a0-04bd-494d-b944-f9d75b0b4a0a,Abbey CALDWELL,abbeycaldwell,,AUS,female,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
ab6ef1b0-0ca3-464a-8061-1122214f6135,Abbey COOPER,abbeycooper,,USA,female,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
85662f3b-0d7d-4f20-bf2b-5157056b1bad,Abbie DONNELLY,abbiedonnelly,,GBR,female,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
f7bc9709-81e9-4a0b-a57a-7c88174339c1,Abby Nichols,abbynichols,Abby Nichols,USA,female,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
befc47d1-1809-46eb-9d60-5b6045ea8889,Abdela GODANA,abdelagodana,,ETH,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
1ffa2d39-93d8-4088-8b75-6ebfc54d7f52,Abdelati EL GUESSE,abdelatielguesse,,MAR,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
3f60fd71-0594-40d2-8287-2479f928e397,Abdelaziz MERZOUGUI,abdelazizmerzougui,,ESP,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
15b547ac-d1d9-4b81-b6a5-e0280fb324e0,Abdelhadi LABÄLI,abdelhadilabali,,MAR,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
b6f89f74-8c1a-4a36-8f94-2d1cc70c54e2,Abdelhakim ABOUZOUHAIR,abdelhakimabouzouhair,,MAR,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
aca8baa8-2679-464f-b898-ce1581861b10,Abdelkarim BEN ZAHRA,abdelkarimbenzahra,,MAR,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
308d1031-ac11-4e3c-8912-030c292ecf26,Abdel LAADJEL,abdellaadjel,,IRL,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
2c969f32-b2d4-49f1-ab37-5046fb01f4cc,Abdellah MOUZLIB,abdellahmouzlib,,MAR,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
54ca620e-8907-4203-85d8-40a5f3f9dd14,Abdellah TAGHARRAFET,abdellahtagharrafet,,MAR,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
5de29a15-b1c3-4c6f-8a5a-a94c95dd83b8,Abdellatif SADIKI,abdellatifsadiki,,MAR,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
3a6dcf29-3530-4e54-b57e-89eb744665c8,Abderezak SULEMAN,abderezaksuleman,,ERI,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
41c1eb91-829d-4801-9689-a5361b24d740,Abderraahmane AFERDI,abderraahmaneaferdi,,MAR,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
b33471a4-1386-4310-981f-cd598fb9ffbd,Abderrahman EL KHAYAMI,abderrahmanelkhayami,,ESP,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
dbcd7ff1-bca8-4926-bfb1-d1c8b5517da1,Abderrazak CHARIK,abderrazakcharik,,FRA,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
db25fd11-2cab-4669-b9a6-d0688a7d908b,Abdessamad OUKHELFEN,abdessamadoukhelfen,,ESP,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
9ad82804-326f-4633-b566-eaf8285296d6,Abdi Ali GELELCHU,abdialigelelchu,,BRN,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
734d1f54-7029-4892-9150-821424eebc89,Abdi FUFA,abdifufa,,ETH,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
976b513c-1fe7-48ba-8691-5a07b992861e,Abdihamid Nur,abdihamidnur,Abdihamid nur,USA,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
b686be66-5de3-49de-9358-c379e5cb396e,Abdi KEBEDE,abdikebede,,ETH,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
4832a77b-0e3c-4a8f-b152-5d570befa018,Abdi NAGEEYE,abdinageeye,,NED,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
d04696df-b244-4a28-ac56-4324e1449334,Abdirahman Saeed HASSAN,abdirahmansaeedhassan,,QAT,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
543d2732-085f-4b46-ae50-05fcb1a489f5,Abdisa FAYISA,abdisafayisa,,ETH,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
299296d8-2cf8-4fdf-b7e9-c6fdc6a63d19,Abdisa TOLA,abdisatola,,ETH,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
49ebd4d2-19eb-4ff7-966b-05a6b1bde0a8,Abdi WAISS,abdiwaiss,,DJI,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
1f19e064-ac74-4975-9f78-48dacffc89b7,Abdrselam WORKU,abdrselamworku,,ETH,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
98160658-b1d3-4305-aa0f-fc469c2e9c58,Abdu ASSEN,abduassen,,ETH,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
1ec08196-9dbe-41a8-bdf3-cefbc887a8da,Abdu ENDRIS,abduendris,,ETH,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
6e5774fa-042b-4389-97da-a93938bdb66d,Abduljelil ABDULWOKIL,abduljelilabdulwokil,,ETH,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
8ee84d34-d3df-4e77-842c-639f39cd5af5,Abdulkerim TEKI,abdulkerimteki,,ETH,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
07e3666c-5f89-4e7e-94fc-58077536ecbd,Abdullahi Dahir RABI,abdullahidahirrabi,,NOR,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
8d714fd9-6a7c-44bc-97ee-053aa223604f,Abdullahi HASSAN,abdullahihassan,,CAN,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
d506cd51-662c-4345-a859-3663c65bda5c,Abdullahi JAMA MOHAMED,abdullahijamamohamed,,SOM,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
84ad0071-953a-4d44-a7a5-70b36ada3f37,Abdullah TUĞLUK,abdullahtugluk,,TUR,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
2288a304-839c-411d-9887-1ab0a802b41d,Abdurrahman Gediklioğlu,abdurrahmangediklioglu,Abdurrahman Gediklioğlu,TUR,male,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
61770747-bf73-4732-b1fd-437f52c3ded5,Abeba AREGAWI,abebaaregawi,,SWE,female,resolved,world_athletics,2026-09-02T14:42:10Z,2026-09-02T14:42:10Z
