Athlete ID,Name,Week Number,Date Range,Distance (km),Time,Elevation (m)
4814818.0,Adam FOGG,45,Activities for 4 Nov 2024 - 10 Nov 2024,142.9,10h 15m,1059.0
4814818.0,Adam FOGG,46,Activities for 11 Nov 2024 - 17 Nov 2024,128.0,8h 47m,608.0
4814818.0,Adam FOGG,47,Activities for 18 Nov 2024 - 24 Nov 2024,106.7,7h 28m,482.0
4814818.0,Adam FOGG,45,Activities for 4 Nov 2024 - 10 Nov 2024,142.9,10h 15m,1059.0
4814818.0,Adam FOGG,46,Activities for 27 Jan 2025 - 2 Feb 2025,103.9,7h 33m,415.0
4814818.0,Adam FOGG,47,Activities for 18 Nov 2024 - 24 Nov 2024,106.7,7h 28m,482.0
4928335.0,JP FLAVIN,45,Activities for 4 Nov 2024 - 10 Nov 2024,122.6,7h 54m,685.0
4928335.0,JP FLAVIN,46,Activities for 11 Nov 2024 - 17 Nov 2024,166.0,10h 40m,829.0
4928335.0,JP FLAVIN,47,Activities for 18 Nov 2024 - 24 Nov 2024,169.8,11h 3m,948.0
45537525.0,Thomas BRIDGER,45,Activities for 4 Nov 2024 - 10 Nov 2024,121.6,8h 52m,1242.0
45537525.0,Thomas BRIDGER,46,Activities for 11 Nov 2024 - 17 Nov 2024,83.2,6h 6m,518.0
45537525.0,Thomas BRIDGER,47,Activities for 18 Nov 2024 - 24 Nov 2024,54.7,4h 20m,401.0
