Athlete ID,Name,Week Number,Date Range,Distance (km),Time,Elevation (m)
32795912.0,Ben PATTISON,45,Activities for 4 Nov 2024 - 10 Nov 2024,61.5,4h 54m,473.0
32795912.0,Ben PATTISON,46,Activities for 11 Nov 2024 - 17 Nov 2024,59.9,4h 4m,378.0
32795912.0,Ben PATTISON,47,Activities for 18 Nov 2024 - 24 Nov 2024,84.5,5h 55m,583.0
32795912.0,Ben PATTISON,48,Activities for 25 Nov 2024 - 1 Dec 2024,81.5,6h 31m,710.0
32795912.0,Ben PATTISON,49,Activities for 2 Dec 2024 - 8 Dec 2024,89.8,6h 36m,606.0
32795912.0,Ben PATTISON,50,Activities for 9 Dec 2024 - 15 Dec 2024,50.0,3h 30m,420.0
32795912.0,Ben PATTISON,51,Activities for 16 Dec 2024 - 22 Dec 2024,19.2,2h 54m,73.0
32795912.0,Ben PATTISON,52,Activities for 23 Dec 2024 - 29 Dec 2024,1.0,2h 34m,0.0
29900318.0,Niels LAROS,45,Activities for 4 Nov 2024 - 10 Nov 2024,9.3,0h 27m,50.0
29900318.0,Niels LAROS,46,Week 46 - No Data,0.0,0h 0m,0.0
29900318.0,Niels LAROS,47,Activities for 18 Nov 2024 - 24 Nov 2024,9.5,0h 29m,28.0
29900318.0,Niels LAROS,48,Week 48 - No Data,0.0,0h 0m,0.0
29900318.0,Niels LAROS,49,Week 49 - No Data,0.0,0h 0m,0.0
29900318.0,Niels LAROS,50,Week 50 - No Data,0.0,0h 0m,0.0
29900318.0,Niels LAROS,51,Week 51 - No Data,0.0,0h 0m,0.0
29900318.0,Niels LAROS,52,Week 52 - No Data,0.0,0h 0m,0.0
28540939.0,Pieter SISK,45,Activities for 4 Nov 2024 - 10 Nov 2024,100.0,8h 38m,324.0
28540939.0,Pieter SISK,46,Activities for 11 Nov 2024 - 17 Nov 2024,100.0,9h 19m,284.0
28540939.0,Pieter SISK,47,Activities for 18 Nov 2024 - 24 Nov 2024,50.0,4h 29m,116.0
28540939.0,Pieter SISK,48,Activities for 25 Nov 2024 - 1 Dec 2024,65.0,6h 59m,202.0
28540939.0,Pieter SISK,49,Activities for 2 Dec 2024 - 8 Dec 2024,115.0,9h 56m,194.0
28540939.0,Pieter SISK,50,Activities for 9 Dec 2024 - 15 Dec 2024,110.0,9h 48m,407.0
28540939.0,Pieter SISK,51,Activities for 16 Dec 2024 - 22 Dec 2024,105.0,9h 48m,212.0
28540939.0,Pieter SISK,52,Activities for 23 Dec 2024 - 29 Dec 2024,78.0,7h 27m,202.0
33020384.0,Ruben VERHEYDEN,45,Activities for 4 Nov 2024 - 10 Nov 2024,180.8,8h 37m,459.0
33020384.0,Ruben VERHEYDEN,46,Activities for 11 Nov 2024 - 17 Nov 2024,76.5,5h 2m,94.0
33020384.0,Ruben VERHEYDEN,47,Activities for 18 Nov 2024 - 24 Nov 2024,91.3,6h 2m,124.0
33020384.0,Ruben VERHEYDEN,48,Activities for 25 Nov 2024 - 1 Dec 2024,82.9,4h 41m,607.0
33020384.0,Ruben VERHEYDEN,49,Activities for 2 Dec 2024 - 8 Dec 2024,63.7,4h 20m,49.0
33020384.0,Ruben VERHEYDEN,50,Activities for 9 Dec 2024 - 15 Dec 2024,131.9,6h 59m,575.0
33020384.0,Ruben VERHEYDEN,51,Activities for 16 Dec 2024 - 22 Dec 2024,126.1,7h 2m,610.0
33020384.0,Ruben VERHEYDEN,52,Activities for 23 Dec 2024 - 29 Dec 2024,59.6,3h 56m,125.0
33180931.0,Travis MAHONEY,45,Activities for 4 Nov 2024 - 10 Nov 2024,53.7,3h 47m,370.0
33180931.0,Travis MAHONEY,46,Activities for 11 Nov 2024 - 17 Nov 2024,90.4,6h 3m,776.0
33180931.0,Travis MAHONEY,47,Activities for 18 Nov 2024 - 24 Nov 2024,67.7,4h 58m,286.0
33180931.0,Travis MAHONEY,48,Activities for 25 Nov 2024 - 1 Dec 2024,22.5,1h 32m,237.0
33180931.0,Travis MAHONEY,49,Activities for 2 Dec 2024 - 8 Dec 2024,24.4,1h 49m,416.0
33180931.0,Travis MAHONEY,50,Activities for 9 Dec 2024 - 15 Dec 2024,12.9,0h 56m,30.0
33180931.0,Travis MAHONEY,51,Week 51 - No Data,0.0,0h 0m,0.0
33180931.0,Travis MAHONEY,52,Activities for 23 Dec 2024 - 29 Dec 2024,8.5,0h 42m,77.0
31259127.0,Craig ENGELS,45,Week 45 - No Data,0.0,0h 0m,0.0
31259127.0,Craig ENGELS,46,Week 46 - No Data,0.0,0h 0m,0.0
31259127.0,Craig ENGELS,47,Activities for 18 Nov 2024 - 24 Nov 2024,19.5,1h 40m,57.0
31259127.0,Craig ENGELS,48,Activities for 25 Nov 2024 - 1 Dec 2024,10.8,0h 50m,21.0
31259127.0,Craig ENGELS,49,Week 49 - No Data,0.0,0h 0m,0.0
31259127.0,Craig ENGELS,50,Week 50 - No Data,0.0,0h 0m,0.0
31259127.0,Craig ENGELS,51,Week 51 - No Data,0.0,0h 0m,0.0
31259127.0,Craig ENGELS,52,Week 52 - No Data,0.0,0h 0m,0.0
27786043.0,Parul CHAUDHARY,45,Activities for 4 Nov 2024 - 10 Nov 2024,3.0,0h 36m,2.0
27786043.0,Parul CHAUDHARY,46,Week 46 - No Data,0.0,0h 0m,0.0
27786043.0,Parul CHAUDHARY,47,Week 47 - No Data,0.0,0h 0m,0.0
27786043.0,Parul CHAUDHARY,48,Week 48 - No Data,0.0,0h 0m,0.0
27786043.0,Parul CHAUDHARY,49,Week 49 - No Data,0.0,0h 0m,0.0
27786043.0,Parul CHAUDHARY,50,Week 50 - No Data,0.0,0h 0m,0.0
27786043.0,Parul CHAUDHARY,51,Activities for 16 Dec 2024 - 22 Dec 2024,4.5,1h 32m,6.0
27786043.0,Parul CHAUDHARY,52,Activities for 23 Dec 2024 - 29 Dec 2024,12.5,2h 6m,68.0
29862838.0,Svetlana APLACHKINA,45,Activities for 4 Nov 2024 - 10 Nov 2024,125.1,12h 42m,684.0
29862838.0,Svetlana APLACHKINA,46,Activities for 11 Nov 2024 - 17 Nov 2024,123.9,10h 45m,938.0
29862838.0,Svetlana APLACHKINA,47,Activities for 18 Nov 2024 - 24 Nov 2024,155.8,12h 21m,1121.0
29862838.0,Svetlana APLACHKINA,48,Activities for 25 Nov 2024 - 1 Dec 2024,75.2,5h 57m,199.0
29862838.0,Svetlana APLACHKINA,49,Activities for 2 Dec 2024 - 8 Dec 2024,102.3,8h 35m,480.0
