Athlete ID,Name,Week Number,Date Range,Distance (km),Time,Elevation (m)
8112897.0,Daniel ARCE,45,Week 45 - No Data,0.0,0h 0m,0.0
8112897.0,Daniel ARCE,46,Week 46 - No Data,0.0,0h 0m,0.0
8112897.0,Daniel ARCE,47,Week 47 - No Data,0.0,0h 0m,0.0
8112897.0,Daniel ARCE,48,Week 48 - No Data,0.0,0h 0m,0.0
8112897.0,Daniel ARCE,49,Week 49 - No Data,0.0,0h 0m,0.0
8112897.0,Daniel ARCE,50,Week 50 - No Data,0.0,0h 0m,0.0
8112897.0,Daniel ARCE,51,Week 51 - No Data,0.0,0h 0m,0.0
8112897.0,Daniel ARCE,52,Activities for 23 Dec 2024 - 29 Dec 2024,6.9,0h 42m,63.0
9559332.0,Brandon MILLER,45,Activities for 4 Nov 2024 - 10 Nov 2024,124.7,9h 33m,947.0
9559332.0,Brandon MILLER,46,Activities for 11 Nov 2024 - 17 Nov 2024,150.5,13h 25m,2292.0
9559332.0,Brandon MILLER,47,Activities for 18 Nov 2024 - 24 Nov 2024,123.3,10h 10m,546.0
9559332.0,Brandon MILLER,48,Activities for 25 Nov 2024 - 1 Dec 2024,112.3,10h 40m,355.0
9559332.0,Brandon MILLER,49,Activities for 2 Dec 2024 - 8 Dec 2024,36.1,3h 8m,179.0
9559332.0,Brandon MILLER,50,Activities for 9 Dec 2024 - 15 Dec 2024,116.1,9h 11m,443.0
9559332.0,Brandon MILLER,51,Week 51 - No Data,0.0,0h 0m,0.0
9559332.0,Brandon MILLER,52,Week 52 - No Data,0.0,0h 0m,0.0
10444014.0,Sophie O'SULLIVAN,45,Activities for 4 Nov 2024 - 10 Nov 2024,104.6,10h 43m,822.0
10444014.0,Sophie O'SULLIVAN,46,Activities for 11 Nov 2024 - 17 Nov 2024,108.5,8h 9m,440.0
10444014.0,Sophie O'SULLIVAN,47,Activities for 18 Nov 2024 - 24 Nov 2024,67.9,4h 59m,529.0
10444014.0,Sophie O'SULLIVAN,48,Activities for 25 Nov 2024 - 1 Dec 2024,130.6,10h 31m,577.0
10444014.0,Sophie O'SULLIVAN,49,Activities for 2 Dec 2024 - 8 Dec 2024,98.9,7h 33m,407.0
10444014.0,Sophie O'SULLIVAN,50,Activities for 9 Dec 2024 - 15 Dec 2024,76.9,5h 54m,722.0
10444014.0,Sophie O'SULLIVAN,51,Activities for 16 Dec 2024 - 22 Dec 2024,126.0,9h 10m,639.0
10444014.0,Sophie O'SULLIVAN,52,Activities for 23 Dec 2024 - 29 Dec 2024,163.3,11h 10m,1876.0
10816005.0,Alexis MIELLET,45,Activities for 4 Nov 2024 - 10 Nov 2024,19.0,1h 12m,22.0
10816005.0,Alexis MIELLET,46,Activities for 11 Nov 2024 - 17 Nov 2024,8.0,0h 23m,94.0
10816005.0,Alexis MIELLET,47,Activities for 18 Nov 2024 - 24 Nov 2024,15.2,1h 1m,29.0
10816005.0,Alexis MIELLET,48,Activities for 25 Nov 2024 - 1 Dec 2024,9.9,0h 33m,3.0
10816005.0,Alexis MIELLET,49,Activities for 2 Dec 2024 - 8 Dec 2024,12.7,0h 44m,106.0
10816005.0,Alexis MIELLET,50,Activities for 9 Dec 2024 - 15 Dec 2024,20.7,1h 14m,88.0
10816005.0,Alexis MIELLET,51,Activities for 16 Dec 2024 - 22 Dec 2024,10.3,0h 43m,53.0
10816005.0,Alexis MIELLET,52,Activities for 23 Dec 2024 - 29 Dec 2024,39.3,2h 40m,284.0
9351341.0,Rory LINKLETTER,45,Activities for 4 Nov 2024 - 10 Nov 2024,10.2,0h 47m,95.0
9351341.0,Rory LINKLETTER,46,Activities for 11 Nov 2024 - 17 Nov 2024,35.5,2h 41m,430.0
9351341.0,Rory LINKLETTER,47,Activities for 18 Nov 2024 - 24 Nov 2024,73.9,5h 15m,435.0
9351341.0,Rory LINKLETTER,48,Activities for 25 Nov 2024 - 1 Dec 2024,96.5,6h 30m,769.0
9351341.0,Rory LINKLETTER,49,Activities for 2 Dec 2024 - 8 Dec 2024,119.3,8h 29m,801.0
9351341.0,Rory LINKLETTER,50,Activities for 9 Dec 2024 - 15 Dec 2024,146.5,10h 44m,880.0
9351341.0,Rory LINKLETTER,51,Activities for 16 Dec 2024 - 22 Dec 2024,173.4,12h 43m,1353.0
9351341.0,Rory LINKLETTER,52,Activities for 23 Dec 2024 - 29 Dec 2024,185.1,13h 20m,1427.0
12019441.0,Keira D'AMATO,45,Activities for 4 Nov 2024 - 10 Nov 2024,20.8,11h 50m,0.0
12019441.0,Keira D'AMATO,46,Activities for 11 Nov 2024 - 17 Nov 2024,4.0,11h 13m,0.0
12019441.0,Keira D'AMATO,47,Activities for 18 Nov 2024 - 24 Nov 2024,16.7,6h 57m,0.0
12019441.0,Keira D'AMATO,48,Activities for 25 Nov 2024 - 1 Dec 2024,2.0,9h 27m,0.0
12019441.0,Keira D'AMATO,49,Activities for 2 Dec 2024 - 8 Dec 2024,9.4,10h 1m,98.0
12019441.0,Keira D'AMATO,50,Activities for 9 Dec 2024 - 15 Dec 2024,24.8,9h 31m,72.0
12019441.0,Keira D'AMATO,51,Activities for 16 Dec 2024 - 22 Dec 2024,60.9,9h 24m,224.0
12019441.0,Keira D'AMATO,52,Activities for 23 Dec 2024 - 29 Dec 2024,65.0,6h 16m,207.0
7677443.0,Charles WHEELER,45,Activities for 4 Nov 2024 - 10 Nov 2024,50.5,3h 16m,335.0
7677443.0,Charles WHEELER,46,Activities for 11 Nov 2024 - 17 Nov 2024,44.9,1h 53m,405.0
7677443.0,Charles WHEELER,47,Activities for 18 Nov 2024 - 24 Nov 2024,87.0,7h 39m,597.0
7677443.0,Charles WHEELER,48,Activities for 25 Nov 2024 - 1 Dec 2024,26.8,1h 28m,284.0
7677443.0,Charles WHEELER,49,Activities for 2 Dec 2024 - 8 Dec 2024,44.5,3h 33m,346.0
7677443.0,Charles WHEELER,50,Activities for 9 Dec 2024 - 15 Dec 2024,28.6,1h 38m,366.0
7677443.0,Charles WHEELER,51,Activities for 16 Dec 2024 - 22 Dec 2024,10.9,1h 57m,13.0
7677443.0,Charles WHEELER,52,Activities for 23 Dec 2024 - 29 Dec 2024,54.4,4h 23m,266.0
11328161.0,Regan YEE,45,Activities for 4 Nov 2024 - 10 Nov 2024,118.6,9h 55m,834.0
11328161.0,Regan YEE,46,Activities for 11 Nov 2024 - 17 Nov 2024,144.4,11h 55m,1221.0
11328161.0,Regan YEE,47,Activities for 18 Nov 2024 - 24 Nov 2024,138.2,11h 9m,841.0
11328161.0,Regan YEE,48,Activities for 25 Nov 2024 - 1 Dec 2024,140.8,11h 36m,984.0
11328161.0,Regan YEE,49,Activities for 2 Dec 2024 - 8 Dec 2024,113.9,9h 36m,607.0
11328161.0,Regan YEE,50,Activities for 9 Dec 2024 - 15 Dec 2024,131.3,10h 56m,988.0
11328161.0,Regan YEE,51,Activities for 16 Dec 2024 - 22 Dec 2024,154.4,12h 51m,1067.0
11328161.0,Regan YEE,52,Activities for 23 Dec 2024 - 29 Dec 2024,87.8,7h 13m,648.0
8140136.0,Samuel AUSTIN,45,Week 45 - No Data,0.0,0h 0m,0.0
8140136.0,Samuel AUSTIN,46,Week 46 - No Data,0.0,0h 0m,0.0
8140136.0,Samuel AUSTIN,47,Week 47 - No Data,0.0,0h 0m,0.0
8140136.0,Samuel AUSTIN,48,Week 48 - No Data,0.0,0h 0m,0.0
8140136.0,Samuel AUSTIN,49,Week 49 - No Data,0.0,0h 0m,0.0
8140136.0,Samuel AUSTIN,50,Week 50 - No Data,0.0,0h 0m,0.0
8140136.0,Samuel AUSTIN,51,Week 51 - No Data,0.0,0h 0m,0.0
8140136.0,Samuel AUSTIN,52,Week 52 - No Data,0.0,0h 0m,0.0
10984855.0,Jonathan MELLOR,45,Week 45 - No Data,0.0,0h 0m,0.0
10984855.0,Jonathan MELLOR,46,Week 46 - No Data,0.0,0h 0m,0.0
10984855.0,Jonathan MELLOR,47,Week 47 - No Data,0.0,0h 0m,0.0
10984855.0,Jonathan MELLOR,48,Week 48 - No Data,0.0,0h 0m,0.0
10984855.0,Jonathan MELLOR,49,Week 49 - No Data,0.0,0h 0m,0.0
10984855.0,Jonathan MELLOR,50,Week 50 - No Data,0.0,0h 0m,0.0
10984855.0,Jonathan MELLOR,51,Week 51 - No Data,0.0,0h 0m,0.0
10984855.0,Jonathan MELLOR,52,Week 52 - No Data,0.0,0h 0m,0.0
10318023.0,Davis BOVE,45,Activities for 4 Nov 2024 - 10 Nov 2024,153.0,9h 24m,1218.0
10318023.0,Davis BOVE,46,Activities for 11 Nov 2024 - 17 Nov 2024,67.2,5h 3m,293.0
10318023.0,Davis BOVE,47,Week 47 - No Data,0.0,0h 0m,0.0
10318023.0,Davis BOVE,48,Week 48 - No Data,0.0,0h 0m,0.0
10318023.0,Davis BOVE,49,Activities for 2 Dec 2024 - 8 Dec 2024,4.0,1h 13m,0.0
10318023.0,Davis BOVE,50,Week 50 - No Data,0.0,0h 0m,0.0
10318023.0,Davis BOVE,51,Activities for 16 Dec 2024 - 22 Dec 2024,5.7,0h 30m,20.0
10318023.0,Davis BOVE,52,Activities for 23 Dec 2024 - 29 Dec 2024,51.0,2h 39m,340.0
8728583.0,Jorge CASTELBLANCO,45,Week 45 - No Data,0.0,0h 0m,0.0
8728583.0,Jorge CASTELBLANCO,46,Week 46 - No Data,0.0,0h 0m,0.0
8728583.0,Jorge CASTELBLANCO,47,Week 47 - No Data,0.0,0h 0m,0.0
8728583.0,Jorge CASTELBLANCO,48,Week 48 - No Data,0.0,0h 0m,0.0
8728583.0,Jorge CASTELBLANCO,49,Week 49 - No Data,0.0,0h 0m,0.0
8728583.0,Jorge CASTELBLANCO,50,Week 50 - No Data,0.0,0h 0m,0.0
8728583.0,Jorge CASTELBLANCO,51,Week 51 - No Data,0.0,0h 0m,0.0
8728583.0,Jorge CASTELBLANCO,52,Week 52 - No Data,0.0,0h 0m,0.0
11328161.0,Regan YEE,45,Activities for 4 Nov 2024 - 10 Nov 2024,118.6,9h 55m,834.0
11328161.0,Regan YEE,46,Activities for 11 Nov 2024 - 17 Nov 2024,144.4,11h 55m,1221.0
11328161.0,Regan YEE,47,Activities for 18 Nov 2024 - 24 Nov 2024,138.2,11h 9m,841.0
11328161.0,Regan YEE,48,Week 48 - No Data,0.0,0h 0m,0.0
11328161.0,Regan YEE,49,Activities for 2 Dec 2024 - 8 Dec 2024,113.9,9h 36m,607.0
11328161.0,Regan YEE,50,Activities for 9 Dec 2024 - 15 Dec 2024,131.3,10h 56m,988.0
11328161.0,Regan YEE,51,Activities for 16 Dec 2024 - 22 Dec 2024,154.4,12h 51m,1067.0
11328161.0,Regan YEE,52,Activities for 23 Dec 2024 - 29 Dec 2024,87.8,7h 13m,648.0
8841155.0,Derek JOHNSON,45,Week 45 - No Data,0.0,0h 0m,0.0
8841155.0,Derek JOHNSON,46,Week 46 - No Data,0.0,0h 0m,0.0
8841155.0,Derek JOHNSON,47,Week 47 - No Data,0.0,0h 0m,0.0
8841155.0,Derek JOHNSON,48,Week 48 - No Data,0.0,0h 0m,0.0
8841155.0,Derek JOHNSON,49,Week 49 - No Data,0.0,0h 0m,0.0
8841155.0,Derek JOHNSON,50,Week 50 - No Data,0.0,0h 0m,0.0
8841155.0,Derek JOHNSON,51,Week 51 - No Data,0.0,0h 0m,0.0
8841155.0,Derek JOHNSON,52,Week 52 - No Data,0.0,0h 0m,0.0
9588583.0,Joey BERRIATUA,45,Activities for 4 Nov 2024 - 10 Nov 2024,125.9,8h 43m,329.0
9588583.0,Joey BERRIATUA,46,Activities for 11 Nov 2024 - 17 Nov 2024,138.6,10h 6m,643.0
9588583.0,Joey BERRIATUA,47,Activities for 3 Feb 2025 - 9 Feb 2025,80.0,5h 13m,310.0
9588583.0,Joey BERRIATUA,48,Activities for 3 Feb 2025 - 9 Feb 2025,80.0,5h 13m,310.0
9588583.0,Joey BERRIATUA,49,Activities for 2 Dec 2024 - 8 Dec 2024,166.1,11h 40m,657.0
9588583.0,Joey BERRIATUA,50,Activities for 3 Feb 2025 - 9 Feb 2025,80.0,5h 13m,310.0
9588583.0,Joey BERRIATUA,51,Activities for 16 Dec 2024 - 22 Dec 2024,167.9,11h 46m,612.0
9588583.0,Joey BERRIATUA,52,Activities for 23 Dec 2024 - 29 Dec 2024,148.9,10h 3m,244.0
12527724.0,Carter FITZGERALD,45,Activities for 4 Nov 2024 - 10 Nov 2024,7.2,1h 19m,60.0
12527724.0,Carter FITZGERALD,46,Week 46 - No Data,0.0,0h 0m,0.0
12527724.0,Carter FITZGERALD,47,Activities for 18 Nov 2024 - 24 Nov 2024,4.6,0h 42m,51.0
12527724.0,Carter FITZGERALD,48,Activities for 25 Nov 2024 - 1 Dec 2024,9.0,1h 15m,151.0
12527724.0,Carter FITZGERALD,49,Activities for 2 Dec 2024 - 8 Dec 2024,6.4,0h 50m,60.0
12527724.0,Carter FITZGERALD,50,Week 50 - No Data,0.0,0h 0m,0.0
12527724.0,Carter FITZGERALD,51,Activities for 16 Dec 2024 - 22 Dec 2024,4.1,0h 29m,54.0
12527724.0,Carter FITZGERALD,52,Week 52 - No Data,0.0,0h 0m,0.0
11328161.0,Regan YEE,45,Activities for 4 Nov 2024 - 10 Nov 2024,118.6,9h 55m,834.0
