Athlete ID,Name,Week Number,Date Range,Distance (km),Time,Elevation (m)
46787646.0,Eliott CRESTAN,45,Activities for 4 Nov 2024 - 10 Nov 2024,65.3,4h 8m,321.0
46787646.0,Eliott CRESTAN,46,Activities for 11 Nov 2024 - 17 Nov 2024,33.2,2h 8m,76.0
46787646.0,Eliott CRESTAN,47,Activities for 18 Nov 2024 - 24 Nov 2024,58.3,3h 41m,142.0
46787646.0,Eliott CRESTAN,48,Activities for 25 Nov 2024 - 1 Dec 2024,41.7,2h 43m,200.0
46787646.0,Eliott CRESTAN,49,Activities for 2 Dec 2024 - 8 Dec 2024,50.9,3h 15m,173.0
46787646.0,Eliott CRESTAN,50,Activities for 9 Dec 2024 - 15 Dec 2024,40.8,2h 34m,53.0
46787646.0,Eliott CRESTAN,51,Activities for 16 Dec 2024 - 22 Dec 2024,37.2,2h 25m,68.0
46787646.0,Eliott CRESTAN,52,Activities for 23 Dec 2024 - 29 Dec 2024,30.3,1h 57m,156.0
44007546.0,Abdihamid NUR,45,Week 45 - No Data,0.0,0h 0m,0.0
44007546.0,Abdihamid NUR,46,Week 46 - No Data,0.0,0h 0m,0.0
44007546.0,Abdihamid NUR,47,Week 47 - No Data,0.0,0h 0m,0.0
44007546.0,Abdihamid NUR,48,Week 48 - No Data,0.0,0h 0m,0.0
44007546.0,Abdihamid NUR,49,Week 49 - No Data,0.0,0h 0m,0.0
44007546.0,Abdihamid NUR,50,Week 50 - No Data,0.0,0h 0m,0.0
44007546.0,Abdihamid NUR,51,Week 51 - No Data,0.0,0h 0m,0.0
44007546.0,Abdihamid NUR,52,Week 52 - No Data,0.0,0h 0m,0.0
43684184.0,Marisa HOWARD,45,Activities for 4 Nov 2024 - 10 Nov 2024,72.2,8h 45m,1129.0
43684184.0,Marisa HOWARD,46,Activities for 11 Nov 2024 - 17 Nov 2024,63.3,6h 46m,918.0
43684184.0,Marisa HOWARD,47,Activities for 18 Nov 2024 - 24 Nov 2024,78.5,8h 4m,1404.0
43684184.0,Marisa HOWARD,48,Activities for 25 Nov 2024 - 1 Dec 2024,76.5,8h 14m,622.0
43684184.0,Marisa HOWARD,49,Activities for 2 Dec 2024 - 8 Dec 2024,81.7,8h 5m,1221.0
43684184.0,Marisa HOWARD,50,Activities for 9 Dec 2024 - 15 Dec 2024,81.9,8h 4m,1136.0
43684184.0,Marisa HOWARD,51,Activities for 16 Dec 2024 - 22 Dec 2024,81.1,8h 5m,1208.0
43684184.0,Marisa HOWARD,52,Activities for 23 Dec 2024 - 29 Dec 2024,77.5,7h 42m,944.0
44331112.0,Yusuke NISHIYAMA,45,Week 45 - No Data,0.0,0h 0m,0.0
44331112.0,Yusuke NISHIYAMA,46,Week 46 - No Data,0.0,0h 0m,0.0
44331112.0,Yusuke NISHIYAMA,47,Week 47 - No Data,0.0,0h 0m,0.0
44331112.0,Yusuke NISHIYAMA,48,Week 48 - No Data,0.0,0h 0m,0.0
44331112.0,Yusuke NISHIYAMA,49,Week 49 - No Data,0.0,0h 0m,0.0
44331112.0,Yusuke NISHIYAMA,50,Week 50 - No Data,0.0,0h 0m,0.0
44331112.0,Yusuke NISHIYAMA,51,Week 51 - No Data,0.0,0h 0m,0.0
44331112.0,Yusuke NISHIYAMA,52,Week 52 - No Data,0.0,0h 0m,0.0
42578650.0,Sarah BILLINGS,45,Week 45 - No Data,0.0,0h 0m,0.0
42578650.0,Sarah BILLINGS,46,Week 46 - No Data,0.0,0h 0m,0.0
42578650.0,Sarah BILLINGS,47,Activities for 18 Nov 2024 - 24 Nov 2024,21.5,1h 30m,350.0
42578650.0,Sarah BILLINGS,48,Week 48 - No Data,0.0,0h 0m,0.0
42578650.0,Sarah BILLINGS,49,Week 49 - No Data,0.0,0h 0m,0.0
42578650.0,Sarah BILLINGS,50,Activities for 9 Dec 2024 - 15 Dec 2024,12.8,1h 1m,113.0
42578650.0,Sarah BILLINGS,51,Week 51 - No Data,0.0,0h 0m,0.0
42578650.0,Sarah BILLINGS,52,Week 52 - No Data,0.0,0h 0m,0.0
42139655.0,Sebastian HENDEL,45,Activities for 4 Nov 2024 - 10 Nov 2024,81.1,5h 23m,628.0
42139655.0,Sebastian HENDEL,46,Activities for 11 Nov 2024 - 17 Nov 2024,11.9,1h 50m,76.0
42139655.0,Sebastian HENDEL,47,Activities for 18 Nov 2024 - 24 Nov 2024,40.0,2h 44m,306.0
42139655.0,Sebastian HENDEL,48,Activities for 25 Nov 2024 - 1 Dec 2024,28.1,3h 0m,75.0
42139655.0,Sebastian HENDEL,49,Activities for 2 Dec 2024 - 8 Dec 2024,10.4,0h 44m,59.0
42139655.0,Sebastian HENDEL,50,Activities for 9 Dec 2024 - 15 Dec 2024,8.0,0h 38m,0.0
42139655.0,Sebastian HENDEL,51,Week 51 - No Data,0.0,0h 0m,0.0
42139655.0,Sebastian HENDEL,52,Week 52 - No Data,0.0,0h 0m,0.0
44007546.0,Abdihamid NUR,45,Week 45 - No Data,0.0,0h 0m,0.0
44007546.0,Abdihamid NUR,46,Week 46 - No Data,0.0,0h 0m,0.0
44007546.0,Abdihamid NUR,47,Week 47 - No Data,0.0,0h 0m,0.0
44007546.0,Abdihamid NUR,48,Week 48 - No Data,0.0,0h 0m,0.0
44007546.0,Abdihamid NUR,49,Week 49 - No Data,0.0,0h 0m,0.0
44007546.0,Abdihamid NUR,50,Week 50 - No Data,0.0,0h 0m,0.0
44007546.0,Abdihamid NUR,51,Week 51 - No Data,0.0,0h 0m,0.0
44007546.0,Abdihamid NUR,52,Week 52 - No Data,0.0,0h 0m,0.0
38389393.0,Rob NAPOLITANO,45,Activities for 4 Nov 2024 - 10 Nov 2024,32.1,2h 20m,0.0
38389393.0,Rob NAPOLITANO,46,Week 46 - No Data,0.0,0h 0m,0.0
