Athlete ID,Name,Week Number,Date Range,Distance (km),Time,Elevation (m)
21935508.0,Etienne DAGUINOS,45,Activities for 4 Nov 2024 - 10 Nov 2024,164.7,9h 52m,852.0
21935508.0,Etienne DAGUINOS,46,Activities for 11 Nov 2024 - 17 Nov 2024,80.4,5h 49m,241.0
21935508.0,Etienne DAGUINOS,47,Week 47 - No Data,0.0,0h 0m,0.0
21935508.0,Etienne DAGUINOS,48,Activities for 25 Nov 2024 - 1 Dec 2024,74.0,7h 7m,253.0
21935508.0,Etienne DAGUINOS,49,Activities for 2 Dec 2024 - 8 Dec 2024,191.6,11h 21m,1099.0
21935508.0,Etienne DAGUINOS,50,Activities for 9 Dec 2024 - 15 Dec 2024,110.4,7h 52m,517.0
21935508.0,Etienne DAGUINOS,51,Activities for 16 Dec 2024 - 22 Dec 2024,132.6,9h 23m,788.0
21935508.0,Etienne DAGUINOS,52,Activities for 23 Dec 2024 - 29 Dec 2024,206.4,11h 15m,730.0
21935508.0,Etienne DAGUINOS,45,Activities for 4 Nov 2024 - 10 Nov 2024,164.7,9h 52m,852.0
21935508.0,Etienne DAGUINOS,46,Activities for 11 Nov 2024 - 17 Nov 2024,80.4,5h 49m,241.0
21935508.0,Etienne DAGUINOS,47,Week 47 - No Data,0.0,0h 0m,0.0
21935508.0,Etienne DAGUINOS,48,Activities for 25 Nov 2024 - 1 Dec 2024,74.0,7h 7m,253.0
21935508.0,Etienne DAGUINOS,49,Activities for 2 Dec 2024 - 8 Dec 2024,191.6,11h 21m,1099.0
21935508.0,Etienne DAGUINOS,50,Activities for 9 Dec 2024 - 15 Dec 2024,110.4,7h 52m,517.0
21935508.0,Etienne DAGUINOS,51,Activities for 16 Dec 2024 - 22 Dec 2024,132.6,9h 23m,788.0
21935508.0,Etienne DAGUINOS,52,Activities for 23 Dec 2024 - 29 Dec 2024,206.4,11h 15m,730.0
23682243.0,Corentin LE CLEZIO,45,Activities for 4 Nov 2024 - 10 Nov 2024,126.0,8h 20m,336.0
23682243.0,Corentin LE CLEZIO,46,Activities for 11 Nov 2024 - 17 Nov 2024,107.8,7h 58m,244.0
23682243.0,Corentin LE CLEZIO,47,Activities for 18 Nov 2024 - 24 Nov 2024,106.1,8h 13m,609.0
23682243.0,Corentin LE CLEZIO,48,Activities for 25 Nov 2024 - 1 Dec 2024,123.5,10h 19m,878.0
23682243.0,Corentin LE CLEZIO,49,Activities for 2 Dec 2024 - 8 Dec 2024,131.2,10h 0m,931.0
23682243.0,Corentin LE CLEZIO,50,Activities for 9 Dec 2024 - 15 Dec 2024,128.0,10h 25m,674.0
23682243.0,Corentin LE CLEZIO,51,Activities for 16 Dec 2024 - 22 Dec 2024,118.5,9h 39m,747.0
23682243.0,Corentin LE CLEZIO,52,Activities for 23 Dec 2024 - 29 Dec 2024,103.5,7h 24m,341.0
23763182.0,James CORRIGAN,45,Week 45 - No Data,0.0,0h 0m,0.0
23763182.0,James CORRIGAN,46,Week 46 - No Data,0.0,0h 0m,0.0
23763182.0,James CORRIGAN,47,Activities for 18 Nov 2024 - 24 Nov 2024,0.4,0h 1m,0.0
23763182.0,James CORRIGAN,48,Week 48 - No Data,0.0,0h 0m,0.0
