Athlete ID,Name,Week Number,Date Range,Distance (km),Time,Elevation (m)
25124025.0,Georgia BELL,45,Activities for 4 Nov 2024 - 10 Nov 2024,3.4,0h 13m,81.0
25124025.0,Georgia BELL,46,Week 46 - No Data,0.0,0h 0m,0.0
25124025.0,Georgia BELL,47,Activities for 18 Nov 2024 - 24 Nov 2024,4.3,0h 16m,30.0
25124025.0,Georgia BELL,48,Week 48 - No Data,0.0,0h 0m,0.0
25124025.0,Georgia BELL,49,Week 49 - No Data,0.0,0h 0m,0.0
25124025.0,Georgia BELL,50,Week 50 - No Data,0.0,0h 0m,0.0
25124025.0,Georgia BELL,51,Activities for 16 Dec 2024 - 22 Dec 2024,16.1,1h 24m,322.0
25124025.0,Georgia BELL,52,Activities for 23 Dec 2024 - 29 Dec 2024,4.9,0h 17m,0.0
25124025.0,Georgia BELL,45,Activities for 4 Nov 2024 - 10 Nov 2024,3.4,0h 13m,81.0
25124025.0,Georgia BELL,46,Week 46 - No Data,0.0,0h 0m,0.0
25124025.0,Georgia BELL,47,Activities for 18 Nov 2024 - 24 Nov 2024,4.3,0h 16m,30.0
25124025.0,Georgia BELL,48,Week 48 - No Data,0.0,0h 0m,0.0
25124025.0,Georgia BELL,49,Week 49 - No Data,0.0,0h 0m,0.0
25124025.0,Georgia BELL,50,Week 50 - No Data,0.0,0h 0m,0.0
25124025.0,Georgia BELL,51,Activities for 16 Dec 2024 - 22 Dec 2024,16.1,1h 24m,322.0
25124025.0,Georgia BELL,52,Activities for 23 Dec 2024 - 29 Dec 2024,4.9,0h 17m,0.0
26841392.0,Olin HACKER,45,Activities for 4 Nov 2024 - 10 Nov 2024,125.9,9h 5m,924.0
26841392.0,Olin HACKER,46,Activities for 11 Nov 2024 - 17 Nov 2024,130.3,9h 38m,1094.0
26841392.0,Olin HACKER,47,Activities for 18 Nov 2024 - 24 Nov 2024,135.4,13h 53m,891.0
26841392.0,Olin HACKER,48,Activities for 25 Nov 2024 - 1 Dec 2024,131.2,9h 36m,1106.0
26841392.0,Olin HACKER,49,Activities for 2 Dec 2024 - 8 Dec 2024,135.9,9h 56m,1093.0
26841392.0,Olin HACKER,50,Activities for 9 Dec 2024 - 15 Dec 2024,128.9,9h 35m,1378.0
26841392.0,Olin HACKER,51,Activities for 16 Dec 2024 - 22 Dec 2024,137.1,10h 20m,891.0
26841392.0,Olin HACKER,52,Activities for 23 Dec 2024 - 29 Dec 2024,109.3,7h 1m,911.0
26914590.0,Sarah HEALY,45,Activities for 4 Nov 2024 - 10 Nov 2024,28.2,3h 6m,345.0
26914590.0,Sarah HEALY,46,Activities for 11 Nov 2024 - 17 Nov 2024,11.0,1h 2m,27.0
26914590.0,Sarah HEALY,47,Activities for 18 Nov 2024 - 24 Nov 2024,19.1,1h 40m,62.0
