Athlete ID,Name,Week Number,Date Range,Distance (km),Time,Elevation (m)
56168841.0,Hobbs KESSLER,45,Week 45 - No Data,0.0,0h 0m,0.0
56168841.0,Hobbs KESSLER,46,Week 46 - No Data,0.0,0h 0m,0.0
56168841.0,Hobbs KESSLER,47,Week 47 - No Data,0.0,0h 0m,0.0
56168841.0,Hobbs KESSLER,48,Week 48 - No Data,0.0,0h 0m,0.0
56168841.0,Hobbs KESSLER,49,Week 49 - No Data,0.0,0h 0m,0.0
56168841.0,Hobbs KESSLER,50,Week 50 - No Data,0.0,0h 0m,0.0
56168841.0,Hobbs KESSLER,51,Week 51 - No Data,0.0,0h 0m,0.0
56168841.0,Hobbs KESSLER,52,Week 52 - No Data,0.0,0h 0m,0.0
50044591.0,Morgan BEADLESCOMB,45,Activities for 4 Nov 2024 - 10 Nov 2024,116.1,8h 58m,1032.0
50044591.0,Morgan BEADLESCOMB,46,Activities for 11 Nov 2024 - 17 Nov 2024,134.5,9h 51m,1007.0
50044591.0,Morgan BEADLESCOMB,47,Activities for 18 Nov 2024 - 24 Nov 2024,134.4,10h 6m,907.0
50044591.0,Morgan BEADLESCOMB,48,Activities for 25 Nov 2024 - 1 Dec 2024,115.5,9h 51m,712.0
50044591.0,Morgan BEADLESCOMB,49,Activities for 2 Dec 2024 - 8 Dec 2024,113.3,9h 19m,683.0
50044591.0,Morgan BEADLESCOMB,50,Activities for 9 Dec 2024 - 15 Dec 2024,108.2,8h 38m,516.0
50044591.0,Morgan BEADLESCOMB,51,Activities for 16 Dec 2024 - 22 Dec 2024,135.5,10h 22m,711.0
50044591.0,Morgan BEADLESCOMB,52,Activities for 23 Dec 2024 - 29 Dec 2024,115.7,9h 15m,875.0
58424776.0,Emily MACKAY,45,Activities for 4 Nov 2024 - 10 Nov 2024,2.0,2h 35m,10.0
58424776.0,Emily MACKAY,46,Week 46 - No Data,0.0,0h 0m,0.0
58424776.0,Emily MACKAY,47,Week 47 - No Data,0.0,0h 0m,0.0
58424776.0,Emily MACKAY,48,Week 48 - No Data,0.0,0h 0m,0.0
58424776.0,Emily MACKAY,49,Week 49 - No Data,0.0,0h 0m,0.0
58424776.0,Emily MACKAY,50,Week 50 - No Data,0.0,0h 0m,0.0
58424776.0,Emily MACKAY,51,Week 51 - No Data,0.0,0h 0m,0.0
58424776.0,Emily MACKAY,52,Activities for 23 Dec 2024 - 29 Dec 2024,4.2,1h 22m,21.0
56168841.0,Hobbs KESSLER,45,Week 45 - No Data,0.0,0h 0m,0.0
56168841.0,Hobbs KESSLER,46,Week 46 - No Data,0.0,0h 0m,0.0
