Athlete ID,Name,Week Number,Date Range,Distance (km),Time,Elevation (m)
105366367.0,John KORIR,45,Week 45 - No Data,0.0,0h 0m,0.0
105366367.0,John KORIR,46,Activities for 11 Nov 2024 - 17 Nov 2024,20.0,3h 36m,7.0
105366367.0,John KORIR,47,Activities for 18 Nov 2024 - 24 Nov 2024,26.6,2h 43m,86.0
105366367.0,John KORIR,48,Activities for 25 Nov 2024 - 1 Dec 2024,56.5,5h 33m,219.0
105366367.0,John KORIR,49,Activities for 2 Dec 2024 - 8 Dec 2024,59.8,4h 41m,867.0
105366367.0,John KORIR,50,Activities for 9 Dec 2024 - 15 Dec 2024,116.2,7h 39m,1326.0
105366367.0,John KORIR,51,Activities for 16 Dec 2024 - 22 Dec 2024,41.3,2h 48m,551.0
105366367.0,John KORIR,52,Activities for 23 Dec 2024 - 29 Dec 2024,163.6,11h 8m,2272.0
105366367.0,John KORIR,45,Week 45 - No Data,0.0,0h 0m,0.0
105366367.0,John KORIR,46,Activities for 11 Nov 2024 - 17 Nov 2024,20.0,3h 36m,7.0
105366367.0,John KORIR,47,Activities for 18 Nov 2024 - 24 Nov 2024,26.6,2h 43m,86.0
105366367.0,John KORIR,48,Activities for 25 Nov 2024 - 1 Dec 2024,56.5,5h 33m,219.0
105366367.0,John KORIR,49,Activities for 2 Dec 2024 - 8 Dec 2024,59.8,4h 41m,867.0
105366367.0,John KORIR,50,Activities for 9 Dec 2024 - 15 Dec 2024,116.2,7h 39m,1326.0
105366367.0,John KORIR,51,Activities for 16 Dec 2024 - 22 Dec 2024,41.3,2h 48m,551.0
105366367.0,John KORIR,52,Activities for 23 Dec 2024 - 29 Dec 2024,163.6,11h 8m,2272.0
146854303.0,Bethwel KIBET,45,Activities for 4 Nov 2024 - 10 Nov 2024,58.8,4h 17m,269.0
146854303.0,Bethwel KIBET,46,Activities for 11 Nov 2024 - 17 Nov 2024,55.6,4h 17m,257.0
146854303.0,Bethwel KIBET,47,Week 47 - No Data,0.0,0h 0m,0.0
146854303.0,Bethwel KIBET,48,Activities for 25 Nov 2024 - 1 Dec 2024,13.0,0h 50m,23.0
146854303.0,Bethwel KIBET,49,Activities for 2 Dec 2024 - 8 Dec 2024,5.4,0h 30m,22.0
146854303.0,Bethwel KIBET,50,Activities for 9 Dec 2024 - 15 Dec 2024,12.7,0h 52m,0.0
146854303.0,Bethwel KIBET,51,Week 51 - No Data,0.0,0h 0m,0.0
146854303.0,Bethwel KIBET,52,Week 52 - No Data,0.0,0h 0m,0.0
112847410.0,Allie WILSON,45,Week 45 - No Data,0.0,0h 0m,0.0
112847410.0,Allie WILSON,46,Week 46 - No Data,0.0,0h 0m,0.0
112847410.0,Allie WILSON,47,Activities for 18 Nov 2024 - 24 Nov 2024,3.5,0h 20m,13.0
112847410.0,Allie WILSON,48,Week 48 - No Data,0.0,0h 0m,0.0
112847410.0,Allie WILSON,49,Activities for 2 Dec 2024 - 8 Dec 2024,6.1,1h 0m,167.0
112847410.0,Allie WILSON,50,Week 50 - No Data,0.0,0h 0m,0.0
112847410.0,Allie WILSON,51,Week 51 - No Data,0.0,0h 0m,0.0
112847410.0,Allie WILSON,52,Activities for 23 Dec 2024 - 29 Dec 2024,6.0,1h 16m,31.0
145188372.0,Festus LAGAT,45,Activities for 4 Nov 2024 - 10 Nov 2024,98.3,6h 55m,683.0
145188372.0,Festus LAGAT,46,Activities for 11 Nov 2024 - 17 Nov 2024,85.1,5h 59m,647.0
145188372.0,Festus LAGAT,47,Activities for 18 Nov 2024 - 24 Nov 2024,69.6,4h 40m,463.0
145188372.0,Festus LAGAT,48,Activities for 25 Nov 2024 - 1 Dec 2024,14.4,1h 2m,56.0
145188372.0,Festus LAGAT,49,Activities for 2 Dec 2024 - 8 Dec 2024,58.3,4h 5m,283.0
145188372.0,Festus LAGAT,50,Activities for 9 Dec 2024 - 15 Dec 2024,14.1,2h 15m,80.0
145188372.0,Festus LAGAT,51,Activities for 16 Dec 2024 - 22 Dec 2024,16.1,1h 8m,37.0
145188372.0,Festus LAGAT,52,Activities for 23 Dec 2024 - 29 Dec 2024,32.2,2h 8m,73.0
113122040.0,Viola CHEPNGENO,45,Activities for 4 Nov 2024 - 10 Nov 2024,30.2,2h 23m,334.0
113122040.0,Viola CHEPNGENO,46,Activities for 11 Nov 2024 - 17 Nov 2024,135.6,11h 12m,1558.0
113122040.0,Viola CHEPNGENO,47,Activities for 18 Nov 2024 - 24 Nov 2024,134.9,10h 14m,1746.0
113122040.0,Viola CHEPNGENO,48,Activities for 25 Nov 2024 - 1 Dec 2024,155.7,12h 45m,1802.0
113122040.0,Viola CHEPNGENO,49,Activities for 2 Dec 2024 - 8 Dec 2024,143.6,13h 41m,2416.0
113122040.0,Viola CHEPNGENO,50,Activities for 9 Dec 2024 - 15 Dec 2024,126.8,9h 26m,1302.0
113122040.0,Viola CHEPNGENO,51,Activities for 16 Dec 2024 - 22 Dec 2024,170.9,12h 30m,1851.0
113122040.0,Viola CHEPNGENO,52,Activities for 23 Dec 2024 - 29 Dec 2024,146.1,10h 54m,2115.0
145188372.0,Festus LAGAT,45,Activities for 4 Nov 2024 - 10 Nov 2024,98.3,6h 55m,683.0
145188372.0,Festus LAGAT,46,Activities for 11 Nov 2024 - 17 Nov 2024,85.1,5h 59m,647.0
145188372.0,Festus LAGAT,47,Activities for 18 Nov 2024 - 24 Nov 2024,69.6,4h 40m,463.0
145188372.0,Festus LAGAT,48,Activities for 25 Nov 2024 - 1 Dec 2024,14.4,1h 2m,56.0
145188372.0,Festus LAGAT,49,Activities for 2 Dec 2024 - 8 Dec 2024,58.3,4h 5m,283.0
