Athlete ID,Name,Week Number,Date Range,Distance (km),Time,Elevation (m)
18748153.0,Josh KERR,45,Activities for 4 Nov 2024 - 10 Nov 2024,7.7,0h 59m,163.0
18748153.0,Josh KERR,46,Activities for 11 Nov 2024 - 17 Nov 2024,246.2,9h 50m,3260.0
18748153.0,Josh KERR,47,Activities for 18 Nov 2024 - 24 Nov 2024,45.2,4h 2m,1003.0
18748153.0,Josh KERR,48,Activities for 25 Nov 2024 - 1 Dec 2024,84.3,3h 46m,109.0
18748153.0,Josh KERR,49,Activities for 2 Dec 2024 - 8 Dec 2024,37.1,3h 28m,694.0
18748153.0,Josh KERR,50,Activities for 9 Dec 2024 - 15 Dec 2024,94.1,5h 34m,1084.0
18748153.0,Josh KERR,51,Activities for 16 Dec 2024 - 22 Dec 2024,134.7,6h 18m,892.0
18748153.0,Josh KERR,52,Activities for 23 Dec 2024 - 29 Dec 2024,38.2,3h 10m,576.0
19780474.0,Azeddine HABZ,45,Week 45 - No Data,0.0,0h 0m,0.0
19780474.0,Azeddine HABZ,46,Week 46 - No Data,0.0,0h 0m,0.0
19780474.0,Azeddine HABZ,47,Week 47 - No Data,0.0,0h 0m,0.0
19780474.0,Azeddine HABZ,48,Week 48 - No Data,0.0,0h 0m,0.0
19780474.0,Azeddine HABZ,49,Week 49 - No Data,0.0,0h 0m,0.0
19780474.0,Azeddine HABZ,50,Week 50 - No Data,0.0,0h 0m,0.0
19780474.0,Azeddine HABZ,51,Week 51 - No Data,0.0,0h 0m,0.0
19780474.0,Azeddine HABZ,52,Activities for 23 Dec 2024 - 29 Dec 2024,9.8,0h 38m,114.0
19780474.0,Azeddine HABZ,45,Week 45 - No Data,0.0,0h 0m,0.0
19780474.0,Azeddine HABZ,46,Week 46 - No Data,0.0,0h 0m,0.0
19780474.0,Azeddine HABZ,47,Week 47 - No Data,0.0,0h 0m,0.0
19780474.0,Azeddine HABZ,48,Week 48 - No Data,0.0,0h 0m,0.0
19780474.0,Azeddine HABZ,49,Week 49 - No Data,0.0,0h 0m,0.0
19780474.0,Azeddine HABZ,50,Week 50 - No Data,0.0,0h 0m,0.0
19780474.0,Azeddine HABZ,51,Week 51 - No Data,0.0,0h 0m,0.0
19780474.0,Azeddine HABZ,52,Activities for 23 Dec 2024 - 29 Dec 2024,9.8,0h 38m,114.0
18085134.0,Hendrik PFEIFFER,45,Week 45 - No Data,0.0,0h 0m,0.0
18085134.0,Hendrik PFEIFFER,46,Week 46 - No Data,0.0,0h 0m,0.0
