Athlete ID,Name,Week Number,Date Range,Distance (km),Time,Elevation (m)
12805279.0,Lauren RYAN,45,Activities for 4 Nov 2024 - 10 Nov 2024,62.9,4h 9m,349.0
12805279.0,Lauren RYAN,46,Activities for 11 Nov 2024 - 17 Nov 2024,94.3,6h 49m,592.0
12805279.0,Lauren RYAN,47,Activities for 18 Nov 2024 - 24 Nov 2024,98.1,7h 10m,398.0
12805279.0,Lauren RYAN,48,Activities for 25 Nov 2024 - 1 Dec 2024,88.2,6h 28m,615.0
12805279.0,Lauren RYAN,49,Activities for 2 Dec 2024 - 8 Dec 2024,75.3,5h 26m,463.0
12805279.0,Lauren RYAN,50,Activities for 9 Dec 2024 - 15 Dec 2024,46.7,3h 14m,140.0
12805279.0,Lauren RYAN,51,Activities for 16 Dec 2024 - 22 Dec 2024,36.1,2h 30m,261.0
12805279.0,Lauren RYAN,52,Activities for 23 Dec 2024 - 29 Dec 2024,108.2,7h 52m,797.0
13557908.0,Richard RINGER,45,Activities for 4 Nov 2024 - 10 Nov 2024,34.6,2h 5m,109.0
13557908.0,Richard RINGER,46,Activities for 11 Nov 2024 - 17 Nov 2024,30.0,1h 47m,82.0
13557908.0,Richard RINGER,47,Activities for 18 Nov 2024 - 24 Nov 2024,22.4,1h 23m,113.0
13557908.0,Richard RINGER,48,Activities for 25 Nov 2024 - 1 Dec 2024,42.5,2h 5m,67.0
13557908.0,Richard RINGER,49,Week 49 - No Data,0.0,0h 0m,0.0
13557908.0,Richard RINGER,50,Week 50 - No Data,0.0,0h 0m,0.0
13557908.0,Richard RINGER,51,Week 51 - No Data,0.0,0h 0m,0.0
13557908.0,Richard RINGER,52,Week 52 - No Data,0.0,0h 0m,0.0
14735644.0,Henry WYNNE,45,Activities for 4 Nov 2024 - 10 Nov 2024,80.1,5h 53m,649.0
14735644.0,Henry WYNNE,46,Week 46 - No Data,0.0,0h 0m,0.0
14735644.0,Henry WYNNE,47,Week 47 - No Data,0.0,0h 0m,0.0
14735644.0,Henry WYNNE,48,Week 48 - No Data,0.0,0h 0m,0.0
14735644.0,Henry WYNNE,49,Week 49 - No Data,0.0,0h 0m,0.0
14735644.0,Henry WYNNE,50,Week 50 - No Data,0.0,0h 0m,0.0
14735644.0,Henry WYNNE,51,Week 51 - No Data,0.0,0h 0m,0.0
14735644.0,Henry WYNNE,52,Week 52 - No Data,0.0,0h 0m,0.0
17172793.0,Raphael PALLITSCH,45,Activities for 4 Nov 2024 - 10 Nov 2024,64.5,2h 31m,850.0
17172793.0,Raphael PALLITSCH,46,Activities for 11 Nov 2024 - 17 Nov 2024,32.9,0h 53m,205.0
17172793.0,Raphael PALLITSCH,47,Activities for 18 Nov 2024 - 24 Nov 2024,39.0,2h 52m,186.0
17172793.0,Raphael PALLITSCH,48,Activities for 25 Nov 2024 - 1 Dec 2024,37.5,2h 36m,50.0
17172793.0,Raphael PALLITSCH,49,Week 49 - No Data,0.0,0h 0m,0.0
17172793.0,Raphael PALLITSCH,50,Activities for 9 Dec 2024 - 15 Dec 2024,12.5,0h 43m,45.0
17172793.0,Raphael PALLITSCH,51,Activities for 16 Dec 2024 - 22 Dec 2024,14.2,1h 5m,132.0
17172793.0,Raphael PALLITSCH,52,Activities for 23 Dec 2024 - 29 Dec 2024,20.0,1h 20m,0.0
15124771.0,Annie RODENFELS,45,Activities for 4 Nov 2024 - 10 Nov 2024,153.1,10h 26m,620.0
15124771.0,Annie RODENFELS,46,Activities for 11 Nov 2024 - 17 Nov 2024,132.0,9h 14m,485.0
15124771.0,Annie RODENFELS,47,Activities for 18 Nov 2024 - 24 Nov 2024,123.5,8h 36m,573.0
15124771.0,Annie RODENFELS,48,Activities for 25 Nov 2024 - 1 Dec 2024,78.8,5h 27m,289.0
15124771.0,Annie RODENFELS,49,Activities for 2 Dec 2024 - 8 Dec 2024,92.8,6h 30m,297.0
15124771.0,Annie RODENFELS,50,Activities for 9 Dec 2024 - 15 Dec 2024,18.2,1h 23m,64.0
