Athlete ID,Name,Week Number,Date Range,Distance (km),Time,Elevation (m)
2461878.0,Mark PEARCE,45,Activities for 4 Nov 2024 - 10 Nov 2024,41.2,3h 4m,337.0
2461878.0,Mark PEARCE,46,Activities for 11 Nov 2024 - 17 Nov 2024,27.2,2h 13m,234.0
2461878.0,Mark PEARCE,47,Activities for 18 Nov 2024 - 24 Nov 2024,29.7,1h 57m,182.0
2461878.0,Mark PEARCE,48,Activities for 25 Nov 2024 - 1 Dec 2024,7.3,0h 33m,47.0
2461878.0,Mark PEARCE,49,Activities for 2 Dec 2024 - 8 Dec 2024,26.2,1h 59m,194.0
2461878.0,Mark PEARCE,50,Activities for 9 Dec 2024 - 15 Dec 2024,16.1,0h 59m,58.0
2461878.0,Mark PEARCE,51,Activities for 16 Dec 2024 - 22 Dec 2024,23.6,1h 49m,202.0
2461878.0,Mark PEARCE,52,Activities for 23 Dec 2024 - 29 Dec 2024,76.3,5h 0m,404.0
1861424.0,Malindi ELMORE,45,Activities for 4 Nov 2024 - 10 Nov 2024,143.4,10h 56m,893.0
1861424.0,Malindi ELMORE,46,Activities for 11 Nov 2024 - 17 Nov 2024,152.3,11h 15m,643.0
1861424.0,Malindi ELMORE,47,Activities for 18 Nov 2024 - 24 Nov 2024,72.9,5h 30m,220.0
1861424.0,Malindi ELMORE,48,Activities for 25 Nov 2024 - 1 Dec 2024,107.6,7h 31m,162.0
1861424.0,Malindi ELMORE,49,Week 49 - No Data,0.0,0h 0m,0.0
1861424.0,Malindi ELMORE,50,Activities for 9 Dec 2024 - 15 Dec 2024,37.5,2h 58m,49.0
1861424.0,Malindi ELMORE,51,Activities for 16 Dec 2024 - 22 Dec 2024,72.6,5h 50m,234.0
1861424.0,Malindi ELMORE,52,Activities for 23 Dec 2024 - 29 Dec 2024,75.2,6h 8m,329.0
1019940.0,Noah SCHUTTE,45,Activities for 4 Nov 2024 - 10 Nov 2024,141.0,7h 44m,229.0
1019940.0,Noah SCHUTTE,46,Activities for 11 Nov 2024 - 17 Nov 2024,144.3,8h 4m,215.0
1019940.0,Noah SCHUTTE,47,Activities for 18 Nov 2024 - 24 Nov 2024,162.6,9h 1m,145.0
1019940.0,Noah SCHUTTE,48,Activities for 25 Nov 2024 - 1 Dec 2024,227.2,12h 3m,307.0
1019940.0,Noah SCHUTTE,49,Activities for 2 Dec 2024 - 8 Dec 2024,218.8,11h 50m,125.0
1019940.0,Noah SCHUTTE,50,Activities for 9 Dec 2024 - 15 Dec 2024,219.7,11h 16m,136.0
1019940.0,Noah SCHUTTE,51,Activities for 16 Dec 2024 - 22 Dec 2024,289.2,13h 59m,115.0
1019940.0,Noah SCHUTTE,52,Activities for 23 Dec 2024 - 29 Dec 2024,145.1,10h 4m,441.0
1861424.0,Malindi ELMORE,45,Activities for 4 Nov 2024 - 10 Nov 2024,143.4,10h 56m,893.0
1861424.0,Malindi ELMORE,46,Activities for 11 Nov 2024 - 17 Nov 2024,152.3,11h 15m,643.0
1861424.0,Malindi ELMORE,47,Activities for 18 Nov 2024 - 24 Nov 2024,72.9,5h 30m,220.0
1861424.0,Malindi ELMORE,48,Activities for 25 Nov 2024 - 1 Dec 2024,107.6,7h 31m,162.0
1861424.0,Malindi ELMORE,49,Week 49 - No Data,0.0,0h 0m,0.0
1861424.0,Malindi ELMORE,50,Activities for 9 Dec 2024 - 15 Dec 2024,37.5,2h 58m,49.0
1861424.0,Malindi ELMORE,51,Activities for 16 Dec 2024 - 22 Dec 2024,72.6,5h 50m,234.0
1861424.0,Malindi ELMORE,52,Activities for 23 Dec 2024 - 29 Dec 2024,75.2,6h 8m,329.0
1617780.0,Sam MCENTEE,45,Activities for 4 Nov 2024 - 10 Nov 2024,33.1,2h 22m,126.0
1617780.0,Sam MCENTEE,46,Activities for 11 Nov 2024 - 17 Nov 2024,6.4,0h 30m,15.0
1617780.0,Sam MCENTEE,47,Activities for 18 Nov 2024 - 24 Nov 2024,20.2,1h 30m,73.0
1617780.0,Sam MCENTEE,48,Activities for 25 Nov 2024 - 1 Dec 2024,11.3,0h 50m,51.0
1617780.0,Sam MCENTEE,49,Activities for 2 Dec 2024 - 8 Dec 2024,12.1,0h 54m,48.0
1617780.0,Sam MCENTEE,50,Week 50 - No Data,0.0,0h 0m,0.0
1617780.0,Sam MCENTEE,51,Week 51 - No Data,0.0,0h 0m,0.0
1617780.0,Sam MCENTEE,52,Activities for 23 Dec 2024 - 29 Dec 2024,5.3,0h 24m,18.0
985439.0,Adam CLARKE,45,Activities for 4 Nov 2024 - 10 Nov 2024,99.4,9h 12m,1356.0
985439.0,Adam CLARKE,46,Activities for 11 Nov 2024 - 17 Nov 2024,126.5,9h 38m,1084.0
985439.0,Adam CLARKE,47,Activities for 18 Nov 2024 - 24 Nov 2024,112.8,7h 57m,926.0
985439.0,Adam CLARKE,48,Activities for 25 Nov 2024 - 1 Dec 2024,131.5,12h 44m,1373.0
985439.0,Adam CLARKE,49,Activities for 2 Dec 2024 - 8 Dec 2024,99.3,3h 40m,360.0
985439.0,Adam CLARKE,50,Activities for 9 Dec 2024 - 15 Dec 2024,186.2,10h 56m,2167.0
985439.0,Adam CLARKE,51,Activities for 16 Dec 2024 - 22 Dec 2024,171.2,8h 58m,1294.0
