Athlete ID,Name,Week Number,Date Range,Distance (km),Time,Elevation (m)
33721882.0,Rose DAVIES,45,Activities for 4 Nov 2024 - 10 Nov 2024,145.5,10h 22m,706.0
33721882.0,Rose DAVIES,46,Activities for 11 Nov 2024 - 17 Nov 2024,149.1,10h 28m,821.0
33721882.0,Rose DAVIES,47,Activities for 18 Nov 2024 - 24 Nov 2024,161.4,11h 21m,1252.0
33721882.0,Rose DAVIES,48,Activities for 25 Nov 2024 - 1 Dec 2024,160.3,11h 35m,843.0
33721882.0,Rose DAVIES,49,Activities for 2 Dec 2024 - 8 Dec 2024,152.4,10h 53m,552.0
33721882.0,Rose DAVIES,50,Activities for 9 Dec 2024 - 15 Dec 2024,104.1,7h 39m,336.0
33721882.0,Rose DAVIES,51,Activities for 16 Dec 2024 - 22 Dec 2024,122.1,8h 51m,797.0
33721882.0,Rose DAVIES,52,Activities for 23 Dec 2024 - 29 Dec 2024,79.6,5h 31m,649.0
34492691.0,Djilali BEDRANI,45,Activities for 4 Nov 2024 - 10 Nov 2024,125.3,9h 36m,719.0
34492691.0,Djilali BEDRANI,46,Activities for 11 Nov 2024 - 17 Nov 2024,129.8,9h 6m,552.0
34492691.0,Djilali BEDRANI,47,Activities for 18 Nov 2024 - 24 Nov 2024,104.8,7h 22m,204.0
34492691.0,Djilali BEDRANI,48,Activities for 25 Nov 2024 - 1 Dec 2024,71.7,5h 7m,247.0
34492691.0,Djilali BEDRANI,49,Activities for 2 Dec 2024 - 8 Dec 2024,139.5,10h 20m,1049.0
34492691.0,Djilali BEDRANI,50,Activities for 9 Dec 2024 - 15 Dec 2024,153.1,10h 56m,1186.0
34492691.0,Djilali BEDRANI,51,Activities for 16 Dec 2024 - 22 Dec 2024,144.5,10h 16m,775.0
34492691.0,Djilali BEDRANI,52,Activities for 23 Dec 2024 - 29 Dec 2024,114.8,8h 24m,480.0
36760710.0,Luke MCCANN,45,Activities for 4 Nov 2024 - 10 Nov 2024,39.1,2h 49m,109.0
36760710.0,Luke MCCANN,46,Week 46 - No Data,0.0,0h 0m,0.0
36760710.0,Luke MCCANN,47,Week 47 - No Data,0.0,0h 0m,0.0
36760710.0,Luke MCCANN,48,Week 48 - No Data,0.0,0h 0m,0.0
36760710.0,Luke MCCANN,49,Week 49 - No Data,0.0,0h 0m,0.0
36760710.0,Luke MCCANN,50,Week 50 - No Data,0.0,0h 0m,0.0
36760710.0,Luke MCCANN,51,Week 51 - No Data,0.0,0h 0m,0.0
36760710.0,Luke MCCANN,52,Week 52 - No Data,0.0,0h 0m,0.0
33993248.0,Conner MANTZ,45,Activities for 4 Nov 2024 - 10 Nov 2024,53.8,4h 32m,200.0
33993248.0,Conner MANTZ,46,Activities for 11 Nov 2024 - 17 Nov 2024,110.0,8h 45m,644.0
33993248.0,Conner MANTZ,47,Activities for 18 Nov 2024 - 24 Nov 2024,176.2,12h 10m,649.0
33993248.0,Conner MANTZ,48,Activities for 25 Nov 2024 - 1 Dec 2024,185.1,12h 34m,650.0
33993248.0,Conner MANTZ,49,Activities for 2 Dec 2024 - 8 Dec 2024,188.7,14h 40m,527.0
33993248.0,Conner MANTZ,50,Activities for 9 Dec 2024 - 15 Dec 2024,193.5,13h 38m,614.0
33993248.0,Conner MANTZ,51,Activities for 16 Dec 2024 - 22 Dec 2024,179.2,14h 40m,769.0
33993248.0,Conner MANTZ,52,Activities for 23 Dec 2024 - 29 Dec 2024,201.6,13h 20m,329.0
34063383.0,Eric HOLT,45,Activities for 4 Nov 2024 - 10 Nov 2024,161.0,11h 6m,624.0
34063383.0,Eric HOLT,46,Activities for 11 Nov 2024 - 17 Nov 2024,161.3,10h 58m,549.0
34063383.0,Eric HOLT,47,Activities for 3 Feb 2025 - 9 Feb 2025,72.9,5h 10m,535.0
34063383.0,Eric HOLT,48,Activities for 25 Nov 2024 - 1 Dec 2024,130.0,9h 38m,833.0
34063383.0,Eric HOLT,49,Activities for 3 Feb 2025 - 9 Feb 2025,72.9,5h 10m,535.0
34063383.0,Eric HOLT,50,Activities for 9 Dec 2024 - 15 Dec 2024,165.9,12h 59m,1142.0
34063383.0,Eric HOLT,51,Activities for 16 Dec 2024 - 22 Dec 2024,163.6,11h 59m,1185.0
34063383.0,Eric HOLT,52,Activities for 23 Dec 2024 - 29 Dec 2024,145.1,10h 33m,776.0
36760710.0,Luke MCCANN,45,Activities for 4 Nov 2024 - 10 Nov 2024,39.1,2h 49m,109.0
36760710.0,Luke MCCANN,46,Week 46 - No Data,0.0,0h 0m,0.0
36760710.0,Luke MCCANN,47,Week 47 - No Data,0.0,0h 0m,0.0
36760710.0,Luke MCCANN,48,Week 48 - No Data,0.0,0h 0m,0.0
36760710.0,Luke MCCANN,49,Week 49 - No Data,0.0,0h 0m,0.0
36760710.0,Luke MCCANN,50,Week 50 - No Data,0.0,0h 0m,0.0
36760710.0,Luke MCCANN,51,Week 51 - No Data,0.0,0h 0m,0.0
36760710.0,Luke MCCANN,52,Week 52 - No Data,0.0,0h 0m,0.0
37868862.0,Simon MWANGI,45,Activities for 4 Nov 2024 - 10 Nov 2024,26.3,3h 22m,120.0
37868862.0,Simon MWANGI,46,Activities for 11 Nov 2024 - 17 Nov 2024,34.3,4h 17m,142.0
37868862.0,Simon MWANGI,47,Activities for 18 Nov 2024 - 24 Nov 2024,47.6,5h 52m,417.0
37868862.0,Simon MWANGI,48,Week 48 - No Data,0.0,0h 0m,0.0
37868862.0,Simon MWANGI,49,Week 49 - No Data,0.0,0h 0m,0.0
37868862.0,Simon MWANGI,50,Week 50 - No Data,0.0,0h 0m,0.0
37868862.0,Simon MWANGI,51,Week 51 - No Data,0.0,0h 0m,0.0
37868862.0,Simon MWANGI,52,Week 52 - No Data,0.0,0h 0m,0.0
34827695.0,Ole Jakob SOLBU,45,Activities for 4 Nov 2024 - 10 Nov 2024,74.2,7h 2m,1008.0
34827695.0,Ole Jakob SOLBU,46,Activities for 11 Nov 2024 - 17 Nov 2024,65.3,7h 0m,562.0
34827695.0,Ole Jakob SOLBU,47,Activities for 18 Nov 2024 - 24 Nov 2024,61.1,6h 21m,0.0
34827695.0,Ole Jakob SOLBU,48,Activities for 25 Nov 2024 - 1 Dec 2024,33.4,3h 42m,171.0
34827695.0,Ole Jakob SOLBU,49,Activities for 2 Dec 2024 - 8 Dec 2024,28.3,3h 50m,0.0
34827695.0,Ole Jakob SOLBU,50,Activities for 9 Dec 2024 - 15 Dec 2024,57.0,6h 48m,0.0
34827695.0,Ole Jakob SOLBU,51,Activities for 16 Dec 2024 - 22 Dec 2024,30.1,5h 1m,0.0
34827695.0,Ole Jakob SOLBU,52,Activities for 23 Dec 2024 - 29 Dec 2024,42.8,4h 7m,233.0
33721882.0,Rose DAVIES,45,Activities for 4 Nov 2024 - 10 Nov 2024,145.5,10h 22m,706.0
33721882.0,Rose DAVIES,46,Activities for 11 Nov 2024 - 17 Nov 2024,149.1,10h 28m,821.0
33721882.0,Rose DAVIES,47,Activities for 18 Nov 2024 - 24 Nov 2024,161.4,11h 21m,1252.0
33721882.0,Rose DAVIES,48,Activities for 25 Nov 2024 - 1 Dec 2024,160.3,11h 35m,843.0
33721882.0,Rose DAVIES,49,Activities for 2 Dec 2024 - 8 Dec 2024,152.4,10h 53m,552.0
33721882.0,Rose DAVIES,50,Activities for 9 Dec 2024 - 15 Dec 2024,104.1,7h 39m,336.0
33721882.0,Rose DAVIES,51,Activities for 16 Dec 2024 - 22 Dec 2024,122.1,8h 51m,797.0
33721882.0,Rose DAVIES,52,Activities for 23 Dec 2024 - 29 Dec 2024,79.6,5h 31m,649.0
34492691.0,Djilali BEDRANI,45,Activities for 4 Nov 2024 - 10 Nov 2024,125.3,9h 36m,719.0
34492691.0,Djilali BEDRANI,46,Activities for 11 Nov 2024 - 17 Nov 2024,129.8,9h 6m,552.0
34492691.0,Djilali BEDRANI,47,Activities for 18 Nov 2024 - 24 Nov 2024,104.8,7h 22m,204.0
34492691.0,Djilali BEDRANI,48,Activities for 25 Nov 2024 - 1 Dec 2024,71.7,5h 7m,247.0
34492691.0,Djilali BEDRANI,49,Activities for 2 Dec 2024 - 8 Dec 2024,139.5,10h 20m,1049.0
34492691.0,Djilali BEDRANI,50,Activities for 9 Dec 2024 - 15 Dec 2024,153.1,10h 56m,1186.0
34492691.0,Djilali BEDRANI,51,Activities for 16 Dec 2024 - 22 Dec 2024,144.5,10h 16m,775.0
34492691.0,Djilali BEDRANI,52,Activities for 23 Dec 2024 - 29 Dec 2024,114.8,8h 24m,480.0
36047007.0,Daiki HATTORI,45,Activities for 4 Nov 2024 - 10 Nov 2024,95.4,7h 4m,178.0
36047007.0,Daiki HATTORI,46,Activities for 11 Nov 2024 - 17 Nov 2024,72.5,5h 29m,123.0
36047007.0,Daiki HATTORI,47,Activities for 18 Nov 2024 - 24 Nov 2024,77.2,5h 41m,166.0
36047007.0,Daiki HATTORI,48,Activities for 25 Nov 2024 - 1 Dec 2024,76.4,6h 43m,692.0
36047007.0,Daiki HATTORI,49,Activities for 2 Dec 2024 - 8 Dec 2024,10.2,0h 48m,26.0
36047007.0,Daiki HATTORI,50,Activities for 9 Dec 2024 - 15 Dec 2024,56.0,4h 12m,171.0
36047007.0,Daiki HATTORI,51,Activities for 16 Dec 2024 - 22 Dec 2024,61.0,4h 21m,144.0
36047007.0,Daiki HATTORI,52,Activities for 23 Dec 2024 - 29 Dec 2024,79.6,5h 54m,237.0
34063383.0,Eric HOLT,45,Activities for 4 Nov 2024 - 10 Nov 2024,161.0,11h 6m,624.0
34063383.0,Eric HOLT,46,Activities for 11 Nov 2024 - 17 Nov 2024,161.3,10h 58m,549.0
34063383.0,Eric HOLT,47,Activities for 3 Feb 2025 - 9 Feb 2025,72.9,5h 10m,535.0
34063383.0,Eric HOLT,48,Activities for 25 Nov 2024 - 1 Dec 2024,130.0,9h 38m,833.0
34063383.0,Eric HOLT,49,Activities for 3 Feb 2025 - 9 Feb 2025,72.9,5h 10m,535.0
34063383.0,Eric HOLT,50,Activities for 9 Dec 2024 - 15 Dec 2024,165.9,12h 59m,1142.0
34063383.0,Eric HOLT,51,Activities for 16 Dec 2024 - 22 Dec 2024,163.6,11h 59m,1185.0
34063383.0,Eric HOLT,52,Activities for 23 Dec 2024 - 29 Dec 2024,145.1,10h 33m,776.0
36628860.0,Cameron AVERY,45,Activities for 4 Nov 2024 - 10 Nov 2024,66.5,6h 42m,729.0
36628860.0,Cameron AVERY,46,Activities for 3 Feb 2025 - 9 Feb 2025,26.1,4h 0m,136.0
36628860.0,Cameron AVERY,47,Activities for 18 Nov 2024 - 24 Nov 2024,82.7,4h 6m,229.0
36628860.0,Cameron AVERY,48,Activities for 25 Nov 2024 - 1 Dec 2024,93.3,5h 5m,785.0
36628860.0,Cameron AVERY,49,Activities for 2 Dec 2024 - 8 Dec 2024,210.2,8h 58m,1660.0
36628860.0,Cameron AVERY,50,Activities for 9 Dec 2024 - 15 Dec 2024,46.6,3h 27m,205.0
36628860.0,Cameron AVERY,51,Activities for 16 Dec 2024 - 22 Dec 2024,73.1,4h 35m,279.0
36628860.0,Cameron AVERY,52,Activities for 23 Dec 2024 - 29 Dec 2024,45.1,3h 11m,154.0
34822200.0,Evan JAGER,45,Activities for 4 Nov 2024 - 10 Nov 2024,117.1,8h 48m,864.0
34822200.0,Evan JAGER,46,Activities for 11 Nov 2024 - 17 Nov 2024,123.5,8h 40m,921.0
34822200.0,Evan JAGER,47,Activities for 18 Nov 2024 - 24 Nov 2024,115.5,8h 21m,1062.0
34822200.0,Evan JAGER,48,Activities for 25 Nov 2024 - 1 Dec 2024,113.3,8h 37m,1062.0
34822200.0,Evan JAGER,49,Activities for 2 Dec 2024 - 8 Dec 2024,75.1,5h 15m,686.0
34822200.0,Evan JAGER,50,Activities for 9 Dec 2024 - 15 Dec 2024,112.5,7h 56m,687.0
34822200.0,Evan JAGER,51,Activities for 16 Dec 2024 - 22 Dec 2024,98.6,6h 58m,493.0
34822200.0,Evan JAGER,52,Activities for 23 Dec 2024 - 29 Dec 2024,142.2,9h 14m,1219.0
35097302.0,Ziad AUDAH,45,Week 45 - No Data,0.0,0h 0m,0.0
35097302.0,Ziad AUDAH,46,Week 46 - No Data,0.0,0h 0m,0.0
35097302.0,Ziad AUDAH,47,Week 47 - No Data,0.0,0h 0m,0.0
35097302.0,Ziad AUDAH,48,Week 48 - No Data,0.0,0h 0m,0.0
