Athlete ID,Name,Week Number,Date Range,Distance (km),Time,Elevation (m)
4814818.0,Adam FOGG,03,Activities for 15 Jan 2024 - 21 Jan 2024,109.2,7h 46m,296.0
4814818.0,Adam FOGG,04,Activities for 22 Jan 2024 - 28 Jan 2024,114.5,8h 17m,643.0
4814818.0,Adam FOGG,05,Activities for 29 Jan 2024 - 4 Feb 2024,100.0,6h 59m,526.0
4814818.0,Adam FOGG,06,Activities for 5 Feb 2024 - 11 Feb 2024,100.5,7h 8m,382.0
4814818.0,Adam FOGG,07,Activities for 12 Feb 2024 - 18 Feb 2024,84.2,6h 10m,375.0
4814818.0,Adam FOGG,03,Activities for 15 Jan 2024 - 21 Jan 2024,109.2,7h 46m,296.0
4814818.0,Adam FOGG,04,Activities for 22 Jan 2024 - 28 Jan 2024,114.5,8h 17m,643.0
4814818.0,Adam FOGG,05,Activities for 29 Jan 2024 - 4 Feb 2024,100.0,6h 59m,526.0
4814818.0,Adam FOGG,06,Activities for 5 Feb 2024 - 11 Feb 2024,100.5,7h 8m,382.0
4814818.0,Adam FOGG,07,Activities for 12 Feb 2024 - 18 Feb 2024,84.2,6h 10m,375.0
4928335.0,JP FLAVIN,03,Activities for 15 Jan 2024 - 21 Jan 2024,189.1,11h 47m,707.0
4928335.0,JP FLAVIN,04,Activities for 22 Jan 2024 - 28 Jan 2024,146.2,9h 29m,444.0
4928335.0,JP FLAVIN,05,Activities for 29 Jan 2024 - 4 Feb 2024,110.5,6h 50m,260.0
4928335.0,JP FLAVIN,06,Week 06 - No Data,0.0,0h 0m,0.0
4928335.0,JP FLAVIN,07,Activities for 12 Feb 2024 - 18 Feb 2024,10.1,0h 40m,44.0
45537525.0,Thomas BRIDGER,03,Activities for 15 Jan 2024 - 21 Jan 2024,73.1,5h 56m,383.0
45537525.0,Thomas BRIDGER,04,Activities for 22 Jan 2024 - 28 Jan 2024,120.4,9h 43m,864.0
45537525.0,Thomas BRIDGER,05,Activities for 29 Jan 2024 - 4 Feb 2024,80.8,6h 35m,431.0
45537525.0,Thomas BRIDGER,06,Activities for 5 Feb 2024 - 11 Feb 2024,87.2,6h 10m,485.0
45537525.0,Thomas BRIDGER,07,Activities for 12 Feb 2024 - 18 Feb 2024,64.7,5h 18m,376.0
