Athlete,Nat,Birthdate,Event
ABUBAKER HAYDAR ABDALLA,QAT,28 Aug 1996,800m
NAVASKY ANDERSON,JAM,21 Jan 2000,800m
MARCO AROP,CAN,20 Sep 1998,800m
MOHAMED ATTAOUI,ESP,26 Sep 2001,800m
SIMONE BARONTINI,ITA,05 Jan 1999,800m
ALEX BEDDOES,COK,09 Jul 1995,800m
ADRIÁN BEN,ESP,04 Aug 1998,800m
PETER BOL,AUS,22 Feb 1994,800m
MATEUSZ BORKOWSKI,POL,02 Apr 1997,800m
MAX BURGIN,GBR,20 May 2002,800m
ELVIN JOSUÉ CANALES,ESP,05 Sep 2001,800m
BUNTHORN CHHUN,CAM,31 May 1993,800m
RYAN CLARKE,NED,17 Nov 1997,800m
PEYTON CRAIG,AUS,28 Mar 2005,800m
ELIOTT CRESTAN,BEL,22 Feb 1999,800m
TIBO DE SMET,BEL,28 May 1999,800m
JOSEPH DENG,AUS,07 Jul 1998,800m
TOM DRADRIGA,UGA,17 Jun 1996,800m
EDMUND DU PLESSIS,RSA,05 Apr 2002,800m
JAKUB DUDYCHA,CZE,05 Sep 2005,800m
MOHAMMED DWEDAR,PLE,09 Jan 2001,800m
ABDELATI EL GUESSE,MAR,27 Feb 1993,800m
MARK ENGLISH,IRL,18 Mar 1993,800m
ELLIOT GILES,GBR,26 May 1994,800m
MOHAMED ALI GOUANED,ALG,05 Jul 2002,800m
TOBIAS GRØNSTAD,NOR,06 Jul 2002,800m
ABRAHAM GUEM,SSD,29 Apr 1999,800m
KETHOBOGILE HAINGURA,BOT,14 Dec 1998,800m
ALI IDOW HASSAN,SOM,01 Jul 1998,800m
JOSH HOEY,USA,01 Nov 1999,800m
BRYCE HOPPEL,USA,05 Sep 1997,800m
EDOSE IBADIN,NGR,27 Feb 1993,800m
HOBBS KESSLER,USA,15 Mar 2003,800m
KOITATOI KIDALI,KEN,12 Feb 2003,800m
WYCLIFE KINYAMAL,KEN,02 Jul 1997,800m
ALEX NGENO KIPNGETICH,KEN,17 Aug 2000,800m
ANDREAS KRAMER,SWE,13 Apr 1997,800m
CORENTIN LE CLEZIO,FRA,24 Sep 1999,800m
JESUS TONATIU LOPEZ,MEX,02 Aug 1997,800m
DENNICK LUKE,DMA,28 Jan 2001,800m
JOSE MAITA,VEN,17 Apr 1998,800m
TSHEPISO MASALELA,BOT,25 May 1999,800m
YANIS MEZIANE,FRA,26 Jan 2002,800m
BRANDON MILLER,USA,30 Jan 2002,800m
YERVAND MKRTCHYAN,ARM,11 Jun 1996,800m
SLIMANE MOULA,ALG,25 Feb 1999,800m
TUMO NKAPE,BOT,24 Apr 1998,800m
BEN PATTISON,GBR,15 Dec 2001,800m
JAMES PRESTON,NZL,08 May 1997,800m
HANDAL ROBAN,VIN,05 Sep 2002,800m
BENJAMIN ROBERT,FRA,04 Jan 1998,800m
DJAMEL SEDJATI,ALG,03 May 1999,800m
PIETER SISK,BEL,08 Dec 1999,800m
MUSA SULIMAN,EOR,15 Jun 2004,800m
CATALIN TECUCEANU,ITA,09 Sep 1999,800m
GABRIEL TUAL,FRA,09 Apr 1998,800m
