Average_Results_Score,Total_Results_Score,Disciplines,Discipline_Count
1280.5,2561,"['5000m', '10000m']",2
1256.0,2512,"['5000m', '10000m']",2
1256.0,2512,"['5000m', '10000m']",2
1256.0,2512,"['5000m', '1500m']",2
1251.0,2502,"['5000m', '10000m']",2
1245.0,2490,"['5000m', '1500m']",2
1241.0,3723,"['5000m', '10000m', '1500m']",3
1239.0,2478,"['10000m', 'HM']",2
1236.3333333333333,3709,"['5000m', '10000m', '1500m']",3
1233.3333333333333,3700,"['5000m', '10000m', '1500m']",3
1232.0,2464,"['HM', 'Marathon']",2
1231.0,3693,"['5000m', '10000m', '1500m']",3
1229.5,2459,"['5000m', '10000m']",2
1227.5,2455,"['5000m', '10000m']",2
1225.5,2451,"['5000m', '10000m']",2
1225.5,2451,"['5000m', '10000m']",2
1225.0,2450,"['5000m', '1500m']",2
1225.0,2450,"['5000m', '1500m']",2
1224.0,2448,"['5000m', '10000m']",2
1223.5,2447,"['5000m', '10000m']",2
1222.0,3666,"['3000m SC', '5000m', '1500m']",3
1221.5,2443,"['5000m', '1500m']",2
1220.0,2440,"['10000m', 'HM']",2
1219.3333333333333,3658,"['3000m SC', '5000m', '1500m']",3
1219.0,2438,"['5000m', '10000m']",2
1219.0,2438,"['HM', 'Marathon']",2
1217.5,2435,"['5000m', '10000m']",2
1217.5,2435,"['5000m', '10000m']",2
1217.5,2435,"['5000m', '1500m']",2
1216.0,4864,"['HM', '5000m', '10000m', '1500m']",4
1215.0,2430,"['5000m', '1500m']",2
1211.0,2422,"['5000m', '1500m']",2
1210.5,2421,"['HM', 'Marathon']",2
1207.0,2414,"['5000m', '10000m']",2
1206.0,2412,"['5000m', '1500m']",2
1205.5,2411,"['HM', 'Marathon']",2
1205.3333333333333,3616,"['5000m', '10000m', '1500m']",3
1201.0,3603,"['5000m', '10000m', '1500m']",3
1201.0,2402,"['5000m', '10000m']",2
1200.0,2400,"['HM', 'Marathon']",2
1200.0,2400,"['5000m', '10000m']",2
1199.6666666666667,3599,"['5000m', '10000m', 'HM']",3
1199.0,2398,"['5000m', '10000m']",2
1198.5,2397,"['5000m', '10000m']",2
1196.5,2393,"['10000m', 'HM']",2
1196.0,2392,"['5000m', '1500m']",2
1195.5,2391,"['HM', 'Marathon']",2
1194.0,2388,"['HM', 'Marathon']",2
1193.3333333333333,3580,"['5000m', '10000m', '1500m']",3
1193.0,2386,"['5000m', '1500m']",2
1192.5,2385,"['5000m', '1500m']",2
1192.0,2384,"['5000m', '1500m']",2
1191.5,2383,"['5000m', '1500m']",2
1191.5,2383,"['HM', 'Marathon']",2
1190.5,2381,"['5000m', '1500m']",2
1190.0,2380,"['HM', 'Marathon']",2
1188.5,2377,"['3000m SC', '1500m']",2
1187.5,2375,"['HM', 'Marathon']",2
1187.5,2375,"['HM', 'Marathon']",2
1187.5,2375,"['HM', 'Marathon']",2
1186.6666666666667,3560,"['5000m', '10000m', '1500m']",3
1186.5,2373,"['3000m SC', '1500m']",2
1186.3333333333333,3559,"['5000m', '10000m', '3000m SC']",3
1185.5,2371,"['5000m', '10000m']",2
1185.0,2370,"['HM', 'Marathon']",2
1185.0,2370,"['HM', 'Marathon']",2
1184.3333333333333,3553,"['5000m', '10000m', '1500m']",3
1184.0,2368,"['5000m', '10000m']",2
1183.0,2366,"['HM', 'Marathon']",2
1182.5,2365,"['10000m', 'HM']",2
1181.5,2363,"['HM', 'Marathon']",2
1180.5,2361,"['5000m', '10000m']",2
1179.3333333333333,3538,"['5000m', '10000m', '1500m']",3
1178.5,2357,"['5000m', '1500m']",2
1178.5,2357,"['10000m', 'Marathon']",2
1178.3333333333333,3535,"['5000m', '10000m', '1500m']",3
1178.0,2356,"['5000m', '1500m']",2
